size,method,coefficient,equal_range_target_coefficient,mean_BER,mean_FER,score,method_minus_additive_BER,trials_per_EbNo,seed_count,source
N96_M48,binary_state,0.95,0.95,0.49950694444444443,1.0,1.7962993236175728,0.48375,2000,8,new binary-state sweep
N96_M48,additive,0.95,0.95,0.015756944444444445,0.19033333333333333,0.11470473703055345,0.0,2000,8,existing full matched-control sweep
N96_M48,matched_pSA,0.0,0.95,0.03581423611111111,0.3773333333333333,0.6255649680104872,0.020057291666666668,2000,8,existing full matched-control sweep
N96_M48,normalized,0.95,0.95,0.06067361111111111,0.6684999999999999,1.1260583083511682,0.04491666666666666,2000,8,existing full matched-control sweep
N96_M48,gain_only,0.95,0.95,0.03196875,0.3423333333333333,0.5581876434467661,0.016211805555555552,2000,8,existing full matched-control sweep
N192_M96,binary_state,0.95,0.95,0.49981423611111114,1.0,2.339088391738362,0.4923263888888889,2000,8,new binary-state sweep
N192_M96,additive,0.95,0.95,0.007487847222222222,0.059000000000000004,0.09797276746406054,0.0,2000,8,existing full matched-control sweep
N192_M96,matched_pSA,0.0,0.95,0.28087239583333334,0.9996666666666667,2.587667123063537,0.2733845486111111,2000,8,existing full matched-control sweep
N192_M96,normalized,0.95,0.95,0.31542274305555557,1.0,2.6389167339921347,0.30793489583333333,2000,8,existing full matched-control sweep
N192_M96,gain_only,0.95,0.95,0.49981423611111114,1.0,2.339088391738362,0.4923263888888889,2000,8,existing full matched-control sweep
N288_M144,binary_state,0.9,0.9,0.3473900462962963,0.7306666666666667,2.414853218212827,0.33998842592592593,2000,8,new binary-state sweep
N288_M144,additive,0.9,0.9,0.007401620370370371,0.0695,0.2570980211794145,0.0,2000,8,existing full matched-control sweep
N288_M144,matched_pSA,0.0,0.9,0.3223640046296296,1.0,2.8879996117866034,0.31496238425925926,2000,8,existing full matched-control sweep
N288_M144,normalized,0.9,0.9,0.33843807870370374,1.0,2.909147621089125,0.3310364583333334,2000,8,existing full matched-control sweep
N288_M144,gain_only,0.9,0.9,0.32189467592592585,1.0,2.8873787258508754,0.3144930555555555,2000,8,existing full matched-control sweep
