formula_id,formula_index,n_variables,alpha,n_clauses,is_satisfiable,generation_seed,formula_sha256,hash_definition,file
F00,0,500,1.2,600,True,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F00.npz
F01,1,500,1.2,600,False,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F01.npz
F02,2,500,1.2,600,False,5706,833410b8e4a70b136dda7b89f3f0aac79596e6f8fdb43f851ddeb4fce8d5ee6f,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F02.npz
F03,3,500,1.2,600,False,7709,ff45cf07b0db6431caf1ac127754bb58f3cd66d97b63a98b11d73e129bfdc154,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F03.npz
F04,4,500,1.2,600,False,9712,1136a3e30b479506765af8d183d1e027ee45abfa48525e78d8cbcc4b7c7337d5,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F04.npz
F05,5,500,1.2,600,True,11715,14543b9f6b7ade3455cd172c107f42b6368fbcdbbd1c821c6a6741731dc999bb,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F05.npz
F06,6,500,1.2,600,True,13718,46636fa878f018a3a4254af5ba92a0a1ab3155960a91c43744de2d8c78df03f5,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F06.npz
F07,7,500,1.2,600,False,15721,68250a298d025f889db3dcc95f417ef7bcef2a6a7e93deec39af39648ec359b0,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F07.npz
F08,8,500,1.2,600,True,17724,049ae08fa4cba4b924929611ad2e498a9ee291c356920097338b16d4526a6dd9,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F08.npz
F09,9,500,1.2,600,False,19727,d5f82f16d0b7213e8e2f02ed43ca07d06f3892cbff83b3d81592596852252bbf,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F09.npz
F10,10,500,1.2,600,False,21730,d344cd79ba6f51e737dbe5ff4b556389b928e7085bd5ee9ae9ddc3334372a7f3,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F10.npz
F11,11,500,1.2,600,False,23733,3bba770c518f7e188e93ed9f84338f94582857feeee5deb1b08f45b4d3494325,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F11.npz
F12,12,500,1.2,600,True,25736,ed09258602005c277e7faaabf77244f736681e8e94cfc2b99dfb414735263b1f,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F12.npz
F13,13,500,1.2,600,False,27739,5358efb19444e9ca1337e6a91cac0a0bf19f0ba41f94a8206eb8d4b1c5c7f667,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F13.npz
F14,14,500,1.2,600,False,29742,70044a0a96d5238e57f750b24ae3f8095e82b3c8e1597a9bb56d17aad082b75d,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F14.npz
F15,15,500,1.2,600,False,31745,3e7878f410def7d62f3dd65ddc530b8cda7bf923e8974170752484b08bc1611c,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F15.npz
F16,16,500,1.2,600,True,33748,651f6d237eb3f6c3c19c627b8f42e468443477ff75012b18d2c14fbbfd2c2edf,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F16.npz
F17,17,500,1.2,600,False,35751,df751b4a39788cd788947a4faf6dad7b2d2a191912bdc7f5a2a5d932b755cbc1,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F17.npz
F18,18,500,1.2,600,False,37754,309a3f0b179914fc4d44542f7a5fa7a25100dc46b126999d83a5a8c4f4dfb1a2,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F18.npz
F19,19,500,1.2,600,True,39757,6ca2d893d357e6222af6d6744d455a09287e8f432ee4569741dc22fd147e637f,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F19.npz
F20,20,500,1.2,600,True,41760,c5841a04765dfc844d644a881f22c1ab9b87ad797f42f244210a24d2b49b2246,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F20.npz
F21,21,500,1.2,600,True,43763,8f8adb312a98d2375b54828fbabff59932b9ea3e3906870a085ebb707bd7689b,sha256(str(shape) + int64_C_order_clause_bytes),data/metadata/formulas/F21.npz
