size,code_id,n_bits,n_checks,variable_degree,check_degree,generation_seed,matrix_sha256,hash_definition,gf2_rank,dimension,design_rate,actual_rate,binary_ok,variable_degree_ok,check_degree_ok,full_row_rank,duplicate_row_count,duplicate_column_count,accepted_for_study,file
N96_M48,C00,96,48,3,6,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,sha256(uint8_C_order_matrix_bytes),48,48,0.5,0.5,True,True,True,True,0,1,True,data/metadata/matrices/N96_M48/C00.npz
N96_M48,C01,96,48,3,6,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,sha256(uint8_C_order_matrix_bytes),48,48,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N96_M48/C01.npz
N96_M48,C02,96,48,3,6,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,sha256(uint8_C_order_matrix_bytes),48,48,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N96_M48/C02.npz
N96_M48,C03,96,48,3,6,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,sha256(uint8_C_order_matrix_bytes),48,48,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N96_M48/C03.npz
N96_M48,C04,96,48,3,6,2026082705,73ae8fd387fe1ec5f0fed45f3bcdcfa36f174f296e2b15dbf5e03296b297a132,sha256(uint8_C_order_matrix_bytes),48,48,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N96_M48/C04.npz
N96_M48,C05,96,48,3,6,2026082706,026bd1eaf096a41944dbc2a3180d49e49f88de5ab034f95f1a0a8d75cf295a4b,sha256(uint8_C_order_matrix_bytes),48,48,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N96_M48/C05.npz
N96_M48,C06,96,48,3,6,2026082707,47d9c6bb6c823c7cfd0a7639b29b34f27b27d9278960ff82a10909709bce4707,sha256(uint8_C_order_matrix_bytes),48,48,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N96_M48/C06.npz
N96_M48,C07,96,48,3,6,2026082708,bceb8ea4474c4ff60e9ed323d2b83f246d601ff90da09b5e114d1a736f73eeac,sha256(uint8_C_order_matrix_bytes),48,48,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N96_M48/C07.npz
N96_M48,C08,96,48,3,6,2026082709,739576a7430edd0513a932265b55325eaa02f404164345c0a026af382698f752,sha256(uint8_C_order_matrix_bytes),48,48,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N96_M48/C08.npz
N96_M48,C09,96,48,3,6,2026082710,36492256e7184aaa2cc19111c76751b01c02223ad717cbbeff3344e5ac830ae2,sha256(uint8_C_order_matrix_bytes),48,48,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N96_M48/C09.npz
