stage,size,variant,implementation_mode,kappa,seed,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20260826,2.0,0.25769270833333335,1.0,0.994,13.545,0.014819791666666667,0.1716,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20260826,2.5,0.22459375,0.989,0.974,11.812,0.004305208333333334,0.0544,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20260826,3.0,0.16169791666666666,0.868,0.861,8.528,0.0010979166666666667,0.0158,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20268848,2.0,0.256671875,1.0,0.995,13.581,0.014819791666666667,0.1716,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20268848,2.5,0.21856770833333333,0.978,0.971,11.777,0.004305208333333334,0.0544,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20268848,3.0,0.15983333333333333,0.852,0.842,8.492,0.0010979166666666667,0.0158,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20276870,2.0,0.254390625,1.0,0.993,13.673,0.014819791666666667,0.1716,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20276870,2.5,0.22119791666666666,0.993,0.986,11.814,0.004305208333333334,0.0544,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20276870,3.0,0.15981770833333334,0.861,0.857,8.757,0.0010979166666666667,0.0158,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20284892,2.0,0.2566041666666667,1.0,0.997,13.614,0.014819791666666667,0.1716,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20284892,2.5,0.220671875,0.99,0.986,11.917,0.004305208333333334,0.0544,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20284892,3.0,0.16197395833333333,0.867,0.857,8.749,0.0010979166666666667,0.0158,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20292914,2.0,0.25522395833333333,1.0,0.993,13.437,0.014819791666666667,0.1716,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20292914,2.5,0.220578125,0.992,0.989,11.799,0.004305208333333334,0.0544,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20292914,3.0,0.1573125,0.838,0.83,8.46,0.0010979166666666667,0.0158,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20300936,2.0,0.25428125,0.998,0.994,13.536,0.014819791666666667,0.1716,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20300936,2.5,0.22235416666666666,0.987,0.976,11.648,0.004305208333333334,0.0544,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20300936,3.0,0.15597395833333333,0.842,0.836,8.515,0.0010979166666666667,0.0158,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20308958,2.0,0.25642708333333336,1.0,0.993,13.538,0.014819791666666667,0.1716,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20308958,2.5,0.21666145833333333,0.991,0.985,11.809,0.004305208333333334,0.0544,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20308958,3.0,0.1555625,0.835,0.832,8.436,0.0010979166666666667,0.0158,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20316980,2.0,0.25399479166666666,0.998,0.996,13.615,0.014819791666666667,0.1716,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20316980,2.5,0.21932291666666667,0.989,0.982,11.774,0.004305208333333334,0.0544,1000,192000
ber_optimal_sensitivity,N192_M96,binary_state_ber_optimal_sensitivity,binary_state_self_feedback,0.25,20316980,3.0,0.15664583333333335,0.87,0.866,8.716,0.0010979166666666667,0.0158,1000,192000
