stage,size,variant,implementation_mode,kappa,seed,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20260826,2.0,0.0485625,0.426,0.254,3.974,0.025252083333333335,0.26,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20260826,2.5,0.02821875,0.297,0.13,1.899,0.01286875,0.148,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20260826,3.0,0.014864583333333334,0.191,0.052,0.707,0.005091666666666667,0.0716,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20268848,2.0,0.05286458333333333,0.471,0.293,4.487,0.025252083333333335,0.26,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20268848,2.5,0.025677083333333333,0.264,0.112,1.685,0.01286875,0.148,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20268848,3.0,0.015583333333333333,0.198,0.044,0.618,0.005091666666666667,0.0716,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20276870,2.0,0.04878125,0.441,0.275,4.317,0.025252083333333335,0.26,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20276870,2.5,0.027135416666666665,0.283,0.102,1.423,0.01286875,0.148,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20276870,3.0,0.0125625,0.176,0.036,0.518,0.005091666666666667,0.0716,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20284892,2.0,0.04984375,0.436,0.263,4.129,0.025252083333333335,0.26,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20284892,2.5,0.0274375,0.286,0.128,1.834,0.01286875,0.148,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20284892,3.0,0.013333333333333334,0.181,0.033,0.416,0.005091666666666667,0.0716,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20292914,2.0,0.0526875,0.455,0.266,4.074,0.025252083333333335,0.26,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20292914,2.5,0.023541666666666666,0.262,0.113,1.608,0.01286875,0.148,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20292914,3.0,0.015510416666666667,0.209,0.044,0.651,0.005091666666666667,0.0716,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20300936,2.0,0.0510625,0.473,0.271,4.168,0.025252083333333335,0.26,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20300936,2.5,0.020260416666666666,0.248,0.088,1.239,0.01286875,0.148,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20300936,3.0,0.012104166666666666,0.183,0.035,0.476,0.005091666666666667,0.0716,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20308958,2.0,0.04923958333333334,0.435,0.266,4.193,0.025252083333333335,0.26,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20308958,2.5,0.026010416666666668,0.282,0.108,1.553,0.01286875,0.148,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20308958,3.0,0.013666666666666667,0.184,0.041,0.546,0.005091666666666667,0.0716,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20316980,2.0,0.05379166666666667,0.474,0.283,4.382,0.025252083333333335,0.26,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20316980,2.5,0.027645833333333335,0.296,0.112,1.618,0.01286875,0.148,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20316980,3.0,0.01246875,0.174,0.039,0.507,0.005091666666666667,0.0716,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20325002,2.0,0.05146875,0.482,0.281,4.301,0.025252083333333335,0.26,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20325002,2.5,0.02659375,0.281,0.118,1.745,0.01286875,0.148,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20325002,3.0,0.013666666666666667,0.187,0.04,0.48,0.005091666666666667,0.0716,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20333024,2.0,0.052083333333333336,0.46,0.268,4.146,0.025252083333333335,0.26,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20333024,2.5,0.0265625,0.287,0.122,1.7,0.01286875,0.148,1000,96000
highstat,N96_M48,binary_state,binary_state_self_feedback,0.25,20333024,3.0,0.015375,0.205,0.033,0.426,0.005091666666666667,0.0716,1000,96000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20260826,2.0,0.4993958333333333,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20260826,2.5,0.4986770833333333,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20260826,3.0,0.49785416666666665,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20268848,2.0,0.5004375,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20268848,2.5,0.49873958333333335,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20268848,3.0,0.5001875,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20276870,2.0,0.5017291666666667,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20276870,2.5,0.4991979166666667,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20276870,3.0,0.4991875,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20284892,2.0,0.4976770833333333,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20284892,2.5,0.49971875,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20284892,3.0,0.5001979166666667,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20292914,2.0,0.5007083333333333,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20292914,2.5,0.49865625,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20292914,3.0,0.50059375,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20300936,2.0,0.4988854166666667,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20300936,2.5,0.4988125,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20300936,3.0,0.5011666666666666,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20308958,2.0,0.5020833333333333,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20308958,2.5,0.50090625,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20308958,3.0,0.5008020833333333,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20316980,2.0,0.4988854166666667,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20316980,2.5,0.4996041666666667,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20316980,3.0,0.5003229166666666,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20325002,2.0,0.4973020833333333,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20325002,2.5,0.5000104166666667,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20325002,3.0,0.49966666666666665,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20333024,2.0,0.4996875,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20333024,2.5,0.49909375,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
highstat,N192_M96,binary_state,binary_state_self_feedback,0.5,20333024,3.0,0.5005833333333334,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20260826,2.0,0.04306597222222222,0.296,0.293,1.799,0.010990972222222221,0.1402,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20260826,2.5,0.010961805555555556,0.079,0.077,0.455,0.0025611111111111112,0.035,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20260826,3.0,0.0016145833333333333,0.012,0.011,0.067,0.0005909722222222222,0.0102,1000,288000
highstat,N288_M144,binary_state,binary_state_self_feedback,0.75,20268848,2.0,0.041555555555555554,0.279,0.276,1.67,0.010990972222222221,0.1402,1000,288000
