size,method,coefficient,EbNo_dB,BER,FER,syndrome_violation_rate,n_trials,source
N96_M48,matched_pSA,0.0,2.0,0.05993645833333333,0.564,0.4519,10000,existing high-stat matched-control confirmation
N96_M48,matched_pSA,0.0,2.5,0.031097916666666666,0.3469,0.2244,10000,existing high-stat matched-control confirmation
N96_M48,matched_pSA,0.0,3.0,0.014558333333333333,0.2063,0.0858,10000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,2.0,0.026532291666666666,0.2673,0.1177,10000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,2.5,0.013071875,0.1708,0.0493,10000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,3.0,0.00660625,0.1159,0.0237,10000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,2.0,0.3025041666666667,1.0,1.0,10000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,2.5,0.28368333333333334,1.0,1.0,10000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,3.0,0.25922708333333333,0.9998,0.9998,10000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,2.0,0.016324479166666666,0.1257,0.1095,10000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,2.5,0.0047901041666666665,0.0429,0.0358,10000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,3.0,0.0009796875,0.0113,0.0084,10000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,2.0,0.32801597222222223,1.0,1.0,10000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,2.5,0.32256805555555557,1.0,1.0,10000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,3.0,0.31652291666666665,1.0,1.0,10000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,2.0,0.018197569444444443,0.1658,0.1635,10000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,2.5,0.004038194444444444,0.0437,0.0421,10000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,3.0,0.0005541666666666667,0.0075,0.0071,10000,existing high-stat matched-control confirmation
N96_M48,binary_state,0.25,2.0,0.051038541666666666,0.4553,0.272,10000,new high-stat binary-state run
N96_M48,binary_state,0.25,2.5,0.025908333333333332,0.2786,0.1133,10000,new high-stat binary-state run
N96_M48,binary_state,0.25,3.0,0.013913541666666666,0.1888,0.0397,10000,new high-stat binary-state run
N192_M96,binary_state,0.5,2.0,0.4996791666666667,1.0,0.0,10000,new high-stat binary-state run
N192_M96,binary_state,0.5,2.5,0.4993416666666667,1.0,0.0,10000,new high-stat binary-state run
N192_M96,binary_state,0.5,3.0,0.50005625,1.0,0.0,10000,new high-stat binary-state run
N288_M144,binary_state,0.75,2.0,0.04360555555555556,0.2946,0.2921,10000,new high-stat binary-state run
N288_M144,binary_state,0.75,2.5,0.012905555555555556,0.0939,0.0911,10000,new high-stat binary-state run
N288_M144,binary_state,0.75,3.0,0.0020583333333333335,0.0136,0.0119,10000,new high-stat binary-state run
N96_M48,additive,0.95,pooled,0.015403472222222221,0.18466666666666667,0.06356666666666666,30000,existing high-stat matched-control confirmation
N96_M48,binary_state,0.25,pooled,0.030286805555555556,0.30756666666666665,0.1416666666666667,30000,new high-stat binary-state run
N96_M48,matched_pSA,0.0,pooled,0.035197569444444445,0.3724,0.25403333333333333,30000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,pooled,0.007364756944444444,0.05996666666666667,0.051233333333333325,30000,existing high-stat matched-control confirmation
N192_M96,binary_state,0.5,pooled,0.4996923611111111,1.0,0.0,30000,new high-stat binary-state run
N192_M96,matched_pSA,0.0,pooled,0.28180486111111114,0.9999333333333333,0.9999333333333333,30000,existing high-stat matched-control confirmation
N288_M144,additive,0.9,pooled,0.007596643518518519,0.07233333333333335,0.0709,30000,existing high-stat matched-control confirmation
N288_M144,binary_state,0.75,pooled,0.019523148148148147,0.1340333333333333,0.1317,30000,new high-stat binary-state run
N288_M144,matched_pSA,0.0,pooled,0.32236898148148146,1.0,1.0,30000,existing high-stat matched-control confirmation
