size,kappa,score_selected,pooled_BER_best,pooled_FER_best,equal_range_kappa_equals_lambda,BER_rank,FER_rank,BER_2.0_dB,BER_2.5_dB,BER_3.0_dB,pooled_BER,pooled_BER_seed_batch_sd,pooled_BER_ci95_low,pooled_BER_ci95_high,FER_2.0_dB,FER_2.5_dB,FER_3.0_dB,pooled_FER,pooled_FER_seed_batch_sd,pooled_FER_ci95_low,pooled_FER_ci95_high,selection_score,trials_per_SNR,seed_batches
N96_M48,0.0,False,False,False,False,2,2,0.059328125,0.032864583333333336,0.01525,0.03581423611111111,0.0018003272516915988,0.03430888569462028,0.03731958652760194,0.55,0.3675,0.2145,0.3773333333333333,0.013447133405503076,0.3660894620573963,0.3885772046092703,0.6255649680104872,2000,8
N96_M48,0.25,True,True,True,False,1,1,0.05138020833333334,0.029723958333333335,0.014380208333333333,0.031828125000000006,0.0018087111847089807,0.030315764326319713,0.03334048567368028,0.4505,0.3035,0.1905,0.31483333333333335,0.013149929084243565,0.30383797057070716,0.32582869609595944,0.5125314058609636,2000,8
N96_M48,0.5,False,False,False,False,3,3,0.49804166666666666,0.5008541666666667,0.499625,0.49950694444444443,0.0022273626062889375,0.49764452680681626,0.5013693620820727,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.7962993236175728,2000,8
N96_M48,0.75,False,False,False,False,3,3,0.49804166666666666,0.5008541666666667,0.499625,0.49950694444444443,0.0022273626062889375,0.49764452680681626,0.5013693620820727,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.7962993236175728,2000,8
N96_M48,0.9,False,False,False,False,3,3,0.49804166666666666,0.5008541666666667,0.499625,0.49950694444444443,0.0022273626062889375,0.49764452680681626,0.5013693620820727,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.7962993236175728,2000,8
N96_M48,0.95,False,False,False,True,3,3,0.49804166666666666,0.5008541666666667,0.499625,0.49950694444444443,0.0022273626062889375,0.49764452680681626,0.5013693620820727,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.7962993236175728,2000,8
N96_M48,1.0,False,False,False,False,3,3,0.49804166666666666,0.5008541666666667,0.499625,0.49950694444444443,0.0022273626062889375,0.49764452680681626,0.5013693620820727,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.7962993236175728,2000,8
N96_M48,1.1,False,False,False,False,3,3,0.49804166666666666,0.5008541666666667,0.499625,0.49950694444444443,0.0022273626062889375,0.49764452680681626,0.5013693620820727,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.7962993236175728,2000,8
N96_M48,1.25,False,False,False,False,3,3,0.49804166666666666,0.5008541666666667,0.499625,0.49950694444444443,0.0022273626062889375,0.49764452680681626,0.5013693620820727,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.7962993236175728,2000,8
N288_M144,0.0,False,False,False,False,4,5,0.327515625,0.32297743055555556,0.31659895833333335,0.3223640046296296,0.0010961541178427855,0.32144745123286117,0.32328055802639816,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.8879996117866034,2000,8
N288_M144,0.25,False,False,False,False,3,4,0.28185069444444444,0.2726857638888889,0.26309375,0.2725434027777778,0.001422744203076174,0.271353769850404,0.27373303570515156,1.0,0.9995,0.9955,0.9983333333333334,0.0011818736805705797,0.9973451052011342,0.9993215614655326,2.8139806909469485,2000,8
N288_M144,0.5,False,False,False,False,2,2,0.15164409722222222,0.09426388888888888,0.043034722222222224,0.0963142361111111,0.0028741435320615845,0.0939110101648405,0.09871746205738173,0.7735,0.5155,0.2435,0.5108333333333334,0.014010200365651962,0.4991186514966074,0.5225480151700591,1.9970042040010347,2000,8
N288_M144,0.75,True,True,True,False,1,1,0.045189236111111114,0.01164236111111111,0.0012482638888888888,0.019359953703703702,0.00138407620757085,0.01820265316650185,0.020517254240905555,0.309,0.085,0.009,0.13433333333333333,0.010540925533894603,0.12551949872202164,0.14314716794464502,0.6503115584720425,2000,8
N288_M144,0.9,False,False,False,True,5,3,0.3565052083333333,0.3449513888888889,0.3407135416666667,0.3473900462962963,0.006617017202215737,0.34185720242475953,0.352922890167833,0.791,0.715,0.686,0.7306666666666667,0.01057099956229453,0.7218276855431668,0.7395056477901666,2.414853218212827,2000,8
N288_M144,0.95,False,False,False,False,6,5,0.5005659722222222,0.4998958333333333,0.49994444444444447,0.5001354166666667,0.0016352636608048413,0.49876808479377965,0.5015027485395536,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.578782580568516,2000,8
N288_M144,1.0,False,False,False,False,6,5,0.5005659722222222,0.4998958333333333,0.49994444444444447,0.5001354166666667,0.0016352636608048413,0.49876808479377965,0.5015027485395536,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.578782580568516,2000,8
N288_M144,1.1,False,False,False,False,6,5,0.5005659722222222,0.4998958333333333,0.49994444444444447,0.5001354166666667,0.0016352636608048413,0.49876808479377965,0.5015027485395536,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.578782580568516,2000,8
N288_M144,1.25,False,False,False,False,6,5,0.5005659722222222,0.4998958333333333,0.49994444444444447,0.5001354166666667,0.0016352636608048413,0.49876808479377965,0.5015027485395536,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.578782580568516,2000,8
