size,metric,left_kappa,right_kappa,contrast,mean_difference,seed_batch_sd,ci95_low,ci95_high,n_seed_batches,unit
N96_M48,BER,0.25,0.0,selected_minus_candidate,-0.00398611111111111,0.0018032035963463883,-0.0054938665940252734,-0.002478355628196948,8,paired sweep seed-batch pooled over three SNRs
N96_M48,FER,0.25,0.0,selected_minus_candidate,-0.06250000000000003,0.008770440976406755,-0.06983343727604908,-0.05516656272395097,8,paired sweep seed-batch pooled over three SNRs
N96_M48,BER,0.25,0.25,selected_minus_candidate,0.0,0.0,0.0,0.0,8,paired sweep seed-batch pooled over three SNRs
N96_M48,FER,0.25,0.25,selected_minus_candidate,0.0,0.0,0.0,0.0,8,paired sweep seed-batch pooled over three SNRs
N96_M48,BER,0.25,0.5,selected_minus_candidate,-0.4676788194444444,0.00368484279728414,-0.47075991463665623,-0.46459772425223256,8,paired sweep seed-batch pooled over three SNRs
N96_M48,FER,0.25,0.5,selected_minus_candidate,-0.6851666666666667,0.01314992908424356,-0.6961620294292928,-0.6741713039040406,8,paired sweep seed-batch pooled over three SNRs
N96_M48,BER,0.25,0.75,selected_minus_candidate,-0.4676788194444444,0.00368484279728414,-0.47075991463665623,-0.46459772425223256,8,paired sweep seed-batch pooled over three SNRs
N96_M48,FER,0.25,0.75,selected_minus_candidate,-0.6851666666666667,0.01314992908424356,-0.6961620294292928,-0.6741713039040406,8,paired sweep seed-batch pooled over three SNRs
N96_M48,BER,0.25,0.9,selected_minus_candidate,-0.4676788194444444,0.00368484279728414,-0.47075991463665623,-0.46459772425223256,8,paired sweep seed-batch pooled over three SNRs
N96_M48,FER,0.25,0.9,selected_minus_candidate,-0.6851666666666667,0.01314992908424356,-0.6961620294292928,-0.6741713039040406,8,paired sweep seed-batch pooled over three SNRs
N96_M48,BER,0.25,0.95,selected_minus_candidate,-0.4676788194444444,0.00368484279728414,-0.47075991463665623,-0.46459772425223256,8,paired sweep seed-batch pooled over three SNRs
N96_M48,FER,0.25,0.95,selected_minus_candidate,-0.6851666666666667,0.01314992908424356,-0.6961620294292928,-0.6741713039040406,8,paired sweep seed-batch pooled over three SNRs
N96_M48,BER,0.25,1.0,selected_minus_candidate,-0.4676788194444444,0.00368484279728414,-0.47075991463665623,-0.46459772425223256,8,paired sweep seed-batch pooled over three SNRs
N96_M48,FER,0.25,1.0,selected_minus_candidate,-0.6851666666666667,0.01314992908424356,-0.6961620294292928,-0.6741713039040406,8,paired sweep seed-batch pooled over three SNRs
N96_M48,BER,0.25,1.1,selected_minus_candidate,-0.4676788194444444,0.00368484279728414,-0.47075991463665623,-0.46459772425223256,8,paired sweep seed-batch pooled over three SNRs
N96_M48,FER,0.25,1.1,selected_minus_candidate,-0.6851666666666667,0.01314992908424356,-0.6961620294292928,-0.6741713039040406,8,paired sweep seed-batch pooled over three SNRs
N96_M48,BER,0.25,1.25,selected_minus_candidate,-0.4676788194444444,0.00368484279728414,-0.47075991463665623,-0.46459772425223256,8,paired sweep seed-batch pooled over three SNRs
N96_M48,FER,0.25,1.25,selected_minus_candidate,-0.6851666666666667,0.01314992908424356,-0.6961620294292928,-0.6741713039040406,8,paired sweep seed-batch pooled over three SNRs
N288_M144,BER,0.75,0.0,selected_minus_candidate,-0.30300405092592597,0.0017440224285289456,-0.30446232185233035,-0.3015457799995216,8,paired sweep seed-batch pooled over three SNRs
N288_M144,FER,0.75,0.0,selected_minus_candidate,-0.8656666666666667,0.010540925533894623,-0.8744805012779784,-0.856852832055355,8,paired sweep seed-batch pooled over three SNRs
N288_M144,BER,0.75,0.25,selected_minus_candidate,-0.2531834490740741,0.0013006491955102851,-0.2542709918007257,-0.25209590634742246,8,paired sweep seed-batch pooled over three SNRs
N288_M144,FER,0.75,0.25,selected_minus_candidate,-0.8639999999999999,0.010327955589886468,-0.872635758989998,-0.8553642410100017,8,paired sweep seed-batch pooled over three SNRs
N288_M144,BER,0.75,0.5,selected_minus_candidate,-0.07695428240740741,0.002214934364501702,-0.07880630812382625,-0.07510225669098858,8,paired sweep seed-batch pooled over three SNRs
N288_M144,FER,0.75,0.5,selected_minus_candidate,-0.3765,0.009770379596531414,-0.3846695397217881,-0.3683304602782119,8,paired sweep seed-batch pooled over three SNRs
N288_M144,BER,0.75,0.75,selected_minus_candidate,0.0,0.0,0.0,0.0,8,paired sweep seed-batch pooled over three SNRs
N288_M144,FER,0.75,0.75,selected_minus_candidate,0.0,0.0,0.0,0.0,8,paired sweep seed-batch pooled over three SNRs
N288_M144,BER,0.75,0.9,selected_minus_candidate,-0.32803009259259264,0.006605353987725037,-0.3335531842233772,-0.32250700096180807,8,paired sweep seed-batch pooled over three SNRs
N288_M144,FER,0.75,0.9,selected_minus_candidate,-0.5963333333333333,0.00942135365867905,-0.6042110337017935,-0.588455632964873,8,paired sweep seed-batch pooled over three SNRs
N288_M144,BER,0.75,0.95,selected_minus_candidate,-0.48077546296296303,0.0028351763725892065,-0.48314610637198324,-0.4784048195539428,8,paired sweep seed-batch pooled over three SNRs
N288_M144,FER,0.75,0.95,selected_minus_candidate,-0.8656666666666667,0.010540925533894623,-0.8744805012779784,-0.856852832055355,8,paired sweep seed-batch pooled over three SNRs
N288_M144,BER,0.75,1.0,selected_minus_candidate,-0.48077546296296303,0.0028351763725892065,-0.48314610637198324,-0.4784048195539428,8,paired sweep seed-batch pooled over three SNRs
N288_M144,FER,0.75,1.0,selected_minus_candidate,-0.8656666666666667,0.010540925533894623,-0.8744805012779784,-0.856852832055355,8,paired sweep seed-batch pooled over three SNRs
N288_M144,BER,0.75,1.1,selected_minus_candidate,-0.48077546296296303,0.0028351763725892065,-0.48314610637198324,-0.4784048195539428,8,paired sweep seed-batch pooled over three SNRs
N288_M144,FER,0.75,1.1,selected_minus_candidate,-0.8656666666666667,0.010540925533894623,-0.8744805012779784,-0.856852832055355,8,paired sweep seed-batch pooled over three SNRs
N288_M144,BER,0.75,1.25,selected_minus_candidate,-0.48077546296296303,0.0028351763725892065,-0.48314610637198324,-0.4784048195539428,8,paired sweep seed-batch pooled over three SNRs
N288_M144,FER,0.75,1.25,selected_minus_candidate,-0.8656666666666667,0.010540925533894623,-0.8744805012779784,-0.856852832055355,8,paired sweep seed-batch pooled over three SNRs
