stage,size,variant,implementation_mode,kappa,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
sweep,N96_M48,binary_state,binary_state_self_feedback,0.0,2.0,0.059328125,0.55,0.4325,6.9625,0.025252083333333335,0.26,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.0,2.5,0.032864583333333336,0.3675,0.2385,3.649,0.01286875,0.148,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.0,3.0,0.01525,0.2145,0.0945,1.33,0.005091666666666667,0.0716,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,2.0,0.05138020833333334,0.4505,0.273,4.1735,0.025252083333333335,0.26,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,2.5,0.029723958333333335,0.3035,0.125,1.8485,0.01286875,0.148,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,3.0,0.014380208333333333,0.1905,0.041,0.5345,0.005091666666666667,0.0716,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,2.0,0.49804166666666666,1.0,0.0,0.0,0.025252083333333335,0.26,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,2.5,0.5008541666666667,1.0,0.0,0.0,0.01286875,0.148,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,3.0,0.499625,1.0,0.0,0.0,0.005091666666666667,0.0716,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,2.0,0.49804166666666666,1.0,0.0,0.0,0.025252083333333335,0.26,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,2.5,0.5008541666666667,1.0,0.0,0.0,0.01286875,0.148,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,3.0,0.499625,1.0,0.0,0.0,0.005091666666666667,0.0716,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,2.0,0.49804166666666666,1.0,0.0,0.0,0.025252083333333335,0.26,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,2.5,0.5008541666666667,1.0,0.0,0.0,0.01286875,0.148,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,3.0,0.499625,1.0,0.0,0.0,0.005091666666666667,0.0716,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,2.0,0.49804166666666666,1.0,0.0,0.0,0.025252083333333335,0.26,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,2.5,0.5008541666666667,1.0,0.0,0.0,0.01286875,0.148,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.95,3.0,0.499625,1.0,0.0,0.0,0.005091666666666667,0.0716,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,2.0,0.49804166666666666,1.0,0.0,0.0,0.025252083333333335,0.26,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,2.5,0.5008541666666667,1.0,0.0,0.0,0.01286875,0.148,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.0,3.0,0.499625,1.0,0.0,0.0,0.005091666666666667,0.0716,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,2.0,0.49804166666666666,1.0,0.0,0.0,0.025252083333333335,0.26,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,2.5,0.5008541666666667,1.0,0.0,0.0,0.01286875,0.148,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.1,3.0,0.499625,1.0,0.0,0.0,0.005091666666666667,0.0716,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.25,2.0,0.49804166666666666,1.0,0.0,0.0,0.025252083333333335,0.26,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.25,2.5,0.5008541666666667,1.0,0.0,0.0,0.01286875,0.148,2000,192000
sweep,N96_M48,binary_state,binary_state_self_feedback,1.25,3.0,0.499625,1.0,0.0,0.0,0.005091666666666667,0.0716,2000,192000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.0,2.0,0.302734375,1.0,1.0,21.452,0.014819791666666667,0.1716,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.0,2.5,0.28189322916666665,0.9995,0.9995,20.6065,0.004305208333333334,0.0544,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.0,3.0,0.2579895833333333,0.9995,0.9995,19.633,0.0010979166666666667,0.0158,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.25,2.0,0.256265625,0.999,0.993,13.52,0.014819791666666667,0.1716,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.25,2.5,0.21952864583333334,0.9835,0.979,11.7015,0.004305208333333334,0.0544,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.25,3.0,0.15575,0.856,0.851,8.54,0.0010979166666666667,0.0158,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.5,2.0,0.49947916666666664,1.0,0.0,0.0,0.014819791666666667,0.1716,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.5,2.5,0.5003541666666667,1.0,0.0,0.0,0.004305208333333334,0.0544,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.5,3.0,0.499609375,1.0,0.0,0.0,0.0010979166666666667,0.0158,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.75,2.0,0.49947916666666664,1.0,0.0,0.0,0.014819791666666667,0.1716,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.75,2.5,0.5003541666666667,1.0,0.0,0.0,0.004305208333333334,0.0544,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.75,3.0,0.499609375,1.0,0.0,0.0,0.0010979166666666667,0.0158,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.9,2.0,0.49947916666666664,1.0,0.0,0.0,0.014819791666666667,0.1716,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.9,2.5,0.5003541666666667,1.0,0.0,0.0,0.004305208333333334,0.0544,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.9,3.0,0.499609375,1.0,0.0,0.0,0.0010979166666666667,0.0158,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.95,2.0,0.49947916666666664,1.0,0.0,0.0,0.014819791666666667,0.1716,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.95,2.5,0.5003541666666667,1.0,0.0,0.0,0.004305208333333334,0.0544,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.95,3.0,0.499609375,1.0,0.0,0.0,0.0010979166666666667,0.0158,2000,384000
