size,EbNo_dB,metric,contrast,mean_difference,seed_batch_sd,seed_batch_sem,ci95_low,ci95_high,n_seed_batches,unit
N96_M48,2.0,BER,binary_minus_additive,0.02450625,0.0020339233357731237,0.0006431830327210498,0.023051369979984984,0.025961130020015016,10,paired seed-batch mean
N96_M48,2.0,BER,additive_minus_binary,-0.02450625,0.0020339233357731237,0.0006431830327210498,-0.025961130020015016,-0.023051369979984984,10,paired seed-batch mean
N96_M48,2.5,BER,binary_minus_additive,0.012836458333333333,0.001647678656666013,0.0005210417407111178,0.011657861915844784,0.014015054750821883,10,paired seed-batch mean
N96_M48,2.5,BER,additive_minus_binary,-0.012836458333333333,0.001647678656666013,0.0005210417407111178,-0.014015054750821883,-0.011657861915844784,10,paired seed-batch mean
N96_M48,3.0,BER,binary_minus_additive,0.007307291666666667,0.001383733923061167,0.0004375750872513479,0.006317496819304118,0.008297086514029215,10,paired seed-batch mean
N96_M48,3.0,BER,additive_minus_binary,-0.007307291666666667,0.001383733923061167,0.0004375750872513479,-0.008297086514029215,-0.006317496819304118,10,paired seed-batch mean
N96_M48,pooled,BER,binary_minus_additive,0.014883333333333335,0.0009429670270634831,0.0002981923563958244,0.01420882222316598,0.01555784444350069,10,paired seed-batch mean
N96_M48,pooled,BER,additive_minus_binary,-0.014883333333333335,0.0009429670270634831,0.0002981923563958244,-0.01555784444350069,-0.01420882222316598,10,paired seed-batch mean
N96_M48,2.0,FER,binary_minus_additive,0.188,0.017524585904126554,0.005541760650832108,0.17546453740781778,0.20053546259218222,10,paired seed-batch mean
N96_M48,2.0,FER,additive_minus_binary,-0.188,0.017524585904126554,0.005541760650832108,-0.20053546259218222,-0.17546453740781778,10,paired seed-batch mean
N96_M48,2.5,FER,binary_minus_additive,0.10779999999999998,0.015105554533938081,0.004776795764712757,0.09699488798021973,0.11860511201978023,10,paired seed-batch mean
N96_M48,2.5,FER,additive_minus_binary,-0.10779999999999998,0.015105554533938081,0.004776795764712757,-0.11860511201978023,-0.09699488798021973,10,paired seed-batch mean
N96_M48,3.0,FER,binary_minus_additive,0.07289999999999999,0.0141692154569922,0.004480699350175892,0.06276465806990213,0.08303534193009786,10,paired seed-batch mean
N96_M48,3.0,FER,additive_minus_binary,-0.07289999999999999,0.0141692154569922,0.004480699350175892,-0.08303534193009786,-0.06276465806990213,10,paired seed-batch mean
N96_M48,pooled,FER,binary_minus_additive,0.12289999999999998,0.007619095568632185,0.002409369570737345,0.11745000603099211,0.12834999396900787,10,paired seed-batch mean
N96_M48,pooled,FER,additive_minus_binary,-0.12289999999999998,0.007619095568632185,0.002409369570737345,-0.12834999396900787,-0.11745000603099211,10,paired seed-batch mean
N192_M96,2.0,BER,binary_minus_additive,0.4833546875,0.0024957060080248905,0.0007892115355525117,0.4815694910065802,0.4851398839934198,10,paired seed-batch mean
N192_M96,2.0,BER,additive_minus_binary,-0.4833546875,0.0024957060080248905,0.0007892115355525117,-0.4851398839934198,-0.4815694910065802,10,paired seed-batch mean
N192_M96,2.5,BER,binary_minus_additive,0.49455156250000004,0.0009081718194939774,0.00028718914563802744,0.4939019406525668,0.49520118434743327,10,paired seed-batch mean
