size,EbNo_dB,control,reference,metric,contrast_definition,mean_difference,seed_batch_sd,seed_batch_sem,ci95_low,ci95_high,n_seed_batches,n_paired_trajectories_with_finite_metric
N192_M96,2.5,binary_state,additive,late_channel_alignment,control_minus_additive,-0.6878179213242708,0.011701725933978505,0.003700410650643319,-0.6961882502160259,-0.6794475924325156,10,200
N192_M96,2.5,binary_state,additive,late_channel_alignment_gap_to_transmitted,control_minus_additive,0.687817921324271,0.011701725933978566,0.003700410650643338,0.6794475924325157,0.6961882502160263,10,200
N192_M96,2.5,binary_state,additive,reached_correct,control_minus_additive,-0.9550000000000001,0.04377975178854565,0.013844373104863455,-0.9863159719632012,-0.9236840280367989,10,200
N192_M96,2.5,binary_state,additive,reached_relaxed_basin,control_minus_additive,-0.975,0.026352313834736518,0.00833333333333334,-0.99385,-0.9561499999999999,10,200
N192_M96,2.5,binary_state,additive,reached_valid_after_nonvalid,control_minus_additive,-0.9650000000000001,0.033747427885527655,0.01067187372905475,-0.9891397783751219,-0.9408602216248783,10,200
N192_M96,2.5,binary_state,additive,reached_wrong_valid,control_minus_additive,0.99,0.021081851067789214,0.006666666666666672,0.97492,1.00508,10,200
N192_M96,2.5,binary_state,additive,wrong_valid_residence_fraction,control_minus_additive,0.9933041666666668,0.014819092214717012,0.0046862084254574755,0.9827039632082819,1.0039043701250516,10,200
N192_M96,2.5,pSA,additive,late_channel_alignment,control_minus_additive,-0.36923863507834326,0.003976941348536211,0.0012576192782275967,-0.37208336988569407,-0.36639390027099245,10,200
N192_M96,2.5,pSA,additive,late_channel_alignment_gap_to_transmitted,control_minus_additive,0.3692386350783432,0.003976941348536191,0.0012576192782275905,0.3663939002709924,0.372083369885694,10,200
N192_M96,2.5,pSA,additive,reached_correct,control_minus_additive,-0.9550000000000001,0.04377975178854565,0.013844373104863455,-0.9863159719632012,-0.9236840280367989,10,200
N192_M96,2.5,pSA,additive,reached_relaxed_basin,control_minus_additive,-0.975,0.026352313834736518,0.00833333333333334,-0.99385,-0.9561499999999999,10,200
N192_M96,2.5,pSA,additive,reached_valid_after_nonvalid,control_minus_additive,-0.9650000000000001,0.033747427885527655,0.01067187372905475,-0.9891397783751219,-0.9408602216248783,10,200
N192_M96,2.5,pSA,additive,reached_wrong_valid,control_minus_additive,-0.01,0.021081851067789197,0.006666666666666666,-0.025079999999999998,0.0050799999999999994,10,200
N192_M96,2.5,pSA,additive,wrong_valid_residence_fraction,control_minus_additive,-0.006695833333333333,0.014819092214717035,0.0046862084254574825,-0.017296036791718157,0.0039043701250514925,10,200
N288_M144,2.5,binary_state,additive,correct_escape_probability,control_minus_additive,-3.2633650336828242e-06,2.9182307307363467e-06,9.228255847024394e-07,-5.350796506279742e-06,-1.1759335610859062e-06,10,183
N288_M144,2.5,binary_state,additive,correct_residence_fraction,control_minus_additive,1.749542228538644e-05,3.108988673745801e-05,9.831485428702864e-06,-4.7433977543394394e-06,3.973424232511232e-05,10,183
N288_M144,2.5,binary_state,additive,first_correct_cycle,control_minus_additive,1879.775212848297,851.4372723328457,269.24810653328586,1270.7359958700044,2488.8144298265897,10,183
N288_M144,2.5,binary_state,additive,first_relaxed_basin_cycle,control_minus_additive,1080.4274028207774,397.4491013345266,125.68444142041717,796.1291963277938,1364.725609313761,10,191
