size,scope,EbNo_dB,comparison,method,comparator,n_code_realizations,bootstrap_unit,bootstrap_samples,BER_method_better_count,BER_comparator_better_count,BER_tie_count,mean_relative_BER_reduction,median_relative_BER_reduction,relative_BER_reduction_sd_between_codes,mean_relative_BER_reduction_bootstrap_ci95_low,mean_relative_BER_reduction_bootstrap_ci95_high,median_relative_BER_reduction_bootstrap_ci95_low,median_relative_BER_reduction_bootstrap_ci95_high,mean_method_BER,mean_comparator_BER,FER_method_better_count,FER_comparator_better_count,FER_tie_count,mean_relative_FER_reduction,median_relative_FER_reduction,relative_FER_reduction_sd_between_codes,mean_relative_FER_reduction_bootstrap_ci95_low,mean_relative_FER_reduction_bootstrap_ci95_high,median_relative_FER_reduction_bootstrap_ci95_low,median_relative_FER_reduction_bootstrap_ci95_high,mean_method_FER,mean_comparator_FER
N192_M96,per_EbNo,2.0,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.9472709775393833,0.9469783593745322,0.004033090710278854,0.9450736365493705,0.9498039486546009,0.9439511368885696,0.9498944600159175,0.0159515625,0.30251354166666666,10,0,0,0.8777999999999999,0.879,0.012594531441154232,0.8699,0.8847999999999999,0.8674999999999999,0.887,0.1222,1.0
N192_M96,per_EbNo,2.0,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,10,independent_code_realization,20000,10,0,0,0.7049815057042439,0.7023865637187618,0.021995907855754733,0.6929072644683028,0.7186319422918168,0.6866660446020342,0.7178762786166585,0.0159515625,0.05407187499999999,10,0,0,0.772830678354382,0.7739720196373336,0.021618093220702024,0.7598443220527327,0.7850306288199653,0.7554672778202189,0.7882117220001632,0.1222,0.5377000000000001
N192_M96,per_EbNo,2.0,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.8212639762455456,0.8216349580197251,0.003162661044270668,0.8193866027794402,0.8230539226171265,0.8192629468298417,0.8238122123560712,0.05407187499999999,0.30251354166666666,10,0,0,0.46229999999999993,0.46549999999999997,0.011470251377658072,0.4551,0.4685999999999999,0.45499999999999996,0.471,0.5377000000000001,1.0
N192_M96,per_EbNo,2.5,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.9837842355641151,0.984103859276472,0.002112188617744917,0.9825126844765164,0.9849677710060936,0.9824480759271488,0.9853295819935691,0.0045921875,0.2831447916666666,10,0,0,0.9561999999999997,0.9575,0.00746547609555703,0.9514999999999999,0.9602999999999998,0.952,0.962,0.04379999999999999,1.0
N192_M96,per_EbNo,2.5,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,10,independent_code_realization,20000,10,0,0,0.8331790121444781,0.8399641187734381,0.019458829106899653,0.8211925028306649,0.8441380619446486,0.8187430932005222,0.84703321784795,0.0045921875,0.027495833333333337,10,0,0,0.855021996129274,0.8591719353705656,0.02192952463621455,0.8417657117478204,0.8671006693380263,0.8395556000400362,0.8720661441365889,0.04379999999999999,0.3016
N192_M96,per_EbNo,2.5,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.9028971167715761,0.9010522119275595,0.0030185511387266556,0.9011818821342532,0.9047174560060066,0.9006321251096171,0.9062290674534257,0.027495833333333337,0.2831447916666666,10,0,0,0.6984,0.7000000000000001,0.011491059326469606,0.6915,0.7049000000000001,0.6895,0.708,0.3016,1.0
N192_M96,per_EbNo,3.0,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.9959775952263271,0.9957927624214711,0.0008572529354712472,0.9955082524455454,0.9965100286236791,0.9953399592757542,0.9966015287960306,0.0010479166666666666,0.26051718749999997,10,0,0,0.9868971971971974,0.9864999999999999,0.003282119313265485,0.9849985985985986,0.9887985985985986,0.984992992992993,0.989,0.0131,0.9998000000000001
N192_M96,per_EbNo,3.0,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,10,independent_code_realization,20000,10,0,0,0.890315710633441,0.8852357839914402,0.022203499888686598,0.8784484113064818,0.9042313426256899,0.8735420503376304,0.9066615470968669,0.0010479166666666666,0.009553124999999999,10,0,0,0.8908380118627912,0.8874782608695653,0.026464577099589645,0.8753949413727433,0.9067235550936054,0.8748263406501806,0.9074074074074074,0.0131,0.11999999999999997
N192_M96,per_EbNo,3.0,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.9633259016747975,0.9634438226223434,0.002405323608758224,0.961909825608855,0.9647404426047627,0.9612088860347976,0.9649900688160825,0.009553124999999999,0.26051718749999997,10,0,0,0.8799757757757758,0.8785000000000001,0.005740422488654135,0.8767874874874876,0.8834651176176176,0.876,0.8835,0.11999999999999997,0.9998000000000001
N192_M96,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,10,independent_code_realization,20000,10,0,0,0.9744819095975676,0.9745693989657023,0.0017857885003687453,0.973470178775868,0.9755578931863454,0.9728630500524593,0.9756301183077278,0.007197222222222221,0.28205850694444445,10,0,0,0.9402961653884627,0.9421666666666667,0.006805483599511784,0.9361313215516283,0.9439630210070025,0.9341566077581416,0.9453151050350117,0.059699999999999996,0.9999333333333332
