size,code_id,public_code_id,realization_type,generation_seed,matrix_sha256,scope,EbNo_dB,comparison,method,comparator,method_BER,comparator_BER,absolute_BER_reduction,relative_BER_reduction,log10_BER_ratio,BER_method_better,BER_comparator_better,BER_tie,method_FER,comparator_FER,absolute_FER_reduction,relative_FER_reduction,log10_FER_ratio,FER_method_better,FER_comparator_better,FER_tie,bootstrap_unit
N96_M48,existing_00,C00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,per_EbNo,2.0,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.027145833333333334,0.03929166666666667,0.012145833333333335,0.3091198303287381,-0.16059727268872492,1,0,0,0.264,0.398,0.134,0.33668341708542715,-0.1782791452038568,1,0,0,independent_code_realization
N96_M48,existing_00,C00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,per_EbNo,2.0,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.027145833333333334,0.06172916666666667,0.034583333333333334,0.560242996962538,-0.3567872357674664,1,0,0,0.264,0.569,0.30499999999999994,0.5360281195079085,-0.33350833952524006,1,0,0,independent_code_realization
N96_M48,existing_00,C00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,per_EbNo,2.0,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.03929166666666667,0.06172916666666667,0.0224375,0.3634829564630442,-0.1961899630787415,1,0,0,0.398,0.569,0.17099999999999993,0.30052724077328635,-0.1552291943213833,1,0,0,independent_code_realization
N96_M48,existing_00,C00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,per_EbNo,2.5,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.014072916666666666,0.02128125,0.007208333333333336,0.3387175721977485,-0.17961301761041704,1,0,0,0.161,0.251,0.09,0.3585657370517928,-0.19284784544918843,1,0,0,independent_code_realization
N96_M48,existing_00,C00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,per_EbNo,2.5,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.014072916666666666,0.03265625,0.018583333333333334,0.5690590111642744,-0.36558219614470466,1,0,0,0.161,0.347,0.18599999999999997,0.5360230547550432,-0.33350359875902397,1,0,0,independent_code_realization
N96_M48,existing_00,C00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,per_EbNo,2.5,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.02128125,0.03265625,0.011374999999999996,0.34832535885167454,-0.18596917853428763,1,0,0,0.251,0.347,0.09599999999999997,0.27665706051873196,-0.14065575330983557,1,0,0,independent_code_realization
N96_M48,existing_00,C00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,per_EbNo,3.0,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.005604166666666667,0.010177083333333333,0.004572916666666666,0.4493346980552712,-0.25911228805238384,1,0,0,0.113,0.159,0.046,0.2893081761006289,-0.14831868083703173,1,0,0,independent_code_realization
N96_M48,existing_00,C00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,per_EbNo,3.0,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.005604166666666667,0.012885416666666667,0.0072812499999999995,0.565076798706548,-0.36158742396273147,1,0,0,0.113,0.206,0.09299999999999999,0.4514563106796116,-0.2607887768857336,1,0,0,independent_code_realization
N96_M48,existing_00,C00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,per_EbNo,3.0,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.010177083333333333,0.012885416666666667,0.0027083333333333334,0.21018593371059013,-0.10247513591034758,1,0,0,0.159,0.206,0.046999999999999986,0.2281553398058252,-0.11247009604870185,1,0,0,independent_code_realization
N96_M48,existing_00,C00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.01560763888888889,0.023583333333333335,0.007975694444444445,0.3381919905771496,-0.17926798116664866,1,0,0,0.17933333333333334,0.2693333333333333,0.08999999999999997,0.33415841584158407,-0.17662908510819697,1,0,0,independent_code_realization
