size,n_bits,n_checks,code_id,realization_type,generation_seed,matrix_sha256,gf2_rank,design_rate,actual_rate,variant,implementation_mode,lambda_mem,seed_batch_index,seed,EbNo_dB,bit_errors,frame_errors,syndrome_violations,syndrome_weight_total,n_trials,n_bits_total,BER,FER,syndrome_violation_rate,avg_syndrome_weight,source_parameter_file,parameter_transfer_policy,public_code_id
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,2.0,390,36,33,466,100,9600,0.040625,0.36,0.33,4.66,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,2.5,159,16,15,191,100,9600,0.0165625,0.16,0.15,1.91,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,3.0,73,9,6,73,100,9600,0.007604166666666667,0.09,0.06,0.73,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,2.0,302,27,25,320,100,9600,0.03145833333333333,0.27,0.25,3.2,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,2.5,211,20,20,269,100,9600,0.021979166666666668,0.2,0.2,2.69,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,3.0,95,10,5,59,100,9600,0.009895833333333333,0.1,0.05,0.59,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,2.0,350,31,30,450,100,9600,0.036458333333333336,0.31,0.3,4.5,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,2.5,226,22,20,266,100,9600,0.023541666666666666,0.22,0.2,2.66,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,3.0,86,10,8,106,100,9600,0.008958333333333334,0.1,0.08,1.06,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,3,20284892,2.0,374,32,30,426,100,9600,0.03895833333333333,0.32,0.3,4.26,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
