size,code_id,public_code_id,realization_type,generation_seed,matrix_sha256,scope,EbNo_dB,comparison,method,comparator,method_BER,comparator_BER,absolute_BER_reduction,relative_BER_reduction,log10_BER_ratio,BER_method_better,BER_comparator_better,BER_tie,method_FER,comparator_FER,absolute_FER_reduction,relative_FER_reduction,log10_FER_ratio,FER_method_better,FER_comparator_better,FER_tie,bootstrap_unit
N96_M48,existing_00,C00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.01560763888888889,0.023583333333333335,0.007975694444444445,0.3381919905771496,-0.17926798116664866,1,0,0,0.17933333333333334,0.2693333333333333,0.08999999999999997,0.33415841584158407,-0.17662908510819697,1,0,0,independent_code_realization
N96_M48,existing_00,C00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.01560763888888889,0.035756944444444445,0.020149305555555556,0.5635074771800349,-0.3600231914219683,1,0,0,0.17933333333333334,0.374,0.19466666666666665,0.5204991087344029,-0.3192105812537534,1,0,0,independent_code_realization
N96_M48,existing_00,C00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.023583333333333335,0.035756944444444445,0.01217361111111111,0.3404544571761507,-0.18075521025531957,1,0,0,0.2693333333333333,0.374,0.10466666666666669,0.2798573975044564,-0.14258149614555646,1,0,0,independent_code_realization
N96_M48,new_01,C01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.013392361111111112,0.020538194444444446,0.007145833333333334,0.3479289940828402,-0.18570511009790733,1,0,0,0.103,0.18466666666666667,0.08166666666666668,0.4422382671480145,-0.25355128530359516,1,0,0,independent_code_realization
N96_M48,new_01,C01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.013392361111111112,0.03419791666666667,0.020805555555555556,0.6083866382373845,-0.40714249858296064,1,0,0,0.103,0.30466666666666664,0.20166666666666666,0.661925601750547,-0.4709877163089968,1,0,0,independent_code_realization
N96_M48,new_01,C01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.020538194444444446,0.03419791666666667,0.013659722222222222,0.3994314143567875,-0.2214373884850534,1,0,0,0.18466666666666667,0.30466666666666664,0.11999999999999997,0.3938730853391684,-0.21743643100540164,1,0,0,independent_code_realization
N96_M48,new_02,C02,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.014135416666666666,0.021399305555555557,0.007263888888888891,0.3394450754502678,-0.18009106535127592,1,0,0,0.12133333333333333,0.203,0.08166666666666668,0.40229885057471265,-0.2235159089838194,1,0,0,independent_code_realization
N96_M48,new_02,C02,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.014135416666666666,0.03487152777777778,0.020736111111111115,0.5946430349497163,-0.3921623603131245,1,0,0,0.12133333333333333,0.325,0.20366666666666666,0.6266666666666666,-0.42790323204948083,1,0,0,independent_code_realization
N96_M48,new_02,C02,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.021399305555555557,0.03487152777777778,0.013472222222222222,0.3863387434033655,-0.2120712949618486,1,0,0,0.203,0.325,0.122,0.37538461538461537,-0.2043873230656614,1,0,0,independent_code_realization
N96_M48,new_03,C03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.014524305555555556,0.02273611111111111,0.008211805555555554,0.3611789859499083,-0.19462080615927352,1,0,0,0.11933333333333333,0.20566666666666666,0.08633333333333333,0.419773095623987,-0.2364021373893673,1,0,0,independent_code_realization
