size,n_bits,n_checks,code_id,realization_type,generation_seed,matrix_sha256,gf2_rank,design_rate,actual_rate,variant,implementation_mode,lambda_mem,seed_batch_index,seed,EbNo_dB,bit_errors,frame_errors,syndrome_violations,syndrome_weight_total,n_trials,n_bits_total,BER,FER,syndrome_violation_rate,avg_syndrome_weight,source_parameter_file,parameter_transfer_policy,public_code_id
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,additive_fixed,lambda_pSA,0.95,0,20260826,2.0,424,15,14,26,100,19200,0.022083333333333333,0.15,0.14,0.26,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,additive_fixed,lambda_pSA,0.95,0,20260826,2.5,5,1,1,1,100,19200,0.00026041666666666666,0.01,0.01,0.01,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,additive_fixed,lambda_pSA,0.95,0,20260826,3.0,0,0,0,0,100,19200,0.0,0.0,0.0,0.0,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,additive_fixed,lambda_pSA,0.95,1,20268848,2.0,392,16,14,22,100,19200,0.020416666666666666,0.16,0.14,0.22,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,additive_fixed,lambda_pSA,0.95,1,20268848,2.5,17,2,2,3,100,19200,0.0008854166666666666,0.02,0.02,0.03,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,additive_fixed,lambda_pSA,0.95,1,20268848,3.0,43,2,2,3,100,19200,0.0022395833333333334,0.02,0.02,0.03,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,additive_fixed,lambda_pSA,0.95,2,20276870,2.0,296,12,10,18,100,19200,0.015416666666666667,0.12,0.1,0.18,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,additive_fixed,lambda_pSA,0.95,2,20276870,2.5,68,4,3,6,100,19200,0.0035416666666666665,0.04,0.03,0.06,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,additive_fixed,lambda_pSA,0.95,2,20276870,3.0,25,2,2,3,100,19200,0.0013020833333333333,0.02,0.02,0.03,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
N192_M96,192,96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,0.5,additive_fixed,lambda_pSA,0.95,3,20284892,2.0,304,12,12,22,100,19200,0.015833333333333335,0.12,0.12,0.22,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning,C00
