size,initialization,variant,event,cycle,cumulative_reach_probability,not_yet_reached_probability,n_trajectories,n_ever_reached
N192_M96,all_zero,additive,correct,0,0.0,1.0,200,191
N192_M96,all_zero,additive,correct,100,0.035,0.965,200,191
N192_M96,all_zero,additive,correct,200,0.2,0.8,200,191
N192_M96,all_zero,additive,correct,300,0.36,0.64,200,191
N192_M96,all_zero,additive,correct,400,0.46,0.54,200,191
N192_M96,all_zero,additive,correct,500,0.505,0.495,200,191
N192_M96,all_zero,additive,correct,600,0.575,0.42500000000000004,200,191
N192_M96,all_zero,additive,correct,700,0.625,0.375,200,191
N192_M96,all_zero,additive,correct,800,0.66,0.33999999999999997,200,191
N192_M96,all_zero,additive,correct,900,0.685,0.31499999999999995,200,191
N192_M96,all_zero,additive,correct,1000,0.705,0.29500000000000004,200,191
N192_M96,all_zero,additive,correct,1100,0.715,0.28500000000000003,200,191
N192_M96,all_zero,additive,correct,1200,0.725,0.275,200,191
N192_M96,all_zero,additive,correct,1300,0.745,0.255,200,191
N192_M96,all_zero,additive,correct,1400,0.76,0.24,200,191
N192_M96,all_zero,additive,correct,1500,0.765,0.235,200,191
N192_M96,all_zero,additive,correct,1600,0.795,0.20499999999999996,200,191
N192_M96,all_zero,additive,correct,1700,0.795,0.20499999999999996,200,191
N192_M96,all_zero,additive,correct,1800,0.795,0.20499999999999996,200,191
N192_M96,all_zero,additive,correct,1900,0.8,0.19999999999999996,200,191
N192_M96,all_zero,additive,correct,2000,0.815,0.18500000000000005,200,191
N192_M96,all_zero,additive,correct,2100,0.815,0.18500000000000005,200,191
N192_M96,all_zero,additive,correct,2200,0.815,0.18500000000000005,200,191
N192_M96,all_zero,additive,correct,2300,0.825,0.17500000000000004,200,191
N192_M96,all_zero,additive,correct,2400,0.835,0.16500000000000004,200,191
N192_M96,all_zero,additive,correct,2500,0.835,0.16500000000000004,200,191
N192_M96,all_zero,additive,correct,2600,0.845,0.15500000000000003,200,191
N192_M96,all_zero,additive,correct,2700,0.85,0.15000000000000002,200,191
N192_M96,all_zero,additive,correct,2800,0.85,0.15000000000000002,200,191
N192_M96,all_zero,additive,correct,2900,0.855,0.14500000000000002,200,191
N192_M96,all_zero,additive,correct,3000,0.855,0.14500000000000002,200,191
N192_M96,all_zero,additive,correct,3100,0.86,0.14,200,191
N192_M96,all_zero,additive,correct,3200,0.86,0.14,200,191
N192_M96,all_zero,additive,correct,3300,0.865,0.135,200,191
N192_M96,all_zero,additive,correct,3400,0.865,0.135,200,191
N192_M96,all_zero,additive,correct,3500,0.87,0.13,200,191
N192_M96,all_zero,additive,correct,3600,0.87,0.13,200,191
N192_M96,all_zero,additive,correct,3700,0.875,0.125,200,191
N192_M96,all_zero,additive,correct,3800,0.875,0.125,200,191
N192_M96,all_zero,additive,correct,3900,0.88,0.12,200,191
N192_M96,all_zero,additive,correct,4000,0.885,0.11499999999999999,200,191
N192_M96,all_zero,additive,correct,4100,0.885,0.11499999999999999,200,191
N192_M96,all_zero,additive,correct,4200,0.885,0.11499999999999999,200,191
N192_M96,all_zero,additive,correct,4300,0.89,0.10999999999999999,200,191
N192_M96,all_zero,additive,correct,4400,0.89,0.10999999999999999,200,191
N192_M96,all_zero,additive,correct,4500,0.89,0.10999999999999999,200,191
N192_M96,all_zero,additive,correct,4600,0.89,0.10999999999999999,200,191
N192_M96,all_zero,additive,correct,4700,0.89,0.10999999999999999,200,191
N192_M96,all_zero,additive,correct,4800,0.89,0.10999999999999999,200,191
N192_M96,all_zero,additive,correct,4900,0.89,0.10999999999999999,200,191
N192_M96,all_zero,additive,correct,5000,0.89,0.10999999999999999,200,191
N192_M96,all_zero,additive,correct,5100,0.89,0.10999999999999999,200,191
N192_M96,all_zero,additive,correct,5200,0.89,0.10999999999999999,200,191
N192_M96,all_zero,additive,correct,5300,0.89,0.10999999999999999,200,191
N192_M96,all_zero,additive,correct,5400,0.89,0.10999999999999999,200,191
N192_M96,all_zero,additive,correct,5500,0.89,0.10999999999999999,200,191
N192_M96,all_zero,additive,correct,5600,0.895,0.10499999999999998,200,191
N192_M96,all_zero,additive,correct,5700,0.895,0.10499999999999998,200,191
N192_M96,all_zero,additive,correct,5800,0.895,0.10499999999999998,200,191
N192_M96,all_zero,additive,correct,5900,0.895,0.10499999999999998,200,191
N192_M96,all_zero,additive,correct,6000,0.895,0.10499999999999998,200,191
N192_M96,all_zero,additive,correct,6100,0.895,0.10499999999999998,200,191
N192_M96,all_zero,additive,correct,6200,0.895,0.10499999999999998,200,191
N192_M96,all_zero,additive,correct,6300,0.9,0.09999999999999998,200,191
N192_M96,all_zero,additive,correct,6400,0.9,0.09999999999999998,200,191
N192_M96,all_zero,additive,correct,6500,0.9,0.09999999999999998,200,191
N192_M96,all_zero,additive,correct,6600,0.9,0.09999999999999998,200,191
N192_M96,all_zero,additive,correct,6700,0.9,0.09999999999999998,200,191
N192_M96,all_zero,additive,correct,6800,0.9,0.09999999999999998,200,191
N192_M96,all_zero,additive,correct,6900,0.9,0.09999999999999998,200,191
N192_M96,all_zero,additive,correct,7000,0.9,0.09999999999999998,200,191
N192_M96,all_zero,additive,correct,7100,0.9,0.09999999999999998,200,191
N192_M96,all_zero,additive,correct,7200,0.91,0.08999999999999997,200,191
N192_M96,all_zero,additive,correct,7300,0.91,0.08999999999999997,200,191
N192_M96,all_zero,additive,correct,7400,0.91,0.08999999999999997,200,191
N192_M96,all_zero,additive,correct,7500,0.91,0.08999999999999997,200,191
N192_M96,all_zero,additive,correct,7600,0.91,0.08999999999999997,200,191
N192_M96,all_zero,additive,correct,7700,0.91,0.08999999999999997,200,191
N192_M96,all_zero,additive,correct,7800,0.91,0.08999999999999997,200,191
N192_M96,all_zero,additive,correct,7900,0.91,0.08999999999999997,200,191
N192_M96,all_zero,additive,correct,8000,0.91,0.08999999999999997,200,191
N192_M96,all_zero,additive,correct,8100,0.91,0.08999999999999997,200,191
N192_M96,all_zero,additive,correct,8200,0.91,0.08999999999999997,200,191
N192_M96,all_zero,additive,correct,8300,0.91,0.08999999999999997,200,191
N192_M96,all_zero,additive,correct,8400,0.915,0.08499999999999996,200,191
N192_M96,all_zero,additive,correct,8500,0.92,0.07999999999999996,200,191
N192_M96,all_zero,additive,correct,8600,0.92,0.07999999999999996,200,191
