size,initialization,seed,trial_index,channel_sha256,codeword_sha256,initial_state_sha256,initialization_seed_description,response_state_zero,initial_BER,initial_syndrome_weight,initial_syndrome_weight_fraction,initial_valid,initial_correct,initial_channel_alignment,initial_hard_channel_disagreement_rate
N192_M96,all_zero,20260826,0,29f48608fe4bf7dab5e129b8f9e6e405e4fb524463ac57da5b4cd29aa9ca46ef,3ad759230d6c3c47e919fc928d518d618860d8339650061af96e98922908c910,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.53125,0,0.0,1,0,-0.02307414042123128,0.5104166666666666
N192_M96,random,20260826,0,29f48608fe4bf7dab5e129b8f9e6e405e4fb524463ac57da5b4cd29aa9ca46ef,3ad759230d6c3c47e919fc928d518d618860d8339650061af96e98922908c910,cf8ba96ea20caee1a87ad331786dc7c37ce7d6e0d48982b6ec89aeecfa0d3130,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.4479166666666667,44,0.4583333333333333,0,0,0.1340187607305429,0.4270833333333333
N192_M96,channel_hard,20260826,0,29f48608fe4bf7dab5e129b8f9e6e405e4fb524463ac57da5b4cd29aa9ca46ef,3ad759230d6c3c47e919fc928d518d618860d8339650061af96e98922908c910,0d027f8624c01674907db6eb0436089a7c6c1c03cdf2382de9ae5ebe94518739,bit 1 iff received BPSK sample y_i < 0 (equivalently z_i < 0),1,0.08333333333333333,34,0.3541666666666667,0,0,0.7626266585904599,0.0
N192_M96,all_zero,20260826,1,0bbcd326656c033012cc96f1bf4b8ca8dea878d601d076633818818902b26435,03c3476a0254d5c72011f58e33e13ea44c8327346f85c47a316ee98adf74fd4a,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.46875,0,0.0,1,0,0.006793688345255062,0.4947916666666667
N192_M96,random,20260826,1,0bbcd326656c033012cc96f1bf4b8ca8dea878d601d076633818818902b26435,03c3476a0254d5c72011f58e33e13ea44c8327346f85c47a316ee98adf74fd4a,2aac081674f1aab088b5b325eb6870153efcb998437537e0599735f68eb6e56c,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.4895833333333333,48,0.5,0,0,0.08418229882860763,0.4739583333333333
N192_M96,channel_hard,20260826,1,0bbcd326656c033012cc96f1bf4b8ca8dea878d601d076633818818902b26435,03c3476a0254d5c72011f58e33e13ea44c8327346f85c47a316ee98adf74fd4a,4dd21dbc156be9937749b755050717a43230b29182d2dafaaa972e4fbf81f5c3,bit 1 iff received BPSK sample y_i < 0 (equivalently z_i < 0),1,0.078125,33,0.34375,0,0,0.7798582124893946,0.0
N192_M96,all_zero,20260826,2,c3fd6ef7979395dc064e990922a1f0e18098f407dd8b34abfe682a1d3b392479,1beda5b54c1f1f6161c7ab6ee3faf8d3da449efd1162e61ecfef4b37eb2b83cf,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.46875,0,0.0,1,0,0.0647501718560144,0.46875
N192_M96,random,20260826,2,c3fd6ef7979395dc064e990922a1f0e18098f407dd8b34abfe682a1d3b392479,1beda5b54c1f1f6161c7ab6ee3faf8d3da449efd1162e61ecfef4b37eb2b83cf,e48e66364f9d8caf33222f8c0db951d202d3501573c14cce08b90d6a5bd44fb6,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.5833333333333334,48,0.5,0,0,-0.17452437466863813,0.6041666666666666
N192_M96,channel_hard,20260826,2,c3fd6ef7979395dc064e990922a1f0e18098f407dd8b34abfe682a1d3b392479,1beda5b54c1f1f6161c7ab6ee3faf8d3da449efd1162e61ecfef4b37eb2b83cf,ba58567f908d040dc61bdab45e7b158af52195a4544c21b078575ad8b5e626e1,bit 1 iff received BPSK sample y_i < 0 (equivalently z_i < 0),1,0.07291666666666667,18,0.1875,0,0,0.7622484660658465,0.0
N192_M96,all_zero,20260826,3,7b1b4091e3a42cb4ca294aef8f6a6673406def8e91e3066b2ab977049861ee97,d50090f304b5ed54fc5091d70a0f9b73b60501056364fe16f10ec89d866d86cc,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.5,0,0.0,1,0,-0.024413415555351436,0.5208333333333334
