size,initialization,variant,seed,n_trajectories,initial_BER_mean,initial_BER_n,initial_syndrome_weight_fraction_mean,initial_syndrome_weight_fraction_n,initial_channel_alignment_mean,initial_channel_alignment_n,initial_hard_channel_disagreement_rate_mean,initial_hard_channel_disagreement_rate_n,decoded_BER_mean,decoded_BER_n,decoded_FER_mean,decoded_FER_n,decoded_syndrome_weight_mean,decoded_syndrome_weight_n,final_state_BER_mean,final_state_BER_n,mean_state_BER_mean,mean_state_BER_n,late_state_BER_mean,late_state_BER_n,mean_syndrome_weight_fraction_mean,mean_syndrome_weight_fraction_n,late_syndrome_weight_fraction_mean,late_syndrome_weight_fraction_n,mean_bit_flip_rate_mean,mean_bit_flip_rate_n,late_bit_flip_rate_mean,late_bit_flip_rate_n,mean_backflip_rate_mean,mean_backflip_rate_n,late_backflip_rate_mean,late_backflip_rate_n,mean_channel_alignment_mean,mean_channel_alignment_n,late_channel_alignment_mean,late_channel_alignment_n,reached_correct_mean,reached_correct_n,first_correct_cycle_mean,first_correct_cycle_n,correct_residence_fraction_mean,correct_residence_fraction_n,correct_escape_probability_mean,correct_escape_probability_n,correct_return_probability_mean,correct_return_probability_n,correct_mean_return_time_mean,correct_mean_return_time_n
N192_M96,all_zero,additive,20260826,20,0.4911458333333333,20,0.0,20,0.0044528047410977495,20,0.4966145833333333,20,0.0,20,0.0,20,0.0,20,0.0,20,nan,0,0.0003363172743055556,20,0.009705349392361111,20,0.00032020399305555556,20,0.0013476562500000001,20,4.676649305555555e-05,20,0.0007125523249054795,20,2.2995889143427707e-05,20,0.6975754511120392,20,0.6989644202156787,20,1.0,20,2345.15,20,1.0,20,0.0,20,nan,0,nan,0
N192_M96,all_zero,additive,20268848,20,0.4885416666666666,20,0.0,20,0.017626180000153847,20,0.4898437499999999,20,0.0,20,0.0,20,0.0,20,0.0,20,nan,0,0.0006086154513888889,20,0.010767632378472222,20,0.000751953125,20,0.0014456922743055556,20,0.00010167100694444445,20,0.0007391196315448022,20,5.1023434530727206e-05,20,0.6904268795278331,20,0.6908073063390187,20,1.0,20,3061.15,20,0.9999946201850657,20,2.690341673392521e-06,20,1.0,1,2.0,1
N192_M96,all_zero,additive,20276870,20,0.5036458333333332,20,0.0,20,-0.001353896292259437,20,0.4958333333333333,20,0.0049479166666666664,20,0.05,20,0.05,20,0.0075520833333333325,20,nan,0,0.00565283203125,20,0.007283908420138889,20,0.004102756076388889,20,0.0010599365234375,20,0.0005394422743055556,20,0.0005591892493554036,20,0.00030431335895886297,20,0.7070323015969733,20,0.7081026168969115,20,0.95,20,726.1052631578947,19,0.999997228604131,19,2.771687763830029e-06,19,1.0,1,1.0,1
N192_M96,all_zero,additive,20284892,20,0.4942708333333333,20,0.0,20,0.004453338073342891,20,0.4971354166666666,20,0.016145833333333335,20,0.1,20,0.1,20,0.015625,20,nan,0,0.015979166666666666,20,0.010985243055555555,20,0.004329861111111112,20,0.0015603841145833334,20,0.0005938042534722222,20,0.0008500879789714073,20,0.0003460231694431615,20,0.6863191842015178,20,0.686583910946843,20,0.9,20,1125.6666666666667,18,0.9999181426568846,18,5.1241058435303035e-06,18,1.0,1,16.0,1
N192_M96,all_zero,additive,20292914,20,0.4942708333333333,20,0.0,20,0.022538082297949617,20,0.4888020833333334,20,0.007291666666666667,20,0.05,20,0.1,20,0.006770833333333333,20,nan,0,0.0074847005208333334,20,0.00895876736111111,20,0.005161024305555555,20,0.0012689344618055556,20,0.0007146267361111111,20,0.0006846346490645817,20,0.0004200291972293259,20,0.6949421751535763,20,0.6958821368272585,20,0.95,20,1101.2631578947369,19,0.9999722042883042,19,8.379594834858587e-06,19,1.0,3,3.3333333333333335,3
N192_M96,all_zero,additive,20300936,20,0.49479166666666663,20,0.0,20,0.008952856138774673,20,0.4979166666666668,20,0.0,20,0.0,20,0.0,20,0.0,20,nan,0,0.0,20,0.005481852213541667,20,0.0,20,0.0008431803385416667,20,0.0,20,0.00041624062158766113,20,0.0,20,0.6887856202472191,20,0.6903130396380525,20,1.0,20,1266.75,20,0.9999863356339876,20,8.156218268337868e-06,20,1.0,3,1.6666666666666667,3
N192_M96,all_zero,additive,20308958,20,0.5088541666666666,20,0.0,20,-0.005720453341430722,20,0.5028645833333332,20,0.017447916666666667,20,0.1,20,0.05,20,0.014322916666666668,20,nan,0,0.01566965060763889,20,0.010383816189236112,20,0.004972330729166667,20,0.0015184054904513887,20,0.00074072265625,20,0.0008195822804755682,20,0.0004285348154699687,20,0.6909804733970042,20,0.6926566718090369,20,0.9,20,1550.888888888889,18,0.9999784798520229,18,9.120007850383962e-06,18,1.0,2,2.0,2
N192_M96,all_zero,additive,20316980,20,0.4968749999999999,20,0.0,20,0.014606645203706844,20,0.49088541666666663,20,0.0,20,0.0,20,0.0,20,0.0,20,nan,0,0.0,20,0.0022825520833333335,20,0.0,20,0.00039575195312499994,20,0.0,20,0.00018550477177174722,20,0.0,20,0.7002193169815683,20,0.7012193145745398,20,1.0,20,446.65,20,0.9999920373081531,20,5.346832639331926e-06,20,1.0,2,1.5,2
N192_M96,all_zero,additive,20325002,20,0.4958333333333334,20,0.0,20,0.007782649414032922,20,0.4971354166666668,20,0.017708333333333333,20,0.1,20,0.2,20,0.012239583333333333,20,nan,0,0.012702799479166665,20,0.010573974609375,20,0.008709852430555557,20,0.0014847954644097222,20,0.0011724175347222223,20,0.0008146342092929971,20,0.0006742743599899512,20,0.6889834371300095,20,0.6902354204930398,20,0.9,20,636.3333333333334,18,0.9999941655194969,18,5.835093312480606e-06,18,1.0,2,1.0,2
N192_M96,all_zero,additive,20333024,20,0.5041666666666667,20,0.0,20,0.00031696548877917734,20,0.4984375,20,0.004427083333333333,20,0.05,20,0.15,20,0.008333333333333333,20,nan,0,0.007123263888888889,20,0.009025987413194443,20,0.0047345920138888884,20,0.001312038845486111,20,0.0006445312499999999,20,0.0007031171902492743,20,0.0003758670692111663,20,0.6958809973289154,20,0.6970695472264772,20,0.95,20,963.421052631579,19,0.9999916214881616,19,5.61919691015918e-06,19,1.0,2,1.5,2
