problem,size,mode,stage,candidate_id,rank,graph_type,instance_seed,EbNo_dB,kw,kr,alpha,alpha_mode,psa_p,lambda_mem,response_lambda,I0_min,I0_max,I0_schedule_type,I0_schedule_shape,I0_hold_fraction,decision_method,burn_in,sample_window,n_cycles,BER,FER,syndrome_violation,BP_BER,BP_FER,BER_ratio_to_BP,FER_ratio_to_BP,best_cut,normalized_cut,approximation_ratio,best_unsat,mean_unsat,mean_unsat_rate,best_unsat_rate,std_unsat,valid_assignment_rate,success_rate,score,seed
ldpc,N192_M96,BP,bp_baseline,,,,,2.0,,,,,,,,,,,,,,,,,0.014819791666666667,0.1716,0.0,0.014819791666666667,0.1716,1.0,1.0,,,,,,,,,,,0.0,
ldpc,N192_M96,BP,bp_baseline,,,,,2.5,,,,,,,,,,,,,,,,,0.004305208333333334,0.0544,0.0,0.004305208333333334,0.0544,1.0,1.0,,,,,,,,,,,0.0,
ldpc,N192_M96,BP,bp_baseline,,,,,3.0,,,,,,,,,,,,,,,,,0.0010979166666666667,0.0158,0.0,0.0010979166666666667,0.0158,1.0,1.0,,,,,,,,,,,0.0,
ldpc,N192_M96,pSA,final,469,16,,,2.0,0.3430241178977162,0.3262471740842879,1.0318412467423008,llr,0.7865345087606593,0.0,0.0,0.32981983645701185,7.868124679409796,linear,0.0506267761894685,0.2336929638583799,majority,12836,3856,19200,0.054673958333333335,0.5461,0.5378,0.014819791666666667,0.1716,3.689252829127715,3.1824009324009324,,,,,,,,,,,1.0597640197053655,607919;615941;623963;631985;640007;648029;656051;664073;672095;680117
ldpc,N192_M96,pSA,final,469,16,,,2.5,0.3430241178977162,0.3262471740842879,1.0318412467423008,llr,0.7865345087606593,0.0,0.0,0.32981983645701185,7.868124679409796,linear,0.0506267761894685,0.2336929638583799,majority,12836,3856,19200,0.02647760416666667,0.2888,0.2814,0.004305208333333334,0.0544,6.150133075248004,5.308823529411765,,,,,,,,,,,1.0597640197053655,607919;615941;623963;631985;640007;648029;656051;664073;672095;680117
ldpc,N192_M96,pSA,final,469,16,,,3.0,0.3430241178977162,0.3262471740842879,1.0318412467423008,llr,0.7865345087606593,0.0,0.0,0.32981983645701185,7.868124679409796,linear,0.0506267761894685,0.2336929638583799,majority,12836,3856,19200,0.009586458333333334,0.1145,0.1104,0.0010979166666666667,0.0158,8.731499051233397,7.246835443037974,,,,,,,,,,,1.0597640197053655,607919;615941;623963;631985;640007;648029;656051;664073;672095;680117
ldpc,N192_M96,lambda_pSA,lambda_sweep,29,1,,,2.0,3.8476037044406635,3.928670043006602,0.8016757269480528,snr,0.46612896078723015,0.94,0.0,0.07744740706187082,0.7389920491353419,cosine,0.12421434807118831,0.5645127352120207,best_state,13837,5306,19200,0.0176484375,0.1314,0.1164,0.014819791666666667,0.1716,1.190869473536234,0.7657342657342656,,,,,,,,,,,0.09576068368144422,499651
ldpc,N192_M96,lambda_pSA,lambda_sweep,29,1,,,2.5,3.8476037044406635,3.928670043006602,0.8016757269480528,snr,0.46612896078723015,0.94,0.0,0.07744740706187082,0.7389920491353419,cosine,0.12421434807118831,0.5645127352120207,best_state,13837,5306,19200,0.004197916666666667,0.0375,0.0313,0.004305208333333334,0.0544,0.9750786353738204,0.6893382352941176,,,,,,,,,,,0.09576068368144422,499651
ldpc,N192_M96,lambda_pSA,lambda_sweep,29,1,,,3.0,3.8476037044406635,3.928670043006602,0.8016757269480528,snr,0.46612896078723015,0.94,0.0,0.07744740706187082,0.7389920491353419,cosine,0.12421434807118831,0.5645127352120207,best_state,13837,5306,19200,0.0010098958333333333,0.0111,0.0083,0.0010979166666666667,0.0158,0.9198292220113852,0.7025316455696202,,,,,,,,,,,0.09576068368144422,499651
ldpc,N192_M96,tau_pSA,tau_sweep,2,1,,,2.0,0.9814611700833891,1.429970214751854,1.8207528257094603,snr,0.6266061817510903,0.0,0.02,2.000966957219051,2.079970768706409,linear,1.330546291275062,0.39169289590370837,best_state,1086,11339,12800,0.0602796875,0.696,0.6954,0.014819791666666667,0.1716,4.067512476277501,4.055944055944056,,,,,,,,,,,1.2548289255179303,335838
ldpc,N192_M96,tau_pSA,tau_sweep,2,1,,,2.5,0.9814611700833891,1.429970214751854,1.8207528257094603,snr,0.6266061817510903,0.0,0.02,2.000966957219051,2.079970768706409,linear,1.330546291275062,0.39169289590370837,best_state,1086,11339,12800,0.03134270833333333,0.4548,0.4546,0.004305208333333334,0.0544,7.28018388579724,8.36029411764706,,,,,,,,,,,1.2548289255179303,335838
ldpc,N192_M96,tau_pSA,tau_sweep,2,1,,,3.0,0.9814611700833891,1.429970214751854,1.8207528257094603,snr,0.6266061817510903,0.0,0.02,2.000966957219051,2.079970768706409,linear,1.330546291275062,0.39169289590370837,best_state,1086,11339,12800,0.012819270833333334,0.2267,0.2266,0.0010979166666666667,0.0158,11.675996204933586,14.348101265822784,,,,,,,,,,,1.2548289255179303,335838
