size,code_id,realization_type,generation_seed,matrix_sha256,gf2_rank,actual_rate,scope,EbNo_dB,pSA_BER,additive_BER,absolute_BER_reduction,relative_BER_reduction,log10_BER_ratio,log10_BER_ratio_continuity_corrected,pSA_FER,additive_FER,absolute_FER_reduction,relative_FER_reduction,pSA_syndrome_violation_rate,additive_syndrome_violation_rate,pSA_avg_syndrome_weight,additive_avg_syndrome_weight,BER_additive_better,FER_additive_better,BER_tie,FER_tie,pSA_bit_errors,additive_bit_errors,pSA_frame_errors,additive_frame_errors,n_trials_per_mode,n_bits_per_mode,parameter_transfer_policy
N192_M96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,per_EbNo,2.0,0.30209375,0.017145833333333332,0.28494791666666663,0.9432433364366745,-1.2459831424362995,-1.2459209291154252,1.0,0.124,0.876,0.876,1.0,0.113,21.454,0.194,1,1,0,0,58002,3292,1000,124,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,per_EbNo,2.5,0.28228125,0.004432291666666667,0.27784895833333334,0.9842983135909075,-1.8040537005314774,-1.8038026148534676,1.0,0.043,0.957,0.957,1.0,0.036,20.712,0.065,1,1,0,0,54198,851,1000,43,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,per_EbNo,3.0,0.25953125,0.0013229166666666667,0.2582083333333333,0.9949026690748545,-2.2926571705511187,-2.2918074582376233,0.999,0.014,0.985,0.985985985985986,0.999,0.014,19.662,0.022,1,1,0,0,49830,254,999,14,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,existing_00,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,pooled_across_EbNo,,0.28130208333333334,0.007633680555555556,0.27366840277777776,0.9728630500524593,-1.5664389663811498,-1.566390924036178,0.9996666666666667,0.060333333333333336,0.9393333333333334,0.9396465488496165,0.9996666666666667,0.05433333333333333,20.609333333333332,0.09366666666666666,1,1,0,0,162030,4397,2999,181,3000,576000,fixed_size_specific_no_code_retuning
N192_M96,new_01,new,2026082701,a28501c1d8835679c90f0a33ec7ba676312b6ce805367a8e5c204e0a460d7be6,96,0.5,per_EbNo,2.0,0.30258854166666665,0.017489583333333333,0.2850989583333333,0.9422001136031121,-1.238073015165166,-1.2380120919834223,1.0,0.144,0.856,0.856,1.0,0.117,21.483,0.194,1,1,0,0,58097,3358,1000,144,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_01,new,2026082701,a28501c1d8835679c90f0a33ec7ba676312b6ce805367a8e5c204e0a460d7be6,96,0.5,per_EbNo,2.5,0.281578125,0.0047552083333333335,0.2768229166666667,0.9831122949151916,-1.7724293638523811,-1.7721956062387672,1.0,0.051,0.949,0.949,1.0,0.034,20.481,0.053,1,1,0,0,54063,913,1000,51,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_01,new,2026082701,a28501c1d8835679c90f0a33ec7ba676312b6ce805367a8e5c204e0a460d7be6,96,0.5,per_EbNo,3.0,0.2610104166666667,0.0009635416666666667,0.260046875,0.9963084168096739,-2.432787340246402,-2.4316194877421653,1.0,0.019,0.981,0.981,1.0,0.005,19.726,0.007,1,1,0,0,50114,185,1000,19,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_01,new,2026082701,a28501c1d8835679c90f0a33ec7ba676312b6ce805367a8e5c204e0a460d7be6,96,0.5,pooled_across_EbNo,,0.28172569444444445,0.007736111111111111,0.27398958333333334,0.9725402713928294,-1.5613037593421875,-1.5612563687982268,1.0,0.07133333333333333,0.9286666666666666,0.9286666666666666,1.0,0.052,20.563333333333333,0.08466666666666667,1,1,0,0,162274,4456,3000,214,3000,576000,fixed_size_specific_no_code_retuning
N192_M96,new_02,new,2026082702,6904f018d720f85f9dfd8cc3c9b07950da23e63cd1a08801cb8445ceb5209678,96,0.5,per_EbNo,2.0,0.301625,0.015708333333333335,0.28591666666666665,0.9479209835612654,-1.2833372264226555,-1.2832689835587885,1.0,0.12,0.88,0.88,1.0,0.107,21.56,0.17,1,1,0,0,57912,3016,1000,120,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_02,new,2026082702,6904f018d720f85f9dfd8cc3c9b07950da23e63cd1a08801cb8445ceb5209678,96,0.5,per_EbNo,2.5,0.28139583333333335,0.003625,0.27777083333333336,0.9871177907751537,-1.8900096515814144,-1.88970178957459,1.0,0.035,0.965,0.965,1.0,0.028,20.68,0.042,1,1,0,0,54028,696,1000,35,1000,192000,fixed_size_specific_no_code_retuning
