size,initialization,reference,comparator,metric,contrast_definition,positive_value_favors_additive,mean_paired_difference,seed_batch_sd,seed_batch_sem,ci95_low,ci95_high,n_seed_batches,n_paired_trajectories_with_finite_metric
N192_M96,all_zero,additive,pSA,reached_correct,additive_minus_comparator,1,0.9549999999999998,0.04377975178854565,0.013844373104863455,0.9236840280367987,0.986315971963201,10,200
N192_M96,all_zero,additive,pSA,decoded_BER,comparator_minus_additive,1,0.28239583333333335,0.015179410282609059,0.0048001510031224805,0.2715378917642703,0.2932537749023964,10,200
N192_M96,all_zero,additive,pSA,late_state_BER,comparator_minus_additive,1,0.3213796712239583,0.005859904286613654,0.001853064441628328,0.317188039456995,0.3255713029909216,10,200
N192_M96,all_zero,additive,pSA,first_correct_cycle,comparator_minus_additive_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N192_M96,all_zero,additive,pSA,late_syndrome_weight_fraction,comparator_minus_additive,1,0.42848785807291667,0.0030263722173197796,0.0009570229254184582,0.4263230722156201,0.43065264393021324,10,200
N192_M96,all_zero,additive,pSA,late_backflip_rate,comparator_minus_additive,1,0.14414496505264388,0.0010868895027107217,0.00034370463934936345,0.1433675051584356,0.14492242494685215,10,200
N192_M96,all_zero,additive,pSA,late_channel_alignment,additive_minus_comparator,1,0.3692386350783433,0.003976941348536211,0.0012576192782275967,0.3663939002709925,0.3720833698856941,10,200
N192_M96,all_zero,additive,pSA,correct_residence_fraction,additive_minus_comparator_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N192_M96,all_zero,additive,gain_only,reached_correct,additive_minus_comparator,1,0.9549999999999998,0.04377975178854565,0.013844373104863455,0.9236840280367987,0.986315971963201,10,200
N192_M96,all_zero,additive,gain_only,decoded_BER,comparator_minus_additive,1,0.4904427083333333,0.007712564920215196,0.002438927174979483,0.4849258550635297,0.4959595616031369,10,200
N192_M96,all_zero,additive,gain_only,late_state_BER,comparator_minus_additive,1,0.4906838487413194,0.006571986921525269,0.0020782447424858115,0.48598285913381645,0.4953848383488223,10,200
N192_M96,all_zero,additive,gain_only,first_correct_cycle,comparator_minus_additive_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N192_M96,all_zero,additive,gain_only,late_syndrome_weight_fraction,comparator_minus_additive,1,-0.003308257378472222,0.002914346421943436,0.0009215972584103376,-0.005392910376996405,-0.0012236043799480384,10,200
N192_M96,all_zero,additive,gain_only,late_backflip_rate,comparator_minus_additive,1,-0.00026230612939765916,0.00023176002475682372,7.328895488085742e-05,-0.00042808574533815863,-9.65265134571597e-05,10,200
N192_M96,all_zero,additive,gain_only,late_channel_alignment,additive_minus_comparator,1,0.6878179213242708,0.011701725933978505,0.003700410650643319,0.6794475924325156,0.6961882502160259,10,200
N192_M96,all_zero,additive,gain_only,correct_residence_fraction,additive_minus_comparator_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N192_M96,all_zero,additive,shuffled,reached_correct,additive_minus_comparator,1,0.9549999999999998,0.04377975178854565,0.013844373104863455,0.9236840280367987,0.986315971963201,10,200
N192_M96,all_zero,additive,shuffled,decoded_BER,comparator_minus_additive,1,0.3801302083333333,0.010756921187927652,0.0034016371564775517,0.37243570508538104,0.3878247115812855,10,200
N192_M96,all_zero,additive,shuffled,late_state_BER,comparator_minus_additive,1,0.39215644531250005,0.006206000403657468,0.0019625096435481955,0.387717248498794,0.39659564212620607,10,200
N192_M96,all_zero,additive,shuffled,first_correct_cycle,comparator_minus_additive_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N192_M96,all_zero,additive,shuffled,late_syndrome_weight_fraction,comparator_minus_additive,1,0.47925136718750005,0.002958211513101204,0.0009354686181932836,0.4771353371731468,0.4813673972018533,10,200
N192_M96,all_zero,additive,shuffled,late_backflip_rate,comparator_minus_additive,1,0.20379247238425946,0.0005564661147498319,0.0001759700363314087,0.2033944281620778,0.2041905166064411,10,200
