size,anchor,lambda_mem,mean_BER,mean_FER,score,within_original_lambda_bound,selected_for_final_confirmation,evaluation_trials_per_EbNo,source_run
N96_M48,lambda,0.0,0.03581423611111111,0.3773333333333333,0.6255649680104872,True,False,2000,full_lambda_anchor_20260826
N96_M48,lambda,0.5,0.02059895833333333,0.229,0.24837824712132786,True,False,2000,full_lambda_anchor_20260826
N96_M48,lambda,0.8,0.01678125,0.205,0.14356993048046146,True,False,2000,full_lambda_anchor_20260826
N96_M48,lambda,0.9,0.015918402777777778,0.19316666666666668,0.11228086322642969,True,False,2000,full_lambda_anchor_20260826
N96_M48,lambda,0.95,0.015756944444444445,0.19033333333333333,0.11470473703055345,True,True,2000,full_lambda_anchor_20260826
N96_M48,lambda,1.0,0.01576736111111111,0.2005,0.1223963935587427,False,False,2000,full_lambda_anchor_20260826
N96_M48,lambda,1.1,0.015758680555555554,0.1975,0.1184922284493528,False,False,2000,full_lambda_anchor_20260826
N96_M48,lambda,1.25,0.015743055555555555,0.19883333333333333,0.12486226995478006,False,False,2000,full_lambda_anchor_20260826
N96_M48,lambda,1.4,0.016133680555555554,0.19833333333333333,0.1352762203066467,False,False,2000,full_lambda_anchor_20260826
N192_M96,lambda,0.0,0.28087239583333334,0.9996666666666667,2.587667123063537,True,False,2000,full_lambda_anchor_20260826
N192_M96,lambda,0.5,0.08377864583333332,0.5018333333333332,1.5888672936672834,True,False,2000,full_lambda_anchor_20260826
N192_M96,lambda,0.8,0.01292361111111111,0.09566666666666668,0.24768765475634524,True,False,2000,full_lambda_anchor_20260826
N192_M96,lambda,0.9,0.008717881944444445,0.067,0.13435432639553052,True,False,2000,full_lambda_anchor_20260826
N192_M96,lambda,0.95,0.007487847222222222,0.059000000000000004,0.09797276746406054,True,True,2000,full_lambda_anchor_20260826
N192_M96,lambda,1.0,0.008072916666666667,0.06466666666666666,0.1069516157133401,False,False,2000,full_lambda_anchor_20260826
N192_M96,lambda,1.1,0.008096354166666667,0.06883333333333334,0.13401975289346016,False,False,2000,full_lambda_anchor_20260826
N192_M96,lambda,1.25,0.007919270833333334,0.06683333333333334,0.1347350902076265,False,False,2000,full_lambda_anchor_20260826
N192_M96,lambda,1.4,0.008466145833333332,0.07133333333333335,0.14173767001875023,False,False,2000,full_lambda_anchor_20260826
N288_M144,lambda,0.0,0.3223640046296296,1.0,2.8879996117866034,True,False,2000,full_lambda_anchor_20260826
N288_M144,lambda,0.5,0.1105318287037037,0.5191666666666667,2.068519652478662,True,False,2000,full_lambda_anchor_20260826
N288_M144,lambda,0.8,0.007964699074074074,0.0675,0.3493795821533976,True,False,2000,full_lambda_anchor_20260826
N288_M144,lambda,0.9,0.007401620370370371,0.0695,0.2570980211794145,True,True,2000,full_lambda_anchor_20260826
N288_M144,lambda,0.95,0.00864525462962963,0.08716666666666667,0.2690318676313102,True,False,2000,full_lambda_anchor_20260826
N288_M144,lambda,1.0,0.00932175925925926,0.09733333333333333,0.31362724684990834,False,False,2000,full_lambda_anchor_20260826
N288_M144,lambda,1.1,0.010392361111111113,0.10933333333333334,0.39216636044364367,False,False,2000,full_lambda_anchor_20260826
N288_M144,lambda,1.25,0.009880787037037037,0.10216666666666667,0.37580354140359307,False,False,2000,full_lambda_anchor_20260826
N288_M144,lambda,1.4,0.01074537037037037,0.1095,0.47616057803679024,False,False,2000,full_lambda_anchor_20260826
N96_M48,pSA,0.0,0.02259201388888889,0.258,0.3540582165857824,True,False,2000,full_psa_anchor_20260826
N96_M48,pSA,0.5,0.023369791666666667,0.2661666666666667,0.36684566601536417,True,False,2000,full_psa_anchor_20260826
N96_M48,pSA,0.8,0.024805555555555556,0.2826666666666667,0.41489856269116543,True,False,2000,full_psa_anchor_20260826
N96_M48,pSA,0.95,0.025717013888888886,0.29,0.44336976119992294,True,False,2000,full_psa_anchor_20260826
N96_M48,pSA,1.1,0.02677777777777778,0.29516666666666663,0.47245902955770164,False,False,2000,full_psa_anchor_20260826
N192_M96,pSA,0.0,0.03027256944444445,0.3163333333333333,1.0494102834119174,True,False,2000,full_psa_anchor_20260826
N192_M96,pSA,0.5,0.026382812499999995,0.2511666666666667,0.9597661372136496,True,False,2000,full_psa_anchor_20260826
N192_M96,pSA,0.8,0.03774131944444444,0.3595,1.2435661651371521,True,False,2000,full_psa_anchor_20260826
N192_M96,pSA,0.95,0.0443828125,0.42533333333333334,1.3720199335044319,True,False,2000,full_psa_anchor_20260826
N192_M96,pSA,1.1,0.045013020833333334,0.43100000000000005,1.388212953737284,False,False,2000,full_psa_anchor_20260826
N288_M144,pSA,0.0,0.04003587962962963,0.39733333333333337,1.447288185152042,True,False,2000,full_psa_anchor_20260826
N288_M144,pSA,0.5,0.47446875,0.9606666666666666,2.5598277867970607,True,False,2000,full_psa_anchor_20260826
N288_M144,pSA,0.8,0.4760324074074074,0.9626666666666667,2.5607698866778983,True,False,2000,full_psa_anchor_20260826
N288_M144,pSA,0.95,0.47751331018518517,0.9663333333333334,2.5627838244653285,True,False,2000,full_psa_anchor_20260826
N288_M144,pSA,1.1,0.4785931712962963,0.9683333333333334,2.563861731086258,False,False,2000,full_psa_anchor_20260826
