stage,alpha,kw,rho,metric,stratum,n_formulas,baseline_mean,treatment_mean,mean_difference_treatment_minus_baseline,ci95_low,ci95_high,relative_reduction_pct,standardized_paired_effect_dz,paired_t_pvalue,wilcoxon_pvalue,improved_formula_count,worsened_formula_count,tied_formula_count,improved_formula_fraction,improved_formula_fraction_ci_low,improved_formula_fraction_ci_high,holm_adjusted_pvalue_primary_metric_within_alpha,is_preregistered_primary
A,1.2,4.0,0.02,all_mean_selected_unsat_rate,all,30,0.0022311111111111117,0.0022422222222222223,1.1111111111111076e-05,-6.11111111111115e-06,2.7777777777777782e-05,-0.49800796812746745,0.23046377831137096,0.21689740331060342,0.11474930212694641,6,15,9,0.2,0.0950510717728987,0.3730569641314825,1.0,False
A,1.2,4.0,0.02,all_mean_selected_unsat,all,30,1.3386666666666662,1.345333333333333,0.006666666666666672,-0.0036666666666666774,0.016666666666666663,-0.4980079681275017,0.23046377831137177,0.2168974033106019,0.10746818540292875,6,15,9,0.2,0.0950510717728987,0.3730569641314825,,False
A,1.2,4.0,0.02,all_mean_final_unsat_rate,all,30,0.008557777777777779,0.008802222222222222,0.00024444444444444443,0.00016333333333333328,0.0003316805555555547,-2.8564009348221067,1.010714074464303,5.727803168862861e-06,9.717639790607734e-06,2,26,2,0.06666666666666667,0.018477023791270378,0.2132345836261692,,False
A,1.2,4.0,0.02,SAT_success_rate,SAT,13,0.5292307692307692,0.5176923076923076,-0.011538461538461532,-0.023076923076923064,-0.0023076923076922992,,-0.5787811270697315,0.05890603262599774,0.078125,1,6,6,0.07692307692307693,0.013710421242556586,0.3331395092109959,,False
A,1.2,4.0,0.02,SAT_mean_selected_unsat_rate,SAT,13,0.0007923076923076924,0.0008141025641025641,2.1794871794871755e-05,3.846153846153839e-06,4.48717948717948e-05,-2.750809061488654,0.5543805763794897,0.0687939494455922,0.0625,1,6,6,0.07692307692307693,0.013710421242556586,0.3331395092109959,,False
A,1.2,4.0,0.02,UNSAT_mean_selected_unsat_rate,UNSAT,17,0.0033313725490196084,0.003334313725490196,2.9411764705882045e-06,-2.254901960784327e-05,2.6470588235294085e-05,-0.08828722778102568,0.05470960353708599,0.8243892282813535,0.7035984913251685,5,9,3,0.29411764705882354,0.1327998961029523,0.5313311006653985,,False
A,1.2,4.0,0.04,all_mean_selected_unsat_rate,all,30,0.0022311111111111117,0.002257777777777778,2.6666666666666694e-05,7.777777777777701e-06,4.611111111111115e-05,-1.195219123505953,0.4837849928365079,0.012903944874274358,0.03492643564267043,8,16,6,0.26666666666666666,0.14182663319596317,0.4444796169518888,0.13115582685633412,False
A,1.2,4.0,0.04,all_mean_selected_unsat,all,30,1.3386666666666662,1.354666666666667,0.016000000000000028,0.0046666666666666835,0.028000000000000014,-1.1952191235060272,0.48378499283650933,0.012903944874274112,0.02839342731818993,8,16,6,0.26666666666666666,0.14182663319596317,0.4444796169518888,,False
A,1.2,4.0,0.04,all_mean_final_unsat_rate,all,30,0.008557777777777779,0.009036666666666665,0.00047888888888888883,0.0003611111111111108,0.0006072222222222221,-5.595949104128767,1.3727228511133467,2.7476648162626324e-08,2.7194482429132443e-06,1,27,2,0.03333333333333333,0.005908590381612455,0.16670390991409173,,False
A,1.2,4.0,0.04,SAT_success_rate,SAT,13,0.5292307692307692,0.5099999999999999,-0.019230769230769232,-0.0376923076923077,-0.002307692307692316,,-0.5611722937731537,0.06589701834583213,0.16015625,3,6,4,0.23076923076923078,0.08179528718498569,0.5025637594672749,,False
A,1.2,4.0,0.04,SAT_mean_selected_unsat_rate,SAT,13,0.0007923076923076924,0.0008243589743589744,3.205128205128206e-05,2.5641025641025546e-06,6.410256410256414e-05,-4.045307443365692,0.5422623527279704,0.07425745282553724,0.16015625,3,6,4,0.23076923076923078,0.08179528718498569,0.5025637594672749,,False
A,1.2,4.0,0.04,UNSAT_mean_selected_unsat_rate,UNSAT,17,0.0033313725490196084,0.0033539215686274504,2.2549019607843178e-05,-1.9607843137255804e-06,4.8039215686274625e-05,-0.6768687463213314,0.4227394817111431,0.10051573876496972,0.14118242448960025,5,10,2,0.29411764705882354,0.1327998961029523,0.5313311006653985,,False
A,1.2,4.0,0.06,all_mean_selected_unsat_rate,all,30,0.0022311111111111117,0.002273333333333334,4.222222222222225e-05,1.6111111111111084e-05,6.777777777777777e-05,-1.892430278884458,0.5747212058264122,0.0037895984990985914,0.005592302003874029,6,18,6,0.2,0.0950510717728987,0.3730569641314825,0.07200237148287324,False
A,1.2,4.0,0.06,all_mean_selected_unsat,all,30,1.3386666666666662,1.364,0.025333333333333357,0.00966666666666668,0.040333333333333374,-1.892430278884503,0.5747212058264131,0.003789598499098551,0.0055961173615946234,6,18,6,0.2,0.0950510717728987,0.3730569641314825,,False
A,1.2,4.0,0.06,all_mean_final_unsat_rate,all,30,0.008557777777777779,0.009163888888888888,0.000606111111111111,0.00043833333333333316,0.0007561111111111109,-7.082575954297564,1.3412799095981844,4.300093614692755e-08,1.7068443120489453e-05,1,27,2,0.03333333333333333,0.005908590381612455,0.16670390991409173,,False
A,1.2,4.0,0.06,SAT_success_rate,SAT,13,0.5292307692307692,0.5038461538461539,-0.02538461538461539,-0.04846153846153846,0.0007692307692307614,,-0.5482766522927935,0.0714977029389385,0.037109375,1,9,3,0.07692307692307693,0.013710421242556586,0.3331395092109959,,False
A,1.2,4.0,0.06,SAT_mean_selected_unsat_rate,SAT,13,0.0007923076923076924,0.0008384615384615385,4.6153846153846145e-05,-1.2820512820513493e-06,8.717948717948721e-05,-5.825242718446588,0.5428232374086979,0.07399599040147056,0.0390625,1,9,3,0.07692307692307693,0.013710421242556586,0.3331395092109959,,False
A,1.2,4.0,0.06,UNSAT_mean_selected_unsat_rate,UNSAT,17,0.0033313725490196084,0.0033705882352941174,3.921568627450986e-05,9.803921568627378e-06,7.058823529411761e-05,-1.1771630370806114,0.5953923742521421,0.0259190617490026,0.06359039663628233,5,9,3,0.29411764705882354,0.1327998961029523,0.5313311006653985,,False
A,1.2,4.0,0.08,all_mean_selected_unsat_rate,all,30,0.0022311111111111117,0.0023038888888888887,7.277777777777781e-05,4.277777777777778e-05,0.00010333333333333337,-3.2619521912350278,0.8458019010770595,7.033968066223367e-05,0.00043189477834211515,3,18,9,0.1,0.03459988874733419,0.25621082579184085,0.0016881523358936081,False
A,1.2,4.0,0.08,all_mean_selected_unsat,all,30,1.3386666666666662,1.3823333333333336,0.0436666666666667,0.025000000000000057,0.061666666666666745,-3.261952191235116,0.8458019010770603,7.033968066223281e-05,0.0003679705113708932,3,18,9,0.1,0.03459988874733419,0.25621082579184085,,False
A,1.2,4.0,0.08,all_mean_final_unsat_rate,all,30,0.008557777777777779,0.009374999999999998,0.000817222222222222,0.00062,0.0010233333333333331,-9.549467670734838,1.4378961812860265,1.098513280685455e-08,4.473533936001542e-06,2,26,2,0.06666666666666667,0.018477023791270378,0.2132345836261692,,False
A,1.2,4.0,0.08,SAT_success_rate,SAT,13,0.5292307692307692,0.4853846153846154,-0.043846153846153854,-0.06999999999999999,-0.018461538461538456,,-0.8842081290062074,0.007803599442520034,0.03515625,2,7,4,0.15384615384615385,0.043258178358081184,0.4223463101948254,,False
A,1.2,4.0,0.08,SAT_mean_selected_unsat_rate,SAT,13,0.0007923076923076924,0.000873076923076923,8.076923076923076e-05,3.205128205128205e-05,0.00012948717948717948,-10.194174757281532,0.8684218481348159,0.008673481394785023,0.03515625,2,7,4,0.15384615384615385,0.043258178358081184,0.4223463101948254,,False
A,1.2,4.0,0.08,UNSAT_mean_selected_unsat_rate,UNSAT,17,0.0033313725490196084,0.003398039215686275,6.666666666666674e-05,2.8431372549019692e-05,0.00010392156862745112,-2.0011771630370814,0.8060683549758053,0.004300925998771133,0.005680600440407623,1,11,5,0.058823529411764705,0.010460400984997592,0.26982030637575405,,False
A,1.2,4.0,0.12,all_mean_selected_unsat_rate,all,30,0.0022311111111111117,0.0023755555555555557,0.0001444444444444444,9.388888888888881e-05,0.00019833333333333327,-6.474103585657349,0.9726028886844816,1.0219053627430967e-05,7.790221451671537e-05,4,21,5,0.13333333333333333,0.053096554840547455,0.296813266820363,0.00025547634068577417,False
A,1.2,4.0,0.12,all_mean_selected_unsat,all,30,1.3386666666666662,1.4253333333333333,0.0866666666666667,0.056666666666666705,0.11934166666666599,-6.474103585657406,0.972602888684482,1.021905362743091e-05,6.257798142282004e-05,4,21,5,0.13333333333333333,0.053096554840547455,0.296813266820363,,False
A,1.2,4.0,0.12,all_mean_final_unsat_rate,all,30,0.008557777777777779,0.009913888888888887,0.0013561111111111109,0.0010788888888888888,0.0016389027777777767,-15.84653336795634,1.7101136009944904,2.8501304870957045e-10,4.045821755902947e-06,2,26,2,0.06666666666666667,0.018477023791270378,0.2132345836261692,,False
A,1.2,4.0,0.12,SAT_success_rate,SAT,13,0.5292307692307692,0.45769230769230757,-0.07153846153846154,-0.11461538461538459,-0.029980769230770903,,-0.8719814495456014,0.008469180117219888,0.04296875,3,8,2,0.23076923076923078,0.08179528718498569,0.5025637594672749,,False
A,1.2,4.0,0.12,SAT_mean_selected_unsat_rate,SAT,13,0.0007923076923076924,0.0009461538461538461,0.00015384615384615385,6.025641025641029e-05,0.0002564102564102564,-19.41747572815532,0.8195534744844596,0.01203321430450658,0.0224609375,3,8,2,0.23076923076923078,0.08179528718498569,0.5025637594672749,,False
A,1.2,4.0,0.12,UNSAT_mean_selected_unsat_rate,UNSAT,17,0.0033313725490196084,0.003468627450980392,0.00013725490196078426,8.333333333333326e-05,0.00019019607843137262,-4.120070629782205,1.1847666886323562,0.0001651800567870908,0.0010375538351269397,1,13,3,0.058823529411764705,0.010460400984997592,0.26982030637575405,,False
A,1.2,8.0,0.02,all_mean_selected_unsat_rate,all,30,0.002106666666666667,0.002119444444444444,1.2777777777777786e-05,-8.333333333333295e-06,3.333333333333339e-05,-0.6065400843881654,0.21540496352054755,0.24765931478985898,0.214895936673553,9,15,6,0.3,0.16664748268243793,0.47875787458714947,1.0,False
A,1.2,8.0,0.02,all_mean_selected_unsat,all,30,1.264,1.271666666666667,0.0076666666666666584,-0.004666666666666678,0.020000000000000004,-0.6065400843882067,0.21540496352054705,0.24765931478986006,0.19984248217399803,9,15,6,0.3,0.16664748268243793,0.47875787458714947,,False
A,1.2,8.0,0.02,all_mean_final_unsat_rate,all,30,0.0052927777777777765,0.005431666666666666,0.00013888888888888862,7.388888888888875e-05,0.00020111111111111084,-2.624120919491988,0.7628477471216909,0.0002460458380816924,0.0003033538812552456,4,23,3,0.13333333333333333,0.053096554840547455,0.296813266820363,,False
A,1.2,8.0,0.02,SAT_success_rate,SAT,13,0.5976923076923076,0.5915384615384615,-0.006153846153846149,-0.022307692307692303,0.009230769230769249,,-0.20226714164853085,0.4798207744808649,0.6142578125,5,6,2,0.38461538461538464,0.17709707797762575,0.6447710848733431,,False
A,1.2,8.0,0.02,SAT_mean_selected_unsat_rate,SAT,13,0.0006782051282051281,0.0006884615384615384,1.0256410256410258e-05,-1.5384615384615357e-05,3.7179487179487166e-05,-1.5122873345935748,0.206010481049842,0.4719051760478822,0.5517578125,5,6,2,0.38461538461538464,0.17709707797762575,0.6447710848733431,,False
A,1.2,8.0,0.02,UNSAT_mean_selected_unsat_rate,UNSAT,17,0.003199019607843138,0.0032137254901960788,1.4705882352941189e-05,-1.5686274509804006e-05,4.6078431372548815e-05,-0.45969966288690783,0.2189839359276692,0.37997475450080265,0.26176335406866125,4,9,4,0.23529411764705882,0.09555044322080117,0.4726179811956498,,False
A,1.2,8.0,0.04,all_mean_selected_unsat_rate,all,30,0.002106666666666667,0.002123333333333333,1.666666666666665e-05,-4.444444444444497e-06,3.6111111111111184e-05,-0.7911392405063037,0.2895082535986391,0.12365236918360349,0.04119787817332681,6,17,7,0.2,0.0950510717728987,0.3730569641314825,1.0,False
A,1.2,8.0,0.04,all_mean_selected_unsat,all,30,1.264,1.274,0.00999999999999999,-0.002333333333333364,0.022,-0.7911392405063298,0.2895082535986388,0.12365236918360381,0.04318181710072179,6,17,7,0.2,0.0950510717728987,0.3730569641314825,,False
A,1.2,8.0,0.04,all_mean_final_unsat_rate,all,30,0.0052927777777777765,0.005589444444444445,0.00029666666666666665,0.00020500000000000008,0.0003866666666666666,-5.605122284034878,1.1436733972336321,7.736714869234343e-07,3.2322607592413265e-05,5,23,2,0.16666666666666666,0.0733654237184855,0.3356435050641603,,False
A,1.2,8.0,0.04,SAT_success_rate,SAT,13,0.5976923076923076,0.5884615384615384,-0.009230769230769254,-0.024615384615384636,0.006923076923076887,,-0.30923795513212876,0.2866938652016404,0.240234375,3,7,3,0.23076923076923078,0.08179528718498569,0.5025637594672749,,False
A,1.2,8.0,0.04,SAT_mean_selected_unsat_rate,SAT,13,0.0006782051282051281,0.0006897435897435897,1.153846153846153e-05,-1.2820512820512816e-05,3.461538461538461e-05,-1.7013232514177776,0.2517215820885817,0.38195700751718675,0.33203125,3,7,3,0.23076923076923078,0.08179528718498569,0.5025637594672749,,False
A,1.2,8.0,0.04,UNSAT_mean_selected_unsat_rate,UNSAT,17,0.003199019607843138,0.003219607843137255,2.0588235294117625e-05,-1.0784313725490131e-05,5.000000000000003e-05,-0.6435795280416683,0.3106129958283375,0.21855661494878834,0.07328482952595054,3,10,4,0.17647058823529413,0.06191126637620997,0.41029458568834126,,False
A,1.2,8.0,0.06,all_mean_selected_unsat_rate,all,30,0.002106666666666667,0.002143888888888889,3.722222222222227e-05,1.2222222222222246e-05,6.277777777777785e-05,-1.7668776371308073,0.5227261796988477,0.00771504863860789,0.006428125100734211,5,17,8,0.16666666666666666,0.0733654237184855,0.3356435050641603,0.13115582685633412,False
A,1.2,8.0,0.06,all_mean_selected_unsat,all,30,1.264,1.286333333333333,0.02233333333333335,0.00733333333333334,0.03733333333333336,-1.7668776371307828,0.5227261796988476,0.007715048638607897,0.00662176920417028,5,17,8,0.16666666666666666,0.0733654237184855,0.3356435050641603,,False
A,1.2,8.0,0.06,all_mean_final_unsat_rate,all,30,0.0052927777777777765,0.0057261111111111115,0.00043333333333333337,0.00031722222222222227,0.0005455555555555556,-8.187257268814982,1.3269261057971893,5.2818213055396936e-08,1.5559980509690633e-05,4,24,2,0.13333333333333333,0.053096554840547455,0.296813266820363,,False
A,1.2,8.0,0.06,SAT_success_rate,SAT,13,0.5976923076923076,0.5884615384615384,-0.009230769230769252,-0.023846153846153857,0.0053846153846153575,,-0.33534470600702104,0.24990745133233597,0.21875,3,6,4,0.23076923076923078,0.08179528718498569,0.5025637594672749,,False
A,1.2,8.0,0.06,SAT_mean_selected_unsat_rate,SAT,13,0.0006782051282051281,0.0006987179487179487,2.0512820512820532e-05,-6.410256410256401e-06,4.7435897435897476e-05,-3.0245746691871496,0.3887053831336034,0.18639580816030576,0.203125,3,6,4,0.23076923076923078,0.08179528718498569,0.5025637594672749,,False
A,1.2,8.0,0.06,UNSAT_mean_selected_unsat_rate,UNSAT,17,0.003199019607843138,0.0032490196078431375,5.000000000000007e-05,1.1740196078431353e-05,8.725490196078448e-05,-1.5629788538154974,0.6107839182711451,0.022816460758917113,0.02044490367342141,2,11,4,0.11764705882352941,0.03287977376379267,0.3433635059488588,,False
A,1.2,8.0,0.08,all_mean_selected_unsat_rate,all,30,0.002106666666666667,0.0021505555555555557,4.3888888888888884e-05,1.6666666666666637e-05,7.166666666666672e-05,-2.083333333333333,0.5532649628950093,0.0050972849428697975,0.006940862230933674,7,19,4,0.23333333333333334,0.11792388144489496,0.40928326158122164,0.09175112897165635,False
A,1.2,8.0,0.08,all_mean_selected_unsat,all,30,1.264,1.2903333333333336,0.02633333333333334,0.009666666666666662,0.043333333333333356,-2.08333333333335,0.5532649628950094,0.0050972849428697975,0.006915474571908764,7,19,4,0.23333333333333334,0.11792388144489496,0.40928326158122164,,False
A,1.2,8.0,0.08,all_mean_final_unsat_rate,all,30,0.0052927777777777765,0.0059005555555555565,0.0006077777777777778,0.00045777777777777765,0.0007516666666666664,-11.483153143696907,1.4548802095841993,8.673316616323352e-09,1.0087200956772202e-05,3,24,3,0.1,0.03459988874733419,0.25621082579184085,,False
A,1.2,8.0,0.08,SAT_success_rate,SAT,13,0.5976923076923076,0.5823076923076923,-0.015384615384615406,-0.039230769230769263,0.005384615384615364,,-0.35830634732925,0.22072143392699073,0.267578125,4,7,2,0.3076923076923077,0.12680703655710515,0.5763065681945096,,False
A,1.2,8.0,0.08,SAT_mean_selected_unsat_rate,SAT,13,0.0006782051282051281,0.0007076923076923077,2.948717948717949e-05,-5.128205128205122e-06,6.923076923076921e-05,-4.3478260869565375,0.41480175703809785,0.16058894285771,0.2216796875,4,7,2,0.3076923076923077,0.12680703655710515,0.5763065681945096,,False
A,1.2,8.0,0.08,UNSAT_mean_selected_unsat_rate,UNSAT,17,0.003199019607843138,0.003253921568627451,5.490196078431371e-05,1.4705882352941113e-05,9.411764705882341e-05,-1.7162120747777956,0.6417784879952432,0.017607965791058316,0.018915887695096646,3,12,2,0.17647058823529413,0.06191126637620997,0.41029458568834126,,False
A,1.2,8.0,0.12,all_mean_selected_unsat_rate,all,30,0.002106666666666667,0.002165,5.8333333333333326e-05,3.2777777777777724e-05,8.555555555555553e-05,-2.768987341772135,0.7710776027457069,0.00021746775058519415,0.0005152618553211359,4,20,6,0.13333333333333333,0.053096554840547455,0.296813266820363,0.005001758263459465,False
A,1.2,8.0,0.12,all_mean_selected_unsat,all,30,1.264,1.2990000000000004,0.03499999999999997,0.0193333333333333,0.05133333333333332,-2.768987341772181,0.771077602745706,0.00021746775058519718,0.0005782927758419465,4,20,6,0.13333333333333333,0.053096554840547455,0.296813266820363,,False
A,1.2,8.0,0.12,all_mean_final_unsat_rate,all,30,0.0052927777777777765,0.006260000000000002,0.0009672222222222223,0.0007844305555555554,0.0011405555555555557,-18.27437808334214,1.9026717042236296,2.5662910338639165e-11,2.0087385349876846e-06,0,28,2,0.0,0.0,0.11351339317396876,,False
A,1.2,8.0,0.12,SAT_success_rate,SAT,13,0.5976923076923076,0.5707692307692308,-0.02692307692307694,-0.04384615384615387,-0.012307692307692313,,-0.8705677597844754,0.008549732404942749,0.0078125,1,9,3,0.07692307692307693,0.013710421242556586,0.3331395092109959,,False
A,1.2,8.0,0.12,SAT_mean_selected_unsat_rate,SAT,13,0.0006782051282051281,0.0007217948717948717,4.3589743589743604e-05,1.923076923076921e-05,7.179487179487183e-05,-6.42722117202269,0.8519992187553997,0.009682069407670088,0.005859375,1,9,3,0.07692307692307693,0.013710421242556586,0.3331395092109959,,False
A,1.2,8.0,0.12,UNSAT_mean_selected_unsat_rate,UNSAT,17,0.003199019607843138,0.003268627450980392,6.960784313725488e-05,2.8431372549019564e-05,0.00011078431372549025,-2.1759117376647032,0.7734945992776144,0.00570572759236518,0.015331522121296605,3,11,3,0.17647058823529413,0.06191126637620997,0.41029458568834126,,False
A,1.2,12.0,0.02,all_mean_selected_unsat_rate,all,30,0.0021122222222222224,0.0021244444444444444,1.222222222222216e-05,-8.888888888888922e-06,3.277777777777777e-05,-0.5786428195686404,0.20534201924842724,0.26993751095760504,0.2358800424377625,8,14,8,0.26666666666666666,0.14182663319596317,0.4444796169518888,1.0,False
A,1.2,12.0,0.02,all_mean_selected_unsat,all,30,1.2673333333333334,1.2746666666666668,0.007333333333333312,-0.005000000000000012,0.01999999999999996,-0.5786428195686544,0.2053420192484277,0.269937510957604,0.21590011356462702,8,14,8,0.26666666666666666,0.14182663319596317,0.4444796169518888,,False
A,1.2,12.0,0.02,all_mean_final_unsat_rate,all,30,0.005281111111111111,0.00541888888888889,0.00013777777777777763,7.666666666666649e-05,0.00019499999999999994,-2.608878602987597,0.8136042295151656,0.0001145627904941012,0.0001296470593032006,3,25,2,0.1,0.03459988874733419,0.25621082579184085,,False
A,1.2,12.0,0.02,SAT_success_rate,SAT,13,0.596153846153846,0.5892307692307692,-0.006923076923076919,-0.022307692307692313,0.008461538461538468,,-0.23430033120978544,0.4147582949870251,0.57421875,4,5,4,0.3076923076923077,0.12680703655710515,0.5763065681945096,,False
A,1.2,12.0,0.02,SAT_mean_selected_unsat_rate,SAT,13,0.0006807692307692307,0.0006923076923076923,1.1538461538461546e-05,-1.2820512820512825e-05,3.717948717948718e-05,-1.6949152542372965,0.2413120140772736,0.40133554297771723,0.53125,4,5,4,0.3076923076923077,0.12680703655710515,0.5763065681945096,,False
A,1.2,12.0,0.02,UNSAT_mean_selected_unsat_rate,UNSAT,17,0.0032068627450980397,0.0032196078431372547,1.2745098039215571e-05,-1.8627450980392377e-05,4.4117647058823376e-05,-0.3974319779883604,0.18579013390438295,0.45481061519654475,0.3159348926065678,4,9,4,0.23529411764705882,0.09555044322080117,0.4726179811956498,,False
A,1.2,12.0,0.04,all_mean_selected_unsat_rate,all,30,0.0021122222222222224,0.0021266666666666665,1.4444444444444375e-05,-6.6666666666668e-06,3.499999999999983e-05,-0.6838506049447494,0.24150446776310636,0.19624712298043637,0.10916795298708488,8,16,6,0.26666666666666666,0.14182663319596317,0.4444796169518888,1.0,False
A,1.2,12.0,0.04,all_mean_selected_unsat,all,30,1.2673333333333334,1.276,0.008666666666666666,-0.0043333333333333435,0.021000000000000026,-0.6838506049447606,0.24150446776310752,0.19624712298043434,0.09814194098044529,8,16,6,0.26666666666666666,0.14182663319596317,0.4444796169518888,,False
A,1.2,12.0,0.04,all_mean_final_unsat_rate,all,30,0.005281111111111111,0.005573888888888889,0.00029277777777777755,0.00020111111111111086,0.00038166666666666655,-5.543867031348611,1.136591154100419,8.599208417006451e-07,3.236929448214166e-05,5,23,2,0.16666666666666666,0.0733654237184855,0.3356435050641603,,False
A,1.2,12.0,0.04,SAT_success_rate,SAT,13,0.596153846153846,0.5869230769230769,-0.009230769230769252,-0.026923076923076963,0.007692307692307669,,-0.27735009811261524,0.3370490579535832,0.40234375,4,6,3,0.3076923076923077,0.12680703655710515,0.5763065681945096,,False
