size,anchor,variant,implementation_mode,lambda_mem,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N192_M96,lambda,pSA,pSA,0.0,2.0,0.3025041666666667,1.0,1.0,21.4426,0.014819791666666667,0.1716,10000,1920000
N192_M96,lambda,pSA,pSA,0.0,2.5,0.28368333333333334,1.0,1.0,20.663,0.004305208333333334,0.0544,10000,1920000
N192_M96,lambda,pSA,pSA,0.0,3.0,0.25922708333333333,0.9998,0.9998,19.5612,0.0010979166666666667,0.0158,10000,1920000
N192_M96,lambda,additive,lambda_pSA,0.95,2.0,0.016324479166666666,0.1257,0.1095,0.1823,0.014819791666666667,0.1716,10000,1920000
N192_M96,lambda,additive,lambda_pSA,0.95,2.5,0.0047901041666666665,0.0429,0.0358,0.0607,0.004305208333333334,0.0544,10000,1920000
N192_M96,lambda,additive,lambda_pSA,0.95,3.0,0.0009796875,0.0113,0.0084,0.0137,0.0010979166666666667,0.0158,10000,1920000
N192_M96,lambda,normalized,lambda_pSA_normalized,0.95,2.0,0.32886197916666665,1.0,1.0,25.9235,0.014819791666666667,0.1716,10000,1920000
N192_M96,lambda,normalized,lambda_pSA_normalized,0.95,2.5,0.3154328125,1.0,1.0,25.6423,0.004305208333333334,0.0544,10000,1920000
N192_M96,lambda,normalized,lambda_pSA_normalized,0.95,3.0,0.30109166666666665,1.0,1.0,25.3054,0.0010979166666666667,0.0158,10000,1920000
N192_M96,lambda,gain_only,gain_only_pSA,0.95,2.0,0.4996791666666667,1.0,0.0,0.0,0.014819791666666667,0.1716,10000,1920000
N192_M96,lambda,gain_only,gain_only_pSA,0.95,2.5,0.4993416666666667,1.0,0.0,0.0,0.004305208333333334,0.0544,10000,1920000
N192_M96,lambda,gain_only,gain_only_pSA,0.95,3.0,0.50005625,1.0,0.0,0.0,0.0010979166666666667,0.0158,10000,1920000
