size,anchor,variant,implementation_mode,lambda_mem,seed,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N96_M48,lambda,pSA,pSA,0.0,20260826,2.0,0.05719791666666667,0.546,0.443,7.113,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20260826,2.5,0.03275,0.361,0.236,3.624,0.01286875,0.148,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20260826,3.0,0.01628125,0.235,0.101,1.415,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20268848,2.0,0.06047916666666667,0.559,0.462,7.604,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20268848,2.5,0.031114583333333334,0.346,0.224,3.389,0.01286875,0.148,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20268848,3.0,0.013645833333333333,0.195,0.093,1.412,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20276870,2.0,0.05959375,0.566,0.457,7.223,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20276870,2.5,0.03204166666666667,0.352,0.218,3.22,0.01286875,0.148,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20276870,3.0,0.0140625,0.203,0.087,1.328,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20284892,2.0,0.06204166666666667,0.576,0.464,7.354,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20284892,2.5,0.02996875,0.331,0.23,3.609,0.01286875,0.148,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20284892,3.0,0.015020833333333334,0.225,0.089,1.258,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20292914,2.0,0.05813541666666667,0.556,0.437,7.027,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20292914,2.5,0.03190625,0.344,0.226,3.457,0.01286875,0.148,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20292914,3.0,0.01540625,0.218,0.085,1.293,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20300936,2.0,0.06125,0.579,0.452,7.314,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20300936,2.5,0.026885416666666665,0.323,0.19,2.771,0.01286875,0.148,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20300936,3.0,0.01240625,0.188,0.079,1.127,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20308958,2.0,0.06096875,0.565,0.441,7.233,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20308958,2.5,0.03239583333333333,0.375,0.231,3.526,0.01286875,0.148,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20308958,3.0,0.015875,0.21,0.088,1.304,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20316980,2.0,0.061197916666666664,0.571,0.469,7.591,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20316980,2.5,0.030197916666666668,0.341,0.235,3.617,0.01286875,0.148,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20316980,3.0,0.014645833333333334,0.194,0.08,1.188,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20325002,2.0,0.06075,0.569,0.448,7.188,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20325002,2.5,0.033979166666666664,0.358,0.235,3.596,0.01286875,0.148,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20325002,3.0,0.01425,0.194,0.075,1.074,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20333024,2.0,0.05775,0.553,0.446,7.204,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20333024,2.5,0.029739583333333333,0.338,0.219,3.247,0.01286875,0.148,1000,96000
N96_M48,lambda,pSA,pSA,0.0,20333024,3.0,0.013989583333333333,0.201,0.081,1.145,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20260826,2.0,0.02503125,0.245,0.112,1.311,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20260826,2.5,0.013458333333333333,0.179,0.058,0.556,0.01286875,0.148,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20260826,3.0,0.0060416666666666665,0.1,0.021,0.182,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20268848,2.0,0.027697916666666666,0.276,0.123,1.475,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20268848,2.5,0.013916666666666667,0.181,0.048,0.496,0.01286875,0.148,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20268848,3.0,0.008020833333333333,0.128,0.03,0.246,0.005091666666666667,0.0716,1000,96000
