size,anchor,variant,implementation_mode,lambda_mem,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N96_M48,lambda,pSA,pSA,0.0,2.0,0.059328125,0.55,0.4325,6.9625,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,pSA,pSA,0.0,2.5,0.032864583333333336,0.3675,0.2385,3.649,0.01286875,0.148,2000,192000
N96_M48,lambda,pSA,pSA,0.0,3.0,0.01525,0.2145,0.0945,1.33,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,additive,lambda_pSA,0.0,2.0,0.059328125,0.55,0.4325,6.9625,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,additive,lambda_pSA,0.0,2.5,0.032864583333333336,0.3675,0.2385,3.649,0.01286875,0.148,2000,192000
N96_M48,lambda,additive,lambda_pSA,0.0,3.0,0.01525,0.2145,0.0945,1.33,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,additive,lambda_pSA,0.5,2.0,0.03613020833333333,0.34,0.1705,2.4215,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,additive,lambda_pSA,0.5,2.5,0.01715625,0.2075,0.0695,0.882,0.01286875,0.148,2000,192000
N96_M48,lambda,additive,lambda_pSA,0.5,3.0,0.008510416666666666,0.1395,0.022,0.232,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,additive,lambda_pSA,0.8,2.0,0.02858854166666667,0.281,0.125,1.5495,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,additive,lambda_pSA,0.8,2.5,0.015072916666666667,0.2,0.0585,0.62,0.01286875,0.148,2000,192000
N96_M48,lambda,additive,lambda_pSA,0.8,3.0,0.006682291666666666,0.134,0.022,0.1855,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,additive,lambda_pSA,0.9,2.0,0.027515625,0.2775,0.1235,1.5095,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,additive,lambda_pSA,0.9,2.5,0.013921875,0.18,0.062,0.6485,0.01286875,0.148,2000,192000
N96_M48,lambda,additive,lambda_pSA,0.9,3.0,0.006317708333333333,0.122,0.02,0.1715,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,additive,lambda_pSA,0.95,2.0,0.026390625,0.2655,0.1235,1.4505,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,additive,lambda_pSA,0.95,2.5,0.01434375,0.181,0.061,0.622,0.01286875,0.148,2000,192000
N96_M48,lambda,additive,lambda_pSA,0.95,3.0,0.006536458333333333,0.1245,0.0195,0.1645,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,2.0,0.026473958333333332,0.2705,0.122,1.4465,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,2.5,0.014036458333333333,0.1925,0.053,0.5245,0.01286875,0.148,2000,192000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,3.0,0.006791666666666666,0.1385,0.0255,0.214,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,2.0,0.027161458333333333,0.268,0.1295,1.4445,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,2.5,0.013395833333333333,0.1865,0.06,0.604,0.01286875,0.148,2000,192000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,3.0,0.00671875,0.138,0.023,0.183,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,additive,lambda_pSA_extended,1.25,2.0,0.026484375,0.2635,0.135,1.3925,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,additive,lambda_pSA_extended,1.25,2.5,0.013932291666666667,0.1915,0.0605,0.5335,0.01286875,0.148,2000,192000
N96_M48,lambda,additive,lambda_pSA_extended,1.25,3.0,0.0068125,0.1415,0.025,0.184,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,additive,lambda_pSA_extended,1.4,2.0,0.027296875,0.278,0.141,1.4265,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,additive,lambda_pSA_extended,1.4,2.5,0.014223958333333333,0.1865,0.0695,0.6405,0.01286875,0.148,2000,192000
N96_M48,lambda,additive,lambda_pSA_extended,1.4,3.0,0.006880208333333334,0.1305,0.029,0.2045,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.0,2.0,0.059328125,0.55,0.4325,6.9625,0.025252083333333335,0.26,2000,192000
