size,anchor,variant,implementation_mode,lambda_mem,seed,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N96_M48,lambda,pSA,pSA,0.0,20260826,2.0,0.059208333333333335,0.56,0.448,7.26,0.025252083333333335,0.26,250,24000
N96_M48,lambda,pSA,pSA,0.0,20260826,2.5,0.02475,0.32,0.212,3.072,0.01286875,0.148,250,24000
N96_M48,lambda,pSA,pSA,0.0,20260826,3.0,0.015041666666666667,0.192,0.104,1.524,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,pSA,pSA,0.0,20268848,2.0,0.063125,0.544,0.436,7.308,0.025252083333333335,0.26,250,24000
N96_M48,lambda,pSA,pSA,0.0,20268848,2.5,0.03204166666666667,0.36,0.22,3.324,0.01286875,0.148,250,24000
N96_M48,lambda,pSA,pSA,0.0,20268848,3.0,0.014541666666666666,0.204,0.092,1.252,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,pSA,pSA,0.0,20276870,2.0,0.0585,0.516,0.4,6.344,0.025252083333333335,0.26,250,24000
N96_M48,lambda,pSA,pSA,0.0,20276870,2.5,0.032875,0.36,0.248,3.628,0.01286875,0.148,250,24000
N96_M48,lambda,pSA,pSA,0.0,20276870,3.0,0.020083333333333335,0.24,0.116,1.728,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,pSA,pSA,0.0,20284892,2.0,0.059,0.536,0.4,6.28,0.025252083333333335,0.26,250,24000
N96_M48,lambda,pSA,pSA,0.0,20284892,2.5,0.03133333333333333,0.356,0.232,3.48,0.01286875,0.148,250,24000
N96_M48,lambda,pSA,pSA,0.0,20284892,3.0,0.0155,0.228,0.104,1.4,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,pSA,pSA,0.0,20292914,2.0,0.0575,0.56,0.432,7.048,0.025252083333333335,0.26,250,24000
N96_M48,lambda,pSA,pSA,0.0,20292914,2.5,0.034875,0.388,0.26,3.996,0.01286875,0.148,250,24000
N96_M48,lambda,pSA,pSA,0.0,20292914,3.0,0.014208333333333333,0.236,0.088,1.092,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,pSA,pSA,0.0,20300936,2.0,0.059,0.572,0.42,6.768,0.025252083333333335,0.26,250,24000
N96_M48,lambda,pSA,pSA,0.0,20300936,2.5,0.036166666666666666,0.372,0.224,3.496,0.01286875,0.148,250,24000
N96_M48,lambda,pSA,pSA,0.0,20300936,3.0,0.013416666666666667,0.204,0.088,1.208,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,pSA,pSA,0.0,20308958,2.0,0.057,0.54,0.456,7.368,0.025252083333333335,0.26,250,24000
N96_M48,lambda,pSA,pSA,0.0,20308958,2.5,0.03283333333333333,0.384,0.252,4.104,0.01286875,0.148,250,24000
N96_M48,lambda,pSA,pSA,0.0,20308958,3.0,0.01225,0.192,0.076,1.072,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,pSA,pSA,0.0,20316980,2.0,0.06129166666666667,0.572,0.468,7.324,0.025252083333333335,0.26,250,24000
N96_M48,lambda,pSA,pSA,0.0,20316980,2.5,0.03804166666666667,0.4,0.26,4.092,0.01286875,0.148,250,24000
N96_M48,lambda,pSA,pSA,0.0,20316980,3.0,0.016958333333333332,0.22,0.088,1.364,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.0,20260826,2.0,0.059208333333333335,0.56,0.448,7.26,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.0,20260826,2.5,0.02475,0.32,0.212,3.072,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.0,20260826,3.0,0.015041666666666667,0.192,0.104,1.524,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.0,20268848,2.0,0.063125,0.544,0.436,7.308,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.0,20268848,2.5,0.03204166666666667,0.36,0.22,3.324,0.01286875,0.148,250,24000
