condition_id,size,anchor,variant,implementation_mode,lambda_mem,trials_per_ebno,n_cycles,estimated_bit_updates
1,N96_M48,lambda,pSA,pSA,0.0,2000,25600,14745600000
2,N96_M48,lambda,additive,lambda_pSA,0.0,2000,25600,14745600000
3,N96_M48,lambda,additive,lambda_pSA,0.5,2000,25600,14745600000
4,N96_M48,lambda,additive,lambda_pSA,0.8,2000,25600,14745600000
5,N96_M48,lambda,additive,lambda_pSA,0.9,2000,25600,14745600000
6,N96_M48,lambda,additive,lambda_pSA,0.95,2000,25600,14745600000
7,N96_M48,lambda,additive,lambda_pSA_extended,1.0,2000,25600,14745600000
8,N96_M48,lambda,additive,lambda_pSA_extended,1.1,2000,25600,14745600000
9,N96_M48,lambda,additive,lambda_pSA_extended,1.25,2000,25600,14745600000
10,N96_M48,lambda,additive,lambda_pSA_extended,1.4,2000,25600,14745600000
11,N96_M48,lambda,normalized,lambda_pSA_normalized,0.0,2000,25600,14745600000
12,N96_M48,lambda,normalized,lambda_pSA_normalized,0.5,2000,25600,14745600000
13,N96_M48,lambda,normalized,lambda_pSA_normalized,0.8,2000,25600,14745600000
14,N96_M48,lambda,normalized,lambda_pSA_normalized,0.9,2000,25600,14745600000
15,N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,2000,25600,14745600000
16,N96_M48,lambda,normalized,lambda_pSA_normalized,1.0,2000,25600,14745600000
17,N96_M48,lambda,normalized,lambda_pSA_normalized,1.1,2000,25600,14745600000
18,N96_M48,lambda,normalized,lambda_pSA_normalized,1.25,2000,25600,14745600000
19,N96_M48,lambda,normalized,lambda_pSA_normalized,1.4,2000,25600,14745600000
20,N96_M48,lambda,gain_only,gain_only_pSA,0.0,2000,25600,14745600000
21,N96_M48,lambda,gain_only,gain_only_pSA,0.5,2000,25600,14745600000
22,N96_M48,lambda,gain_only,gain_only_pSA,0.8,2000,25600,14745600000
23,N96_M48,lambda,gain_only,gain_only_pSA,0.9,2000,25600,14745600000
24,N96_M48,lambda,gain_only,gain_only_pSA,0.95,2000,25600,14745600000
25,N96_M48,lambda,gain_only,gain_only_pSA,1.0,2000,25600,14745600000
26,N96_M48,lambda,gain_only,gain_only_pSA,1.1,2000,25600,14745600000
27,N96_M48,lambda,gain_only,gain_only_pSA,1.25,2000,25600,14745600000
28,N96_M48,lambda,gain_only,gain_only_pSA,1.4,2000,25600,14745600000
29,N192_M96,lambda,pSA,pSA,0.0,2000,19200,22118400000
30,N192_M96,lambda,additive,lambda_pSA,0.0,2000,19200,22118400000
31,N192_M96,lambda,additive,lambda_pSA,0.5,2000,19200,22118400000
32,N192_M96,lambda,additive,lambda_pSA,0.8,2000,19200,22118400000
33,N192_M96,lambda,additive,lambda_pSA,0.9,2000,19200,22118400000
34,N192_M96,lambda,additive,lambda_pSA,0.95,2000,19200,22118400000
35,N192_M96,lambda,additive,lambda_pSA_extended,1.0,2000,19200,22118400000
36,N192_M96,lambda,additive,lambda_pSA_extended,1.1,2000,19200,22118400000
37,N192_M96,lambda,additive,lambda_pSA_extended,1.25,2000,19200,22118400000
38,N192_M96,lambda,additive,lambda_pSA_extended,1.4,2000,19200,22118400000
39,N192_M96,lambda,normalized,lambda_pSA_normalized,0.0,2000,19200,22118400000
40,N192_M96,lambda,normalized,lambda_pSA_normalized,0.5,2000,19200,22118400000
41,N192_M96,lambda,normalized,lambda_pSA_normalized,0.8,2000,19200,22118400000
42,N192_M96,lambda,normalized,lambda_pSA_normalized,0.9,2000,19200,22118400000
43,N192_M96,lambda,normalized,lambda_pSA_normalized,0.95,2000,19200,22118400000
44,N192_M96,lambda,normalized,lambda_pSA_normalized,1.0,2000,19200,22118400000
45,N192_M96,lambda,normalized,lambda_pSA_normalized,1.1,2000,19200,22118400000
46,N192_M96,lambda,normalized,lambda_pSA_normalized,1.25,2000,19200,22118400000
47,N192_M96,lambda,normalized,lambda_pSA_normalized,1.4,2000,19200,22118400000
48,N192_M96,lambda,gain_only,gain_only_pSA,0.0,2000,19200,22118400000
49,N192_M96,lambda,gain_only,gain_only_pSA,0.5,2000,19200,22118400000
50,N192_M96,lambda,gain_only,gain_only_pSA,0.8,2000,19200,22118400000
51,N192_M96,lambda,gain_only,gain_only_pSA,0.9,2000,19200,22118400000
52,N192_M96,lambda,gain_only,gain_only_pSA,0.95,2000,19200,22118400000
53,N192_M96,lambda,gain_only,gain_only_pSA,1.0,2000,19200,22118400000
54,N192_M96,lambda,gain_only,gain_only_pSA,1.1,2000,19200,22118400000
55,N192_M96,lambda,gain_only,gain_only_pSA,1.25,2000,19200,22118400000
56,N192_M96,lambda,gain_only,gain_only_pSA,1.4,2000,19200,22118400000
57,N288_M144,lambda,pSA,pSA,0.0,2000,25600,44236800000
58,N288_M144,lambda,additive,lambda_pSA,0.0,2000,25600,44236800000
59,N288_M144,lambda,additive,lambda_pSA,0.5,2000,25600,44236800000
60,N288_M144,lambda,additive,lambda_pSA,0.8,2000,25600,44236800000
61,N288_M144,lambda,additive,lambda_pSA,0.9,2000,25600,44236800000
62,N288_M144,lambda,additive,lambda_pSA,0.95,2000,25600,44236800000
63,N288_M144,lambda,additive,lambda_pSA_extended,1.0,2000,25600,44236800000
64,N288_M144,lambda,additive,lambda_pSA_extended,1.1,2000,25600,44236800000
65,N288_M144,lambda,additive,lambda_pSA_extended,1.25,2000,25600,44236800000
66,N288_M144,lambda,additive,lambda_pSA_extended,1.4,2000,25600,44236800000
67,N288_M144,lambda,normalized,lambda_pSA_normalized,0.0,2000,25600,44236800000
68,N288_M144,lambda,normalized,lambda_pSA_normalized,0.5,2000,25600,44236800000
69,N288_M144,lambda,normalized,lambda_pSA_normalized,0.8,2000,25600,44236800000
70,N288_M144,lambda,normalized,lambda_pSA_normalized,0.9,2000,25600,44236800000
