size,code_id,scope,EbNo_dB,metric,mean_paired_difference,ci95_low,ci95_high,ci_sufficient_for_directional_conclusion,additional_trials_required,criterion
N192_M96,existing_00,per_EbNo,2.0,BER,0.2849479166666667,0.2821889664168465,0.2877068669164869,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,existing_00,per_EbNo,2.0,FER,0.876,0.8528320548367103,0.8991679451632897,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,existing_00,per_EbNo,2.5,BER,0.27784895833333334,0.274432517349888,0.2812653993167787,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,existing_00,per_EbNo,2.5,FER,0.9570000000000001,0.9359269675282416,0.9780730324717586,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,existing_00,per_EbNo,3.0,BER,0.2582083333333333,0.2534643146452821,0.26295235202138456,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,existing_00,per_EbNo,3.0,FER,0.9850000000000001,0.9753140217045487,0.9946859782954515,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,existing_00,pooled_across_EbNo,,BER,0.27366840277777776,0.27127977906329487,0.27605702649226066,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,existing_00,pooled_across_EbNo,,FER,0.9393333333333332,0.9303547958121376,0.9483118708545288,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_01,per_EbNo,2.0,BER,0.2850989583333333,0.28148611295637876,0.2887118037102879,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_01,per_EbNo,2.0,FER,0.8559999999999999,0.828980081713635,0.8830199182863647,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_01,per_EbNo,2.5,BER,0.27682291666666664,0.2741911191261006,0.27945471420723267,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_01,per_EbNo,2.5,FER,0.9490000000000001,0.9337502342202108,0.9642497657797894,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_01,per_EbNo,3.0,BER,0.26004687499999996,0.2572715121115515,0.2628222378884484,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_01,per_EbNo,3.0,FER,0.9810000000000001,0.9711973189609656,0.9908026810390346,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_01,pooled_across_EbNo,,BER,0.27398958333333334,0.2722745798389913,0.2757045868276754,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_01,pooled_across_EbNo,,FER,0.9286666666666668,0.9187901474583363,0.9385431858749972,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_02,per_EbNo,2.0,BER,0.2859166666666667,0.2813443671466428,0.2904889661866906,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_02,per_EbNo,2.0,FER,0.8799999999999999,0.8688155956475124,0.8911844043524874,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_02,per_EbNo,2.5,BER,0.27777083333333336,0.27362998422102214,0.2819116824456446,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_02,per_EbNo,2.5,FER,0.9650000000000001,0.9498249884242106,0.9801750115757896,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_02,per_EbNo,3.0,BER,0.25817708333333333,0.2550711925974746,0.26128297406919204,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_02,per_EbNo,3.0,FER,0.9860000000000001,0.9790889957115565,0.9929110042884437,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_02,pooled_across_EbNo,,BER,0.27395486111111106,0.27147170201412557,0.27643802020809655,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_02,pooled_across_EbNo,,FER,0.9436666666666668,0.9371654697068816,0.9501678636264519,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_03,per_EbNo,2.0,BER,0.28622395833333336,0.2818057524448511,0.2906421642218156,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_03,per_EbNo,2.0,FER,0.8869999999999999,0.8629056957282186,0.9110943042717812,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_03,per_EbNo,2.5,BER,0.27845312499999997,0.27557364433094655,0.2813326056690534,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_03,per_EbNo,2.5,FER,0.9629999999999999,0.9517902053665905,0.9742097946334092,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_03,per_EbNo,3.0,BER,0.26290625,0.2591146606565158,0.26669783934348423,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_03,per_EbNo,3.0,FER,0.9850000000000001,0.9742036128417488,0.9957963871582514,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_03,pooled_across_EbNo,,BER,0.2758611111111111,0.2733594663999499,0.2783627558222723,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_03,pooled_across_EbNo,,FER,0.9450000000000001,0.9364948298158842,0.953505170184116,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_04,per_EbNo,2.0,BER,0.287359375,0.2840405824131086,0.29067816758689136,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_04,per_EbNo,2.0,FER,0.858,0.8422549238989838,0.8737450761010161,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_04,per_EbNo,2.5,BER,0.27770833333333333,0.27445066298916443,0.28096600367750224,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_04,per_EbNo,2.5,FER,0.9400000000000001,0.9184072256834974,0.9615927743165027,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_04,per_EbNo,3.0,BER,0.25898958333333333,0.25566159444384584,0.2623175722228208,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_04,per_EbNo,3.0,FER,0.9870000000000001,0.9763094623307449,0.9976905376692553,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_04,pooled_across_EbNo,,BER,0.27468576388888893,0.27316169497189047,0.2762098328058874,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_04,pooled_across_EbNo,,FER,0.9283333333333333,0.9197542037555446,0.9369124629111221,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_05,per_EbNo,2.0,BER,0.2911927083333333,0.2878073159111982,0.2945781007554685,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_05,per_EbNo,2.0,FER,0.893,0.8761220233250695,0.9098779766749305,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_05,per_EbNo,2.5,BER,0.2809010416666667,0.27909676020692065,0.2827053231264127,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_05,per_EbNo,2.5,FER,0.962,0.9494727408862433,0.9745272591137566,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_05,per_EbNo,3.0,BER,0.25914583333333335,0.2559866078678235,0.2623050587988432,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_05,per_EbNo,3.0,FER,0.9869999999999999,0.9787054237362015,0.9952945762637982,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_05,pooled_across_EbNo,,BER,0.27707986111111116,0.27510796324691045,0.27905175897531187,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_05,pooled_across_EbNo,,FER,0.9473333333333335,0.939979443034079,0.954687223632588,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_06,per_EbNo,2.0,BER,0.28440104166666663,0.2803650167372091,0.28843706659612417,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_06,per_EbNo,2.0,FER,0.8779999999999999,0.859902742697167,0.8960972573028327,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_06,per_EbNo,2.5,BER,0.279765625,0.27448575505968614,0.2850454949403139,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_06,per_EbNo,2.5,FER,0.9550000000000001,0.9330805388349708,0.9769194611650294,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_06,per_EbNo,3.0,BER,0.25931249999999995,0.256787982735677,0.2618370172643229,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_06,per_EbNo,3.0,FER,0.984,0.9763101443225288,0.9916898556774711,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_06,pooled_across_EbNo,,BER,0.27449305555555553,0.2720607087304903,0.27692540238062074,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_06,pooled_across_EbNo,,FER,0.9390000000000001,0.9278693875509563,0.9501306124490438,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_07,per_EbNo,2.0,BER,0.28624479166666666,0.2818560365857831,0.2906335467475502,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
