size,code_id,realization_type,variant,implementation_mode,lambda_mem,trials_per_EbNo,EbNo_dB,n_cycles,estimated_bit_updates
N96_M48,existing_00,existing,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,existing_00,existing,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,new_01,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,new_01,new,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,new_02,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,new_02,new,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,new_03,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,new_03,new,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,new_04,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,new_04,new,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,new_05,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,new_05,new,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,new_06,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,new_06,new,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,new_07,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,new_07,new,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,new_08,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,new_08,new,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,new_09,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,7372800000
N96_M48,new_09,new,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,25600,7372800000
N192_M96,existing_00,existing,pSA,pSA,0.0,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,existing_00,existing,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,new_01,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,new_01,new,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,new_02,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,new_02,new,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,new_03,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,new_03,new,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,new_04,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,new_04,new,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,new_05,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,new_05,new,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,new_06,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,new_06,new,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,new_07,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,new_07,new,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,new_08,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,new_08,new,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,new_09,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,19200,11059200000
N192_M96,new_09,new,additive,lambda_pSA,0.95,1000,2.0;2.5;3.0,19200,11059200000
N288_M144,existing_00,existing,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,existing_00,existing,additive,lambda_pSA,0.9,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,new_01,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,new_01,new,additive,lambda_pSA,0.9,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,new_02,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,new_02,new,additive,lambda_pSA,0.9,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,new_03,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,new_03,new,additive,lambda_pSA,0.9,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,new_04,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,new_04,new,additive,lambda_pSA,0.9,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,new_05,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,new_05,new,additive,lambda_pSA,0.9,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,new_06,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,new_06,new,additive,lambda_pSA,0.9,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,new_07,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,new_07,new,additive,lambda_pSA,0.9,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,new_08,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,new_08,new,additive,lambda_pSA,0.9,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,new_09,new,pSA,pSA,0.0,1000,2.0;2.5;3.0,25600,22118400000
N288_M144,new_09,new,additive,lambda_pSA,0.9,1000,2.0;2.5;3.0,25600,22118400000
