size,code_id,variant,realization_type,generation_seed,matrix_sha256,implementation_mode,lambda_mem,seed,EbNo_dB,trial_index,n_cycles,decoded_BER,decoded_FER,decoded_syndrome_weight,final_state_BER,final_syndrome_weight,mean_syndrome_weight,syndrome_zero_fraction,mean_bit_flip_rate,mean_backflip_rate,mean_repair_rate,mean_q_lag1_product,mean_q_lag1_cosine,mean_q_sign_persistence,mean_q_used_source_product,late_syndrome_weight,late_syndrome_weight_fraction,late_syndrome_zero_fraction,late_state_BER,late_bit_flip_rate,late_backflip_rate,late_repair_rate,late_q_lag1_product,late_q_lag1_cosine,late_q_sign_persistence,late_q_used_source_product,max_abs_memory_source_mean_delta,max_abs_memory_source_second_moment_delta,reached_valid,reached_valid_after_nonvalid,reached_correct,reached_low_BER,reached_relaxed_basin,reached_wrong_valid,first_valid_cycle,first_valid_after_nonvalid_cycle,first_correct_cycle,first_low_BER_cycle,first_relaxed_basin_cycle,first_wrong_valid_cycle,correct_residence_fraction,correct_remaining_cycles_after_hit,correct_cycles_after_hit,correct_escape_probability,correct_transition_opportunities,correct_escape_count,correct_return_probability,correct_return_count,correct_mean_return_time,correct_first_residence_time,correct_first_residence_censored,relaxed_basin_residence_fraction,relaxed_basin_remaining_cycles_after_hit,relaxed_basin_cycles_after_hit,relaxed_basin_escape_probability,relaxed_basin_transition_opportunities,relaxed_basin_escape_count,relaxed_basin_return_probability,relaxed_basin_return_count,relaxed_basin_mean_return_time,relaxed_basin_first_residence_time,relaxed_basin_first_residence_censored,mean_channel_alignment,late_channel_alignment,mean_channel_alignment_gap_to_transmitted,late_channel_alignment_gap_to_transmitted,mean_hard_channel_disagreement_rate,late_hard_channel_disagreement_rate,wrong_valid_residence_fraction
N192_M96,existing_00,additive,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,lambda_pSA,0.95,20260826,2.5,0,19200,0.0,0,0,0.0,0,0.08796875,0.9935416666666667,0.00019639756944444444,8.442687858627599e-05,0.15078495801387368,0.9985334454978522,0.9996988554615005,0.9996915386362101,0.9985334454978522,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999918051988174,0.9999999999645908,1.0,0.9999918051988174,0.0,0.0,1,1,1,1,1,0,125.0,125.0,125.0,98.0,105.0,nan,1.0,19076.0,19076.0,0.0,19075.0,0.0,nan,0.0,nan,19076.0,1.0,0.999633431085044,19096.0,19089.0,0.00010477787091366304,19088.0,2.0,1.0,2.0,3.5,6.0,0.0,0.7042187649997547,0.7048468902378459,0.00062812523809186,0.0,0.08373291015625,0.08333333333333333,0.0
N192_M96,existing_00,additive,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,lambda_pSA,0.95,20260826,2.5,1,19200,0.0,0,0,0.0,0,0.1353125,0.9911979166666667,0.0002745225694444444,0.00012520498582006007,0.12415502478593961,0.9980401504823643,0.9995644674746142,0.9995539960489042,0.9980401504823643,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.999991782168374,0.9999999999663622,1.0,0.999991782168374,0.0,0.0,1,1,1,1,1,0,170.0,170.0,170.0,144.0,156.0,nan,1.0,19031.0,19031.0,0.0,19030.0,0.0,nan,0.0,nan,19031.0,1.0,0.9995799422420583,19045.0,19037.0,5.2532044547173775e-05,19036.0,1.0,1.0,1.0,8.0,4.0,0.0,0.7033595792019172,0.7041390763770381,0.0007794971751199429,0.0,0.07865668402777778,0.078125,0.0
N192_M96,existing_00,additive,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,lambda_pSA,0.95,20260826,2.5,2,19200,0.0,0,0,0.0,0,0.13041666666666665,0.9923958333333334,0.0003271484375,0.00015153860568188298,0.1553956834532374,0.9979686924170762,0.9994961481895762,0.9995255088503858,0.9979686924170762,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999921656237516,0.9999999999642792,1.0,0.9999921656237516,0.0,0.0,1,1,1,1,1,0,147.0,147.0,147.0,125.0,136.0,nan,1.0,19054.0,19054.0,0.0,19053.0,0.0,nan,0.0,nan,19054.0,1.0,0.9996328350380278,19065.0,19058.0,0.00010494831295586924,19057.0,2.0,1.0,2.0,3.5,2.0,0.0,0.7154067506381868,0.7163802306912386,0.000973480053052319,0.0,0.0734206814236111,0.07291666666666667,0.0
N192_M96,existing_00,additive,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,lambda_pSA,0.95,20260826,2.5,3,19200,0.0,0,0,0.0,0,0.7584895833333334,0.8647916666666666,0.000993381076388889,0.0004891016467336487,0.04589531276715273,0.9927116247949294,0.9980493924807008,0.9973722327530053,0.9927116247949294,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999908393378346,0.9999999999646055,1.0,0.9999908393378346,0.0,0.0,1,1,1,1,1,0,2597.0,2597.0,2597.0,1861.0,1863.0,nan,1.0,16604.0,16604.0,0.0,16603.0,0.0,nan,0.0,nan,16604.0,1.0,0.9792940362210174,17338.0,16979.0,0.0025326893627046765,16978.0,43.0,1.0,43.0,8.348837209302326,10.0,0.0,0.6699404841363601,0.6700180769891709,7.759285281008015e-05,0.0,0.10397162543402778,0.10416666666666667,0.0
N192_M96,existing_00,additive,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,lambda_pSA,0.95,20260826,2.5,4,19200,0.0,0,0,0.0,0,0.14046875,0.99,0.00030924479166666665,0.0001401567202023689,0.1298106927397545,0.9979082312763541,0.9994958331942679,0.9995005492330677,0.9979082312763541,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999924787957576,0.9999999999687171,1.0,0.9999924787957576,0.0,0.0,1,1,1,1,1,0,193.0,193.0,193.0,143.0,143.0,nan,1.0,19008.0,19008.0,0.0,19007.0,0.0,nan,0.0,nan,19008.0,1.0,0.9981635008920139,19058.0,19023.0,0.0003679949532120702,19022.0,7.0,1.0,7.0,5.0,3.0,0.0,0.7273700895072294,0.7283187328767571,0.0009486433695292896,0.0,0.08902859157986111,0.08854166666666667,0.0
N192_M96,existing_00,additive,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,lambda_pSA,0.95,20268848,2.5,0,19200,0.0,0,0,0.0,0,0.20755208333333333,0.9807291666666667,0.00042046440972222225,0.00019707304396849115,0.10911255124983468,0.9972087743761986,0.9992879931301661,0.9992775462290382,0.9972087743761986,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.999991793859129,0.9999999999662361,1.0,0.999991793859129,0.0,0.0,1,1,1,1,1,0,371.0,371.0,371.0,201.0,217.0,nan,1.0,18830.0,18830.0,0.0,18829.0,0.0,nan,0.0,nan,18830.0,1.0,0.9999473240623683,18984.0,18983.0,5.268148772521336e-05,18982.0,1.0,1.0,1.0,1.0,57.0,0.0,0.7022537930852997,0.703241703131199,0.0009879100458992137,0.0,0.08386040581597222,0.08333333333333333,0.0
N192_M96,existing_00,additive,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,lambda_pSA,0.95,20268848,2.5,1,19200,0.0,0,0,0.0,0,0.07088541666666667,0.99609375,0.00016981336805555556,7.193324811731688e-05,0.14862083161794978,0.9986820371150208,0.9997292207686078,0.9997460681253643,0.9986820371150208,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999933754201465,0.9999999999680057,1.0,0.9999933754201465,0.0,0.0,1,1,1,1,1,0,76.0,76.0,76.0,54.0,72.0,nan,1.0,19125.0,19125.0,0.0,19124.0,0.0,nan,0.0,nan,19125.0,1.0,1.0,19129.0,19129.0,0.0,19128.0,0.0,nan,0.0,nan,19129.0,1.0,0.7605083816753696,0.7612672768011819,0.0007588951258124963,0.0,0.05253173828125,0.052083333333333336,0.0
N192_M96,existing_00,additive,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,lambda_pSA,0.95,20268848,2.5,2,19200,0.0,0,0,0.0,0,0.20390625,0.9818229166666667,0.0003965928819444444,0.00018669700923348512,0.11669929227525976,0.9973304756036115,0.9993369563808536,0.9992840564887298,0.9973304756036115,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999920398649907,0.9999999999657265,1.0,0.9999920398649907,0.0,0.0,1,1,1,1,1,0,350.0,350.0,350.0,182.0,340.0,nan,1.0,18851.0,18851.0,0.0,18850.0,0.0,nan,0.0,nan,18851.0,1.0,1.0,18861.0,18861.0,0.0,18860.0,0.0,nan,0.0,nan,18861.0,1.0,0.7112029551586578,0.7123105899770565,0.0011076348183983711,0.0,0.07885172526041667,0.078125,0.0
N192_M96,existing_00,additive,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,lambda_pSA,0.95,20268848,2.5,3,19200,0.0,0,0,0.0,0,0.3173958333333333,0.9680208333333333,0.0005512152777777777,0.00026585453593553314,0.09207540582998779,0.9961913361729289,0.9990128708240783,0.9988969230773405,0.9961913361729289,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.999991810977973,0.999999999965332,1.0,0.999991810977973,0.0,0.0,1,1,1,1,1,0,613.0,613.0,613.0,431.0,474.0,nan,0.9998924037013127,18588.0,18586.0,5.380683346785042e-05,18585.0,1.0,1.0,1.0,2.0,1.0,0.0,0.9953543012762321,18727.0,18640.0,0.0006438113632705617,18639.0,12.0,1.0,12.0,7.25,1.0,0.0,0.7053401157206551,0.7062359597982766,0.0008958440776204138,0.0,0.09408040364583334,0.09375,0.0
N192_M96,existing_00,additive,existing,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,lambda_pSA,0.95,20268848,2.5,4,19200,0.0,0,0,0.0,0,3.6522395833333334,0.45781249999999996,0.004857855902777777,0.0025490972507944635,0.04646758621401407,0.9655321824489953,0.9896990928765845,0.9864640056602996,0.9655321824489953,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999908691504157,0.9999999999627566,1.0,0.9999908691504157,0.0,0.0,1,1,1,1,1,0,10411.0,10411.0,10411.0,2573.0,10408.0,nan,1.0,8790.0,8790.0,0.0,8789.0,0.0,nan,0.0,nan,8790.0,1.0,1.0,8793.0,8793.0,0.0,8792.0,0.0,nan,0.0,nan,8793.0,1.0,0.6689317138201826,0.66826473308178,-0.0006669807384024205,0.0,0.09530463324652778,0.10416666666666667,0.0
