size,code_id,variant,realization_type,generation_seed,matrix_sha256,implementation_mode,lambda_mem,seed,EbNo_dB,trial_index,n_cycles,decoded_BER,decoded_FER,decoded_syndrome_weight,final_state_BER,final_syndrome_weight,mean_syndrome_weight,syndrome_zero_fraction,mean_bit_flip_rate,mean_backflip_rate,mean_repair_rate,mean_q_lag1_product,mean_q_lag1_cosine,mean_q_sign_persistence,mean_q_used_source_product,late_syndrome_weight,late_syndrome_weight_fraction,late_syndrome_zero_fraction,late_state_BER,late_bit_flip_rate,late_backflip_rate,late_repair_rate,late_q_lag1_product,late_q_lag1_cosine,late_q_sign_persistence,late_q_used_source_product,max_abs_memory_source_mean_delta,max_abs_memory_source_second_moment_delta,reached_valid,reached_valid_after_nonvalid,reached_correct,reached_low_BER,reached_relaxed_basin,reached_wrong_valid,first_valid_cycle,first_valid_after_nonvalid_cycle,first_correct_cycle,first_low_BER_cycle,first_relaxed_basin_cycle,first_wrong_valid_cycle,correct_residence_fraction,correct_remaining_cycles_after_hit,correct_cycles_after_hit,correct_escape_probability,correct_transition_opportunities,correct_escape_count,correct_return_probability,correct_return_count,correct_mean_return_time,correct_first_residence_time,correct_first_residence_censored,relaxed_basin_residence_fraction,relaxed_basin_remaining_cycles_after_hit,relaxed_basin_cycles_after_hit,relaxed_basin_escape_probability,relaxed_basin_transition_opportunities,relaxed_basin_escape_count,relaxed_basin_return_probability,relaxed_basin_return_count,relaxed_basin_mean_return_time,relaxed_basin_first_residence_time,relaxed_basin_first_residence_censored,mean_channel_alignment,late_channel_alignment,mean_channel_alignment_gap_to_transmitted,late_channel_alignment_gap_to_transmitted,mean_hard_channel_disagreement_rate,late_hard_channel_disagreement_rate,wrong_valid_residence_fraction
N288_M144,new_01,additive,new,2026082701,842d146426a0a749ef118497e8ee33a640476573833ba283982f24766f70a165,lambda_pSA,0.9,20260826,2.5,0,25600,0.0,0,0,0.0,0,2.11828125,0.7606640625,0.0018052842881944445,0.0009061223141224022,0.06179279941219691,0.9848654506664921,0.9972266248331879,0.9979981889021697,0.9848654506664921,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9982110643445964,0.9999983633057941,1.0,0.9982110643445964,0.0,0.0,1,1,1,1,1,0,6128.0,6128.0,6128.0,206.0,324.0,nan,1.0,19473.0,19473.0,0.0,19472.0,0.0,nan,0.0,nan,19473.0,1.0,0.7911540135300866,25277.0,19998.0,0.010351552732909936,19997.0,207.0,1.0,207.0,25.502415458937197,1.0,0.0,0.739976152343716,0.7356870895664781,-0.004289062777240694,0.0,0.07636610243055555,0.0798611111111111,0.0
N288_M144,new_01,additive,new,2026082701,842d146426a0a749ef118497e8ee33a640476573833ba283982f24766f70a165,lambda_pSA,0.9,20260826,2.5,1,25600,0.0,0,0,0.0,0,0.203828125,0.99265625,0.00044080946180555556,0.00021152418517028103,0.23460898502495842,0.9944735789505946,0.9994741824082491,0.9993449802687006,0.9944735789505946,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9982799824875835,0.9999982572054122,1.0,0.9982799824875835,0.0,0.0,1,1,1,1,1,0,189.0,189.0,189.0,97.0,119.0,nan,1.0,25412.0,25412.0,0.0,25411.0,0.0,nan,0.0,nan,25412.0,1.0,0.9983517777254532,25482.0,25440.0,0.00019654860647038013,25439.0,5.0,1.0,5.0,8.4,4.0,0.0,0.7459636938646305,0.7468749540624618,0.0009112601978334769,0.0,0.07000054253472222,0.06944444444444445,0.0
N288_M144,new_01,additive,new,2026082701,842d146426a0a749ef118497e8ee33a640476573833ba283982f24766f70a165,lambda_pSA,0.9,20260826,2.5,2,25600,0.0,0,0,0.0,0,0.28625,0.9785546875,0.0004500325520833333,0.0002156999694923091,0.16135049431076293,0.9935147841037787,0.9994168075289047,0.9993736018625374,0.9935147841037787,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9980229335285167,0.9999981999675867,1.0,0.9980229335285167,0.0,0.0,1,1,1,1,1,0,550.0,550.0,550.0,113.0,114.0,nan,1.0,25051.0,25051.0,0.0,25050.0,0.0,nan,0.0,nan,25051.0,1.0,0.9923098049986268,25487.0,25291.0,0.0015816528272044287,25290.0,40.0,1.0,40.0,4.9,1.0,0.0,0.7069376225668269,0.7074130053724987,0.00047538280567157513,0.0,0.11124701605902777,0.1111111111111111,0.0
N288_M144,new_01,additive,new,2026082701,842d146426a0a749ef118497e8ee33a640476573833ba283982f24766f70a165,lambda_pSA,0.9,20260826,2.5,3,25600,0.0,0,0,0.0,0,0.3960546875,0.97953125,0.0006317816840277778,0.0003065487652474025,0.14379749865358146,0.9932604209584406,0.9991901602151211,0.9990860350551268,0.9932604209584406,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9983709624904359,0.9999984682996894,1.0,0.9983709624904359,0.0,0.0,1,1,1,1,1,0,525.0,525.0,525.0,472.0,503.0,nan,1.0,25076.0,25076.0,0.0,25075.0,0.0,nan,0.0,nan,25076.0,1.0,0.9999203123754881,25098.0,25096.0,3.984857541342897e-05,25095.0,1.0,1.0,1.0,2.0,5.0,0.0,0.7594614641802078,0.7608023579776801,0.0013408937974720959,0.0,0.08053398980034722,0.0798611111111111,0.0
N288_M144,new_01,additive,new,2026082701,842d146426a0a749ef118497e8ee33a640476573833ba283982f24766f70a165,lambda_pSA,0.9,20260826,2.5,4,25600,0.0,0,0,0.0,0,0.2600390625,0.9891015625,0.0004679361979166667,0.00022465051836001863,0.17516824344094412,0.993863528683861,0.9994077396844653,0.9992937075268233,0.993863528683861,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9981795215347775,0.9999982741348094,1.0,0.9981795215347775,0.0,0.0,1,1,1,1,1,0,280.0,280.0,280.0,199.0,211.0,nan,1.0,25321.0,25321.0,0.0,25320.0,0.0,nan,0.0,nan,25321.0,1.0,0.9995273729814887,25390.0,25378.0,0.00011821728336682824,25377.0,3.0,1.0,3.0,4.0,3.0,0.0,0.7301315929475594,0.7310767300887896,0.0009451371412323723,0.0,0.094190673828125,0.09375,0.0
N288_M144,new_01,additive,new,2026082701,842d146426a0a749ef118497e8ee33a640476573833ba283982f24766f70a165,lambda_pSA,0.9,20268848,2.5,0,25600,0.0,0,0,0.0,0,0.2803125,0.986015625,0.00047254774305555554,0.00022672976881714442,0.15627690718098847,0.9938677331095281,0.999412878609324,0.9993277561691868,0.9938677331095281,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9982166698351147,0.99999822345781,1.0,0.9982166698351147,0.0,0.0,1,1,1,1,1,0,359.0,359.0,359.0,288.0,306.0,nan,1.0,25242.0,25242.0,0.0,25241.0,0.0,nan,0.0,nan,25242.0,1.0,0.9991697964024511,25295.0,25274.0,0.0002374075099908994,25273.0,6.0,1.0,6.0,3.5,5.0,0.0,0.7360061226418586,0.7368883677581994,0.000882245116340417,0.0,0.07346598307291667,0.07291666666666667,0.0
N288_M144,new_01,additive,new,2026082701,842d146426a0a749ef118497e8ee33a640476573833ba283982f24766f70a165,lambda_pSA,0.9,20268848,2.5,1,25600,0.0,0,0,0.0,0,0.3584375,0.980078125,0.0005750868055555556,0.0002777958988409768,0.14758064516129032,0.9930986723511286,0.9992400352806423,0.9991744767639489,0.9930986723511286,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9981551138248415,0.9999981672071568,1.0,0.9981551138248415,0.0,0.0,1,1,1,1,1,0,511.0,511.0,511.0,410.0,429.0,nan,1.0,25090.0,25090.0,0.0,25089.0,0.0,nan,0.0,nan,25090.0,1.0,0.9986890195455268,25172.0,25139.0,0.00011934123637520884,25138.0,3.0,1.0,3.0,11.0,3.0,0.0,0.7255436431764694,0.7265003607472965,0.0009567175708288716,0.0,0.09079020182291667,0.09027777777777778,0.0
N288_M144,new_01,additive,new,2026082701,842d146426a0a749ef118497e8ee33a640476573833ba283982f24766f70a165,lambda_pSA,0.9,20268848,2.5,2,25600,0.0,0,0,0.0,0,0.2545703125,0.986640625,0.0004448784722222222,0.00021310641099873563,0.16642349965956618,0.9941264403779294,0.9994586799511962,0.9993825567954155,0.9941264403779294,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9982661306166258,0.9999982037279461,1.0,0.9982661306166258,0.0,0.0,1,1,1,1,1,0,343.0,343.0,343.0,194.0,249.0,nan,1.0,25258.0,25258.0,0.0,25257.0,0.0,nan,0.0,nan,25258.0,1.0,0.9991716629851688,25352.0,25331.0,0.0003553099091985788,25330.0,9.0,1.0,9.0,2.3333333333333335,3.0,0.0,0.7431645458123404,0.7439965551143863,0.0008320093020441385,0.0,0.08726413302951389,0.08680555555555555,0.0
N288_M144,new_01,additive,new,2026082701,842d146426a0a749ef118497e8ee33a640476573833ba283982f24766f70a165,lambda_pSA,0.9,20268848,2.5,3,25600,0.0,0,0,0.0,0,0.47734375,0.974140625,0.0008048502604166667,0.00039364113149926126,0.145273822039568,0.9918591871871587,0.9988773540487554,0.9987929238398559,0.9918591871871587,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9980511454971702,0.9999980725667473,1.0,0.9980511454971702,0.0,0.0,1,1,1,1,1,0,663.0,663.0,663.0,511.0,518.0,nan,1.0,24938.0,24938.0,0.0,24937.0,0.0,nan,0.0,nan,24938.0,1.0,0.9954550891041741,25083.0,24969.0,8.010253123998718e-05,24968.0,2.0,1.0,2.0,57.0,2.0,0.0,0.710163174591984,0.7115318822053018,0.0013687076133184102,0.0,0.09816623263888889,0.09722222222222222,0.0
N288_M144,new_01,additive,new,2026082701,842d146426a0a749ef118497e8ee33a640476573833ba283982f24766f70a165,lambda_pSA,0.9,20268848,2.5,4,25600,0.0,0,0,0.0,0,0.293984375,0.9865234375,0.0004787868923611111,0.00023027519720115783,0.15238332502906493,0.9933177247208318,0.9993638968613244,0.9993238210715258,0.9933177247208318,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9979972979154861,0.9999979975114803,1.0,0.9979972979154861,0.0,0.0,1,1,1,1,1,0,346.0,346.0,346.0,293.0,313.0,nan,1.0,25255.0,25255.0,0.0,25254.0,0.0,nan,0.0,nan,25255.0,1.0,0.9995254666244859,25288.0,25276.0,7.91295746785361e-05,25275.0,2.0,1.0,2.0,6.0,1.0,0.0,0.7035350130097295,0.7044113186105583,0.0008763056008286074,0.0,0.0941726345486111,0.09375,0.0
