size,n_bits,n_checks,code_id,realization_type,generation_seed,matrix_sha256,gf2_rank,design_rate,actual_rate,variant,implementation_mode,lambda_mem,seed_batch_index,seed,EbNo_dB,bit_errors,frame_errors,syndrome_violations,syndrome_weight_total,n_trials,n_bits_total,BER,FER,syndrome_violation_rate,avg_syndrome_weight,source_parameter_file,parameter_transfer_policy
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,0,20260826,2.0,290,24,11,158,100,9600,0.030208333333333334,0.24,0.11,1.58,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,0,20260826,2.5,154,16,5,56,100,9600,0.016041666666666666,0.16,0.05,0.56,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,0,20260826,3.0,31,9,2,9,100,9600,0.0032291666666666666,0.09,0.02,0.09,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,1,20268848,2.0,292,26,15,186,100,9600,0.030416666666666668,0.26,0.15,1.86,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,1,20268848,2.5,143,20,8,83,100,9600,0.014895833333333334,0.2,0.08,0.83,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,1,20268848,3.0,32,10,1,4,100,9600,0.0033333333333333335,0.1,0.01,0.04,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,2,20276870,2.0,268,26,7,84,100,9600,0.027916666666666666,0.26,0.07,0.84,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,2,20276870,2.5,175,18,7,91,100,9600,0.018229166666666668,0.18,0.07,0.91,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,2,20276870,3.0,33,10,1,15,100,9600,0.0034375,0.1,0.01,0.15,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,3,20284892,2.0,204,26,11,134,100,9600,0.02125,0.26,0.11,1.34,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
