size,variant,event,cycle,cumulative_reach_probability,not_yet_reached_probability,n_trajectories,n_ever_reached
N192_M96,additive,valid,0,0.0,1.0,200,193
N192_M96,additive,valid,100,0.035,0.965,200,193
N192_M96,additive,valid,200,0.2,0.8,200,193
N192_M96,additive,valid,300,0.36,0.64,200,193
N192_M96,additive,valid,400,0.46,0.54,200,193
N192_M96,additive,valid,500,0.505,0.495,200,193
N192_M96,additive,valid,600,0.575,0.42500000000000004,200,193
N192_M96,additive,valid,700,0.625,0.375,200,193
N192_M96,additive,valid,800,0.66,0.33999999999999997,200,193
N192_M96,additive,valid,900,0.685,0.31499999999999995,200,193
N192_M96,additive,valid,1000,0.705,0.29500000000000004,200,193
N192_M96,additive,valid,1100,0.715,0.28500000000000003,200,193
N192_M96,additive,valid,1200,0.725,0.275,200,193
N192_M96,additive,valid,1300,0.745,0.255,200,193
N192_M96,additive,valid,1400,0.76,0.24,200,193
N192_M96,additive,valid,1500,0.765,0.235,200,193
N192_M96,additive,valid,1600,0.795,0.20499999999999996,200,193
N192_M96,additive,valid,1700,0.795,0.20499999999999996,200,193
N192_M96,additive,valid,1800,0.795,0.20499999999999996,200,193
N192_M96,additive,valid,1900,0.8,0.19999999999999996,200,193
N192_M96,additive,valid,2000,0.815,0.18500000000000005,200,193
N192_M96,additive,valid,2100,0.815,0.18500000000000005,200,193
N192_M96,additive,valid,2200,0.815,0.18500000000000005,200,193
N192_M96,additive,valid,2300,0.825,0.17500000000000004,200,193
N192_M96,additive,valid,2400,0.835,0.16500000000000004,200,193
N192_M96,additive,valid,2500,0.835,0.16500000000000004,200,193
N192_M96,additive,valid,2600,0.845,0.15500000000000003,200,193
N192_M96,additive,valid,2700,0.855,0.14500000000000002,200,193
N192_M96,additive,valid,2800,0.855,0.14500000000000002,200,193
N192_M96,additive,valid,2900,0.86,0.14,200,193
N192_M96,additive,valid,3000,0.86,0.14,200,193
N192_M96,additive,valid,3100,0.865,0.135,200,193
N192_M96,additive,valid,3200,0.865,0.135,200,193
N192_M96,additive,valid,3300,0.87,0.13,200,193
N192_M96,additive,valid,3400,0.87,0.13,200,193
N192_M96,additive,valid,3500,0.875,0.125,200,193
N192_M96,additive,valid,3600,0.875,0.125,200,193
N192_M96,additive,valid,3700,0.88,0.12,200,193
N192_M96,additive,valid,3800,0.88,0.12,200,193
N192_M96,additive,valid,3900,0.885,0.11499999999999999,200,193
N192_M96,additive,valid,4000,0.89,0.10999999999999999,200,193
N192_M96,additive,valid,4100,0.89,0.10999999999999999,200,193
N192_M96,additive,valid,4200,0.89,0.10999999999999999,200,193
N192_M96,additive,valid,4300,0.895,0.10499999999999998,200,193
N192_M96,additive,valid,4400,0.895,0.10499999999999998,200,193
N192_M96,additive,valid,4500,0.895,0.10499999999999998,200,193
N192_M96,additive,valid,4600,0.895,0.10499999999999998,200,193
N192_M96,additive,valid,4700,0.895,0.10499999999999998,200,193
N192_M96,additive,valid,4800,0.895,0.10499999999999998,200,193
N192_M96,additive,valid,4900,0.895,0.10499999999999998,200,193
N192_M96,additive,valid,5000,0.895,0.10499999999999998,200,193
N192_M96,additive,valid,5100,0.895,0.10499999999999998,200,193
N192_M96,additive,valid,5200,0.895,0.10499999999999998,200,193
N192_M96,additive,valid,5300,0.895,0.10499999999999998,200,193
N192_M96,additive,valid,5400,0.895,0.10499999999999998,200,193
N192_M96,additive,valid,5500,0.895,0.10499999999999998,200,193
N192_M96,additive,valid,5600,0.9,0.09999999999999998,200,193
N192_M96,additive,valid,5700,0.9,0.09999999999999998,200,193
N192_M96,additive,valid,5800,0.9,0.09999999999999998,200,193
N192_M96,additive,valid,5900,0.9,0.09999999999999998,200,193
N192_M96,additive,valid,6000,0.9,0.09999999999999998,200,193
N192_M96,additive,valid,6100,0.9,0.09999999999999998,200,193
N192_M96,additive,valid,6200,0.9,0.09999999999999998,200,193
N192_M96,additive,valid,6300,0.905,0.09499999999999997,200,193
N192_M96,additive,valid,6400,0.905,0.09499999999999997,200,193
N192_M96,additive,valid,6500,0.905,0.09499999999999997,200,193
N192_M96,additive,valid,6600,0.905,0.09499999999999997,200,193
N192_M96,additive,valid,6700,0.905,0.09499999999999997,200,193
N192_M96,additive,valid,6800,0.905,0.09499999999999997,200,193
N192_M96,additive,valid,6900,0.905,0.09499999999999997,200,193
N192_M96,additive,valid,7000,0.905,0.09499999999999997,200,193
N192_M96,additive,valid,7100,0.905,0.09499999999999997,200,193
N192_M96,additive,valid,7200,0.915,0.08499999999999996,200,193
N192_M96,additive,valid,7300,0.915,0.08499999999999996,200,193
N192_M96,additive,valid,7400,0.915,0.08499999999999996,200,193
N192_M96,additive,valid,7500,0.915,0.08499999999999996,200,193
N192_M96,additive,valid,7600,0.915,0.08499999999999996,200,193
N192_M96,additive,valid,7700,0.915,0.08499999999999996,200,193
N192_M96,additive,valid,7800,0.915,0.08499999999999996,200,193
N192_M96,additive,valid,7900,0.915,0.08499999999999996,200,193
N192_M96,additive,valid,8000,0.915,0.08499999999999996,200,193
N192_M96,additive,valid,8100,0.915,0.08499999999999996,200,193
N192_M96,additive,valid,8200,0.915,0.08499999999999996,200,193
N192_M96,additive,valid,8300,0.915,0.08499999999999996,200,193
N192_M96,additive,valid,8400,0.92,0.07999999999999996,200,193
N192_M96,additive,valid,8500,0.925,0.07499999999999996,200,193
N192_M96,additive,valid,8600,0.925,0.07499999999999996,200,193
N192_M96,additive,valid,8700,0.925,0.07499999999999996,200,193
N192_M96,additive,valid,8800,0.925,0.07499999999999996,200,193
N192_M96,additive,valid,8900,0.925,0.07499999999999996,200,193
N192_M96,additive,valid,9000,0.925,0.07499999999999996,200,193
N192_M96,additive,valid,9100,0.925,0.07499999999999996,200,193
N192_M96,additive,valid,9200,0.925,0.07499999999999996,200,193
N192_M96,additive,valid,9300,0.925,0.07499999999999996,200,193
N192_M96,additive,valid,9400,0.925,0.07499999999999996,200,193
N192_M96,additive,valid,9500,0.925,0.07499999999999996,200,193
N192_M96,additive,valid,9600,0.93,0.06999999999999995,200,193
N192_M96,additive,valid,9700,0.93,0.06999999999999995,200,193
N192_M96,additive,valid,9800,0.93,0.06999999999999995,200,193
N192_M96,additive,valid,9900,0.935,0.06499999999999995,200,193
N192_M96,additive,valid,10000,0.935,0.06499999999999995,200,193
N192_M96,additive,valid,10100,0.94,0.06000000000000005,200,193
N192_M96,additive,valid,10200,0.945,0.05500000000000005,200,193
N192_M96,additive,valid,10300,0.945,0.05500000000000005,200,193
N192_M96,additive,valid,10400,0.945,0.05500000000000005,200,193
N192_M96,additive,valid,10500,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,10600,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,10700,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,10800,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,10900,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,11000,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,11100,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,11200,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,11300,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,11400,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,11500,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,11600,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,11700,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,11800,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,11900,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,12000,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,12100,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,12200,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,12300,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,12400,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,12500,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,12600,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,12700,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,12800,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,12900,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,13000,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,13100,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,13200,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,13300,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,13400,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,13500,0.95,0.050000000000000044,200,193
N192_M96,additive,valid,13600,0.955,0.04500000000000004,200,193
N192_M96,additive,valid,13700,0.955,0.04500000000000004,200,193
N192_M96,additive,valid,13800,0.955,0.04500000000000004,200,193
N192_M96,additive,valid,13900,0.955,0.04500000000000004,200,193
N192_M96,additive,valid,14000,0.955,0.04500000000000004,200,193
N192_M96,additive,valid,14100,0.955,0.04500000000000004,200,193
N192_M96,additive,valid,14200,0.955,0.04500000000000004,200,193
N192_M96,additive,valid,14300,0.955,0.04500000000000004,200,193
N192_M96,additive,valid,14400,0.955,0.04500000000000004,200,193
N192_M96,additive,valid,14500,0.955,0.04500000000000004,200,193
N192_M96,additive,valid,14600,0.955,0.04500000000000004,200,193
N192_M96,additive,valid,14700,0.96,0.040000000000000036,200,193
N192_M96,additive,valid,14800,0.96,0.040000000000000036,200,193
N192_M96,additive,valid,14900,0.96,0.040000000000000036,200,193
N192_M96,additive,valid,15000,0.96,0.040000000000000036,200,193
N192_M96,additive,valid,15100,0.96,0.040000000000000036,200,193
N192_M96,additive,valid,15200,0.96,0.040000000000000036,200,193
N192_M96,additive,valid,15300,0.965,0.03500000000000003,200,193
N192_M96,additive,valid,15400,0.965,0.03500000000000003,200,193
N192_M96,additive,valid,15500,0.965,0.03500000000000003,200,193
N192_M96,additive,valid,15600,0.965,0.03500000000000003,200,193
N192_M96,additive,valid,15700,0.965,0.03500000000000003,200,193
N192_M96,additive,valid,15800,0.965,0.03500000000000003,200,193
N192_M96,additive,valid,15900,0.965,0.03500000000000003,200,193
N192_M96,additive,valid,16000,0.965,0.03500000000000003,200,193
N192_M96,additive,valid,16100,0.965,0.03500000000000003,200,193
N192_M96,additive,valid,16200,0.965,0.03500000000000003,200,193
N192_M96,additive,valid,16300,0.965,0.03500000000000003,200,193
N192_M96,additive,valid,16400,0.965,0.03500000000000003,200,193
N192_M96,additive,valid,16500,0.965,0.03500000000000003,200,193
N192_M96,additive,valid,16600,0.965,0.03500000000000003,200,193
N192_M96,additive,valid,16700,0.965,0.03500000000000003,200,193
N192_M96,additive,valid,16800,0.965,0.03500000000000003,200,193
N192_M96,additive,valid,16900,0.965,0.03500000000000003,200,193
N192_M96,additive,valid,17000,0.965,0.03500000000000003,200,193
N192_M96,additive,valid,17100,0.965,0.03500000000000003,200,193
