size,code_id,scope,EbNo_dB,metric,difference_definition,mean_paired_difference,seed_batch_sd,seed_batch_sem,ci95_low,ci95_high,n_seed_batches,ci_excludes_zero_in_additive_direction
N192_M96,C00,per_EbNo,2.0,BER,pSA_minus_additive; positive_favors_additive,0.2849479166666667,0.0038567465089449707,0.0012196103326169066,0.2821889664168465,0.2877068669164869,10,1
N192_M96,C00,per_EbNo,2.0,FER,pSA_minus_additive; positive_favors_additive,0.876,0.032386554137309655,0.010241527663824811,0.8528320548367103,0.8991679451632897,10,1
N192_M96,C00,per_EbNo,2.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.8869999999999999,0.02710063549890379,0.00856997342145496,0.8676133732391863,0.9063866267608135,10,1
N192_M96,C00,per_EbNo,2.5,BER,pSA_minus_additive; positive_favors_additive,0.27784895833333334,0.004775855177808285,0.0015102580136982624,0.274432517349888,0.2812653993167787,10,1
N192_M96,C00,per_EbNo,2.5,FER,pSA_minus_additive; positive_favors_additive,0.9570000000000001,0.0294580681270476,0.009315459074988078,0.9359269675282416,0.9780730324717586,10,1
N192_M96,C00,per_EbNo,2.5,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9640000000000001,0.029135697844549537,0.0092135166407235,0.9431575773361119,0.9848424226638882,10,1
N192_M96,C00,per_EbNo,3.0,BER,pSA_minus_additive; positive_favors_additive,0.2582083333333333,0.006631680841183554,0.0020971216173441398,0.2534643146452821,0.26295235202138456,10,1
N192_M96,C00,per_EbNo,3.0,FER,pSA_minus_additive; positive_favors_additive,0.9850000000000001,0.013540064007726612,0.004281744192888379,0.9753140217045487,0.9946859782954515,10,1
N192_M96,C00,per_EbNo,3.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9850000000000001,0.013540064007726612,0.004281744192888379,0.9753140217045487,0.9946859782954515,10,1
N192_M96,C00,pooled_across_EbNo,,BER,pSA_minus_additive; positive_favors_additive,0.27366840277777776,0.003339065709001218,0.001055905289740884,0.27127977906329487,0.27605702649226066,10,1
N192_M96,C00,pooled_across_EbNo,,FER,pSA_minus_additive; positive_favors_additive,0.9393333333333332,0.012551129996838174,0.003969015799887058,0.9303547958121376,0.9483118708545288,10,1
N192_M96,C00,pooled_across_EbNo,,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9453333333333334,0.013895553956323095,0.004394159985174486,0.935393052848144,0.9552736138185227,10,1
N192_M96,C01,per_EbNo,2.0,BER,pSA_minus_additive; positive_favors_additive,0.2850989583333333,0.00505040958815242,0.0015970797415314581,0.28148611295637876,0.2887118037102879,10,1
N192_M96,C01,per_EbNo,2.0,FER,pSA_minus_additive; positive_favors_additive,0.8559999999999999,0.037771241264574124,0.011944315244779279,0.828980081713635,0.8830199182863647,10,1
N192_M96,C01,per_EbNo,2.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.883,0.039454615277134134,0.012476644848141932,0.854775868488389,0.911224131511611,10,1
N192_M96,C01,per_EbNo,2.5,BER,pSA_minus_additive; positive_favors_additive,0.27682291666666664,0.0036789992778917917,0.001163401722825281,0.2741911191261006,0.27945471420723267,10,1
N192_M96,C01,per_EbNo,2.5,FER,pSA_minus_additive; positive_favors_additive,0.9490000000000001,0.021317702607092627,0.006741249472052223,0.9337502342202108,0.9642497657797894,10,1
N192_M96,C01,per_EbNo,2.5,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.966,0.022705848487901886,0.00718021974284601,0.9497572144778544,0.9822427855221455,10,1
N192_M96,C01,per_EbNo,3.0,BER,pSA_minus_additive; positive_favors_additive,0.26004687499999996,0.003879689795702696,0.0012268656369333858,0.2572715121115515,0.2628222378884484,10,1
N192_M96,C01,per_EbNo,3.0,FER,pSA_minus_additive; positive_favors_additive,0.9810000000000001,0.013703203194062989,0.004333333333333337,0.9711973189609656,0.9908026810390346,10,1
N192_M96,C01,per_EbNo,3.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9950000000000001,0.007071067811865481,0.0022360679774997916,0.9899416628080703,1.00005833719193,10,1
N192_M96,C01,pooled_across_EbNo,,BER,pSA_minus_additive; positive_favors_additive,0.27398958333333334,0.0023974095727399315,0.0007581274734149305,0.2722745798389913,0.2757045868276754,10,1
N192_M96,C01,pooled_across_EbNo,,FER,pSA_minus_additive; positive_favors_additive,0.9286666666666668,0.013806421837341388,0.004365973934308554,0.9187901474583363,0.9385431858749972,10,1
N192_M96,C01,pooled_across_EbNo,,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9480000000000001,0.012688091043217957,0.004012326685615065,0.9389234864484253,0.9570765135515749,10,1
N192_M96,C02,per_EbNo,2.0,BER,pSA_minus_additive; positive_favors_additive,0.2859166666666667,0.006391633996608761,0.002021212139944862,0.2813443671466428,0.2904889661866906,10,1
N192_M96,C02,per_EbNo,2.0,FER,pSA_minus_additive; positive_favors_additive,0.8799999999999999,0.015634719199411447,0.004944132324730447,0.8688155956475124,0.8911844043524874,10,1
N192_M96,C02,per_EbNo,2.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.8930000000000001,0.016363916944844785,0.0051747248987533455,0.8812939590044858,0.9047060409955144,10,1
N192_M96,C02,per_EbNo,2.5,BER,pSA_minus_additive; positive_favors_additive,0.27777083333333336,0.0057885079149270265,0.001830486926508158,0.27362998422102214,0.2819116824456446,10,1
N192_M96,C02,per_EbNo,2.5,FER,pSA_minus_additive; positive_favors_additive,0.9650000000000001,0.021213203435596444,0.006708203932499375,0.9498249884242106,0.9801750115757896,10,1
N192_M96,C02,per_EbNo,2.5,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9720000000000001,0.02149935399546282,0.006798692684790385,0.9566202886450578,0.9873797113549424,10,1
N192_M96,C02,per_EbNo,3.0,BER,pSA_minus_additive; positive_favors_additive,0.25817708333333333,0.004341735866193389,0.001372977433601516,0.2550711925974746,0.26128297406919204,10,1
N192_M96,C02,per_EbNo,3.0,FER,pSA_minus_additive; positive_favors_additive,0.9860000000000001,0.009660917830792967,0.003055050463303896,0.9790889957115565,0.9929110042884437,10,1
N192_M96,C02,per_EbNo,3.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.991,0.009944289260117542,0.0031446603773522042,0.9838862840026292,0.9981137159973708,10,1
N192_M96,C02,pooled_across_EbNo,,BER,pSA_minus_additive; positive_favors_additive,0.27395486111111106,0.003471217061299944,0.0010976952166544143,0.27147170201412557,0.27643802020809655,10,1
N192_M96,C02,pooled_across_EbNo,,FER,pSA_minus_additive; positive_favors_additive,0.9436666666666668,0.009088046687412702,0.0028738927014172427,0.9371654697068816,0.9501678636264519,10,1
N192_M96,C02,pooled_across_EbNo,,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.952,0.009838197164968296,0.0031111111111111122,0.944962177715565,0.9590378222844349,10,1
N192_M96,C03,per_EbNo,2.0,BER,pSA_minus_additive; positive_favors_additive,0.28622395833333336,0.006176225953082831,0.0019530941355585991,0.2818057524448511,0.2906421642218156,10,1
N192_M96,C03,per_EbNo,2.0,FER,pSA_minus_additive; positive_favors_additive,0.8869999999999999,0.033681514877517686,0.010651030205780308,0.8629056957282186,0.9110943042717812,10,1
N192_M96,C03,per_EbNo,2.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.8979999999999999,0.03735713526965838,0.011813363431112892,0.8712763152969092,0.9247236847030906,10,1
N192_M96,C03,per_EbNo,2.5,BER,pSA_minus_additive; positive_favors_additive,0.27845312499999997,0.0040252364168835465,0.0012728915198007053,0.27557364433094655,0.2813326056690534,10,1
N192_M96,C03,per_EbNo,2.5,FER,pSA_minus_additive; positive_favors_additive,0.9629999999999999,0.015670212364724226,0.0049553562491061725,0.9517902053665905,0.9742097946334092,10,1
N192_M96,C03,per_EbNo,2.5,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.966,0.017763883459298985,0.005617433182117577,0.9532924832902184,0.9787075167097815,10,1
N192_M96,C03,per_EbNo,3.0,BER,pSA_minus_additive; positive_favors_additive,0.26290625,0.005300276423900273,0.001676094572801698,0.2591146606565158,0.26669783934348423,10,1
N192_M96,C03,per_EbNo,3.0,FER,pSA_minus_additive; positive_favors_additive,0.9850000000000001,0.015092308563562374,0.004772607021092122,0.9742036128417488,0.9957963871582514,10,1
N192_M96,C03,per_EbNo,3.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9860000000000001,0.012649110640673528,0.0040000000000000036,0.9769513713485837,0.9950486286514165,10,1
