size,scope,EbNo_dB,n_code_realizations,BER_additive_better_count,BER_tie_count,BER_win_fraction,FER_additive_better_count,FER_tie_count,FER_win_fraction,mean_relative_BER_reduction,median_relative_BER_reduction,relative_BER_reduction_sd_between_codes,relative_BER_reduction_q25,relative_BER_reduction_q75,relative_BER_reduction_min,relative_BER_reduction_max,mean_relative_BER_reduction_bootstrap_ci95_low,mean_relative_BER_reduction_bootstrap_ci95_high,median_relative_BER_reduction_bootstrap_ci95_low,median_relative_BER_reduction_bootstrap_ci95_high,mean_absolute_BER_reduction,mean_relative_FER_reduction,median_relative_FER_reduction,relative_FER_reduction_sd_between_codes,mean_relative_FER_reduction_bootstrap_ci95_low,mean_relative_FER_reduction_bootstrap_ci95_high,median_relative_FER_reduction_bootstrap_ci95_low,median_relative_FER_reduction_bootstrap_ci95_high,aggregate_pSA_BER,aggregate_additive_BER,aggregate_pSA_FER,aggregate_additive_FER,bootstrap_unit,bootstrap_samples
N96_M48,per_EbNo,2.0,10,10,0,1.0,10,0,1.0,0.5807703962878203,0.5803107574420688,0.020116987445258104,0.5667366106205689,0.5917302178517208,0.5489552754273873,0.6144029170464905,0.5691645365611026,0.5925051624129488,0.5647715005397625,0.5969722891585976,0.034070833333333335,0.6231164795002841,0.6237816764132553,0.03874335146180148,0.5992582562220471,0.6440604592591788,0.6074918740721491,0.6507936507936508,0.0587,0.024629166666666667,0.5209,0.1969,independent_code_realization,20000
N96_M48,per_EbNo,2.5,10,10,0,1.0,10,0,1.0,0.6090603816236515,0.6022722596599448,0.025552251760277096,0.5952079166788091,0.6207622570470797,0.5690590111642744,0.6534621578099838,0.5946250881350066,0.6247365059970396,0.5935203740814964,0.6259062249930849,0.01926458333333333,0.6376547358456686,0.6446369353916523,0.042314311423719275,0.6098893113172947,0.6594029122082117,0.6226655892463189,0.663625304136253,0.03163020833333333,0.012365625,0.2928,0.1067,independent_code_realization,20000
N96_M48,per_EbNo,3.0,10,10,0,1.0,10,0,1.0,0.6309757807990648,0.6494727488393137,0.05093363810553773,0.592650472558448,0.6699256731488407,0.540016849199663,0.6786929884275017,0.5995296758870201,0.6588176997653522,0.5766871165644172,0.6724008975317876,0.0087875,0.6141756909206179,0.6383464656845952,0.07103015826606657,0.5684086339288826,0.6512973149065243,0.573063756953359,0.6654411764705883,0.0138625,0.005075,0.1376,0.0542,independent_code_realization,20000
N96_M48,pooled_across_EbNo,,10,10,0,1.0,10,0,1.0,0.5962786719777833,0.5990431398851295,0.017586325844934834,0.5876542585268864,0.6106442835050363,0.5635074771800349,0.6166153846153846,0.5853057574875077,0.6061063790410344,0.5836658060323079,0.6113968319275869,0.02070763888888889,0.6261885077477687,0.6269945355191257,0.04076866251478851,0.5989885121524235,0.6463082018724735,0.6225316258698503,0.6515022199624105,0.03473090277777778,0.014023263888888889,0.3171,0.11926666666666667,independent_code_realization,20000
N192_M96,per_EbNo,2.0,10,10,0,1.0,10,0,1.0,0.9472709775393833,0.9469783593745322,0.004033090710278854,0.9442637283494872,0.949574051064437,0.9422001136031121,0.9557257389015197,0.9450820015722663,0.949782433574353,0.9439511368885696,0.9498944600159175,0.28656197916666665,0.8777999999999999,0.879,0.012594531441154232,0.8701000000000001,0.8847999999999999,0.8674999999999999,0.887,0.30251354166666666,0.0159515625,1.0,0.1222,independent_code_realization,20000
N192_M96,per_EbNo,2.5,10,10,0,1.0,10,0,1.0,0.9837842355641151,0.984103859276472,0.002112188617744917,0.9831400819922544,0.9850756897294954,0.979498861047836,0.9871177907751537,0.9824812194849544,0.9849804544277742,0.9824480759271488,0.9853295819935691,0.2785526041666667,0.9561999999999997,0.9575,0.00746547609555703,0.9513999999999999,0.9602,0.952,0.962,0.2831447916666667,0.0045921875,1.0,0.0438,independent_code_realization,20000
N192_M96,per_EbNo,3.0,10,10,0,1.0,10,0,1.0,0.9959775952263271,0.9957927624214711,0.0008572529354712472,0.9954623539230044,0.9962545188587354,0.9949026690748545,0.9976526292558633,0.9955067554679389,0.996505290143863,0.9953399592757542,0.9966015287960306,0.2594692708333333,0.9868971971971974,0.9864999999999999,0.003282119313265485,0.9849957957957958,0.9888957957957958,0.984992992992993,0.989,0.2605171875,0.0010479166666666666,0.9998,0.0131,independent_code_realization,20000
N192_M96,pooled_across_EbNo,,10,10,0,1.0,10,0,1.0,0.9744819095975676,0.9745693989657023,0.0017857885003687453,0.9729786140248216,0.9754585626230063,0.972291185290792,0.977839046656251,0.9734759367134975,0.9755749476391844,0.9728630500524593,0.9756301183077278,0.2748612847222222,0.9402961653884627,0.9421666666666667,0.006805483599511784,0.9360611934533735,0.944,0.9341566077581416,0.9453151050350117,0.28205850694444445,0.007197222222222222,0.9999333333333333,0.0597,independent_code_realization,20000
N288_M144,per_EbNo,2.0,10,10,0,1.0,10,0,1.0,0.9447499927592542,0.9445652625290819,0.002565128186265798,0.9437676349227643,0.9455507394170033,0.9395149332768481,0.9488248833329813,0.9432342506459964,0.9462612781683343,0.9436857531220797,0.9464522287472935,0.3100923611111111,0.8361000000000001,0.836,0.005896326540030388,0.8328,0.8396999999999999,0.8305,0.8405,0.32822534722222224,0.01813298611111111,1.0,0.1639,independent_code_realization,20000
N288_M144,per_EbNo,2.5,10,10,0,1.0,10,0,1.0,0.986380284672092,0.9865184764651915,0.0018639591574814256,0.9857157635154474,0.9870719633955325,0.9826503333583844,0.9898470037331953,0.9852820894948542,0.9874574974370517,0.9855198752084343,0.9872428468820018,0.31824305555555554,0.9558,0.9564999999999999,0.004613988392799545,0.9529,0.9583,0.953,0.959,0.3226378472222222,0.004394791666666667,1.0,0.0442,independent_code_realization,20000
N288_M144,per_EbNo,3.0,10,10,0,1.0,10,0,1.0,0.9985352228254545,0.9985219240681179,0.0006871624194553998,0.9984295533340759,0.9989569930325207,0.9969964373801041,0.999583100198576,0.9981036531382949,0.9989149523593606,0.9982535175436402,0.999036197360495,0.316478125,0.9928999999999999,0.994,0.0036040101122068054,0.9905000000000002,0.9946999999999999,0.9915,0.995,0.3169423611111111,0.0004642361111111111,1.0,0.0071,independent_code_realization,20000
