problem,size,mode,stage,candidate_id,rank,graph_type,instance_seed,EbNo_dB,kw,kr,alpha,alpha_mode,psa_p,lambda_mem,response_lambda,I0_min,I0_max,I0_schedule_type,I0_schedule_shape,I0_hold_fraction,decision_method,burn_in,sample_window,n_cycles,BER,FER,syndrome_violation,BP_BER,BP_FER,BER_ratio_to_BP,FER_ratio_to_BP,best_cut,normalized_cut,approximation_ratio,success_rate,score,seed,mean_cut,mean_normalized_cut,convergence_cycle,reference_cut,n_edges
maxcut,N500_ERp0p02,lambda_pSA,search,134,1,,,,0.3430261923503458,0.0,1.0,fixed,0.5535151870519485,0.16082530393308175,0.0,0.9069054614958855,3.643623385810502,cosine,8.324881337488906,0.28613797139803254,last,295,107,3000,,,,,,,,1791.0,0.7332202895019705,1.0,0.07,-0.7315395490136549,1261146,,0.7308395490136549,,,
maxcut,N500_ERp0p02,lambda_pSA,search,76,2,,,,1.4214627341961306,0.0,1.0,fixed,0.27407628617255275,0.07344740929097661,0.0,0.17196456991068595,3.6996981260035833,linear,2.574792665575524,0.027060388204313012,last,1487,179,3000,,,,,,,,1791.6666666666667,0.7334965707562874,1.0,0.03333333333333333,-0.7314012299942627,801844,,0.7310678966609294,,,
maxcut,N500_ERp0p02,lambda_pSA,search,87,3,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.6523338014809887,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,1791.6666666666667,0.7334965707562874,1.0,0.01,-0.7310252329789969,888953,,0.7309252329789969,,,
maxcut,N500_ERp0p02,lambda_pSA,search,236,4,,,,0.1027856131965233,0.0,1.0,fixed,0.7391703338125168,0.36276457908523185,0.0,1.688158541909946,8.755095217776137,exponential,0.22145072060317283,0.40020220158060743,best_state,2608,17,3000,,,,,,,,1791.3333333333333,0.7333613442518926,1.0,0.02666666666666667,-0.7308263837298212,2068884,,0.7305597170631546,,,
maxcut,N500_ERp0p02,lambda_pSA,search,227,5,,,,1.0928038482005358,0.0,1.0,fixed,0.2866952401674049,0.2311855145652953,0.0,0.3105274674217173,3.946821487179442,piecewise,3.6647213928782523,0.8355126133356544,last,292,2225,3000,,,,,,,,1790.6666666666667,0.7330879771203392,1.0,0.016666666666666666,-0.7307485384464888,1997613,,0.7305818717798221,,,
maxcut,N500_ERp0p02,lambda_pSA,search,99,6,,,,0.2993697468402056,0.0,1.0,fixed,0.30698578524499087,0.31032408435528636,0.0,0.09169779984182673,8.756461223217372,linear,2.3690937694044725,0.5128204718198061,best_state,2635,359,3000,,,,,,,,1791.6666666666667,0.7334965707562874,1.0,0.013333333333333334,-0.7307017179983157,983981,,0.7305683846649824,,,
maxcut,N500_ERp0p02,lambda_pSA,search,164,7,,,,0.20384302434101398,0.0,1.0,fixed,0.04017476969414946,0.4896339030020802,0.0,1.4111963659314068,3.957504019463667,exponential,2.241199482999008,0.6683370719338237,last,2398,559,3000,,,,,,,,1791.6666666666667,0.7334965707562874,1.0,0.04,-0.7307013424333108,1498716,,0.7303013424333108,,,
maxcut,N500_ERp0p02,lambda_pSA,search,242,8,,,,0.41165781877774527,0.0,1.0,fixed,0.7004066545752429,0.22155222998977686,0.0,0.7473836541865674,2.66091259074574,linear,5.1927950399612675,0.8607152520631247,last,1381,276,3000,,,,,,,,1791.0,0.7332252898301239,1.0,0.013333333333333334,-0.7305475237250394,2116398,,0.7304141903917061,,,
maxcut,N500_ERp0p02,lambda_pSA,search,186,9,,,,0.2834664479077419,0.0,1.0,fixed,0.07992024975669154,0.2547978191767983,0.0,0.037852613211011854,7.858066756934681,piecewise,3.263648212075567,0.39501961497795807,best_state,301,1146,3000,,,,,,,,1790.6666666666667,0.7330871492029655,1.0,0.03333333333333333,-0.7305334922273637,1672934,,0.7302001588940304,,,
maxcut,N500_ERp0p02,lambda_pSA,search,126,10,,,,0.8943429561385767,0.0,1.0,fixed,0.22132235198275063,0.5769954972245356,0.0,0.0990657887242165,2.6959730677325964,cosine,2.0011115345180555,0.13903789669499614,last,2535,449,3000,,,,,,,,1791.3333333333333,0.7333613442518926,1.0,0.01,-0.7304130350821324,1197794,,0.7303130350821324,,,
maxcut,N500_ERp0p02,lambda_pSA,search,69,11,,,,3.9891062015214755,0.0,1.0,fixed,0.28274651196426825,0.20820412801160704,0.0,0.05235140891633668,2.878103266249108,linear,1.5444322328484408,0.3831087859934247,best_state,138,518,3000,,,,,,,,1791.6666666666667,0.7334965707562874,1.0,0.013333333333333334,-0.7302286851948718,746411,,0.7300953518615385,,,
maxcut,N500_ERp0p02,lambda_pSA,search,188,12,,,,0.3107444182734244,0.0,1.0,fixed,0.17882110341935575,0.374588446314539,0.0,0.5129154382749751,4.100140309476273,exponential,0.5491833454423567,0.6735082335260812,best_state,882,98,1000,,,,,,,,1791.0,0.733223203624734,1.0,0.02666666666666667,-0.7300737355839487,1688772,,0.7298070689172821,,,
