problem,size,mode,stage,candidate_id,rank,graph_type,instance_seed,EbNo_dB,kw,kr,alpha,alpha_mode,psa_p,lambda_mem,response_lambda,I0_min,I0_max,I0_schedule_type,I0_schedule_shape,I0_hold_fraction,decision_method,burn_in,sample_window,n_cycles,BER,FER,syndrome_violation,BP_BER,BP_FER,BER_ratio_to_BP,FER_ratio_to_BP,best_cut,normalized_cut,approximation_ratio,success_rate,score,seed,mean_cut,mean_normalized_cut,convergence_cycle,reference_cut,n_edges
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,1,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.0,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,2678.0,0.5425196740316075,1.0,0.01,-0.5320583187804213,907919,,0.5319583187804213,,,
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,2,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.05,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,2689.0,0.5447357014024471,1.0,0.01,-0.5339640129380466,915838,,0.5338640129380466,,,
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,3,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.1,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,2705.0,0.5479906198486395,1.0,0.01,-0.5364464239049863,923757,,0.5363464239049863,,,
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,4,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.15,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,2745.6666666666665,0.5561971910420506,1.0,0.01,-0.5398731191830216,931676,,0.5397731191830216,,,
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,5,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.2,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,2758.6666666666665,0.5588422997714099,1.0,0.01,-0.545277853270676,939595,,0.545177853270676,,,
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,6,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.25,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,2870.0,0.5814715841657812,1.0,0.01,-0.5566605018884527,947514,,0.5565605018884527,,,
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,7,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.3,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,3287.0,0.6658875903917081,1.0,0.043333333333333335,-0.5997695190129997,955433,,0.5993361856796664,,,
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,8,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.35,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,3287.0,0.6658875903917081,1.0,0.30333333333333334,-0.6673636266850875,963352,,0.6643302933517542,,,
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,9,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.4,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,3287.0,0.6658875903917081,1.0,0.2866666666666667,-0.6673668606370721,971271,,0.6645001939704054,,,
maxcut,N500_ERp0p04,lambda_pSA,memory_sweep,10,0,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.45,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,3287.0,0.6658875903917081,1.0,0.26666666666666666,-0.6669699701344349,979190,,0.6643033034677682,,,
