size,variant,implementation_mode,lambda_mem,EbNo_dB,cycle_start,cycle_end,cycle_mid,I0_mean_n,I0_mean_mean,I0_mean_sd,I0_mean_sem,I0_mean_ci_low,I0_mean_ci_high,syndrome_weight_n,syndrome_weight_mean,syndrome_weight_sd,syndrome_weight_sem,syndrome_weight_ci_low,syndrome_weight_ci_high,syndrome_weight_fraction_n,syndrome_weight_fraction_mean,syndrome_weight_fraction_sd,syndrome_weight_fraction_sem,syndrome_weight_fraction_ci_low,syndrome_weight_fraction_ci_high,syndrome_violation_rate_n,syndrome_violation_rate_mean,syndrome_violation_rate_sd,syndrome_violation_rate_sem,syndrome_violation_rate_ci_low,syndrome_violation_rate_ci_high,state_BER_n,state_BER_mean,state_BER_sd,state_BER_sem,state_BER_ci_low,state_BER_ci_high,bit_flip_rate_n,bit_flip_rate_mean,bit_flip_rate_sd,bit_flip_rate_sem,bit_flip_rate_ci_low,bit_flip_rate_ci_high,backflip_rate_n,backflip_rate_mean,backflip_rate_sd,backflip_rate_sem,backflip_rate_ci_low,backflip_rate_ci_high,backflip_probability_n,backflip_probability_mean,backflip_probability_sd,backflip_probability_sem,backflip_probability_ci_low,backflip_probability_ci_high,repair_rate_n,repair_rate_mean,repair_rate_sd,repair_rate_sem,repair_rate_ci_low,repair_rate_ci_high,repair_probability_n,repair_probability_mean,repair_probability_sd,repair_probability_sem,repair_probability_ci_low,repair_probability_ci_high,q_lag1_product_n,q_lag1_product_mean,q_lag1_product_sd,q_lag1_product_sem,q_lag1_product_ci_low,q_lag1_product_ci_high,q_lag1_cosine_n,q_lag1_cosine_mean,q_lag1_cosine_sd,q_lag1_cosine_sem,q_lag1_cosine_ci_low,q_lag1_cosine_ci_high,q_sign_persistence_n,q_sign_persistence_mean,q_sign_persistence_sd,q_sign_persistence_sem,q_sign_persistence_ci_low,q_sign_persistence_ci_high,q_used_source_product_n,q_used_source_product_mean,q_used_source_product_sd,q_used_source_product_sem,q_used_source_product_ci_low,q_used_source_product_ci_high,q_mean_n,q_mean_mean,q_mean_sd,q_mean_sem,q_mean_ci_low,q_mean_ci_high,q_abs_mean_n,q_abs_mean_mean,q_abs_mean_sd,q_abs_mean_sem,q_abs_mean_ci_low,q_abs_mean_ci_high,memory_source_mean_delta_n,memory_source_mean_delta_mean,memory_source_mean_delta_sd,memory_source_mean_delta_sem,memory_source_mean_delta_ci_low,memory_source_mean_delta_ci_high,memory_source_second_moment_delta_n,memory_source_second_moment_delta_mean,memory_source_second_moment_delta_sd,memory_source_second_moment_delta_sem,memory_source_second_moment_delta_ci_low,memory_source_second_moment_delta_ci_high
N96_M48,pSA,pSA,0.0,2.0,1,100,50.5,200,0.06227420018347684,0.0,0.0,0.06227420018347684,0.06227420018347684,200,20.92159999999999,0.5043344188440438,0.03566182875503999,20.851702815640113,20.99149718435987,200,0.43586666666666646,0.010506967059243174,0.0007429547657294525,0.4344104753258367,0.4373228580074962,200,0.9997500000000001,0.0015651673212117934,0.00011067404265204423,0.9995330788764021,0.9999669211235982,200,0.407484375,0.014615638385828533,0.001033481701398976,0.405458750865258,0.409509999134742,200,0.11556041666666667,0.004336953696384894,0.0003066689368405822,0.11495934555045913,0.1161614877828742,200,0.09696784720959124,0.00473754512601481,0.0003349950284782349,0.0963112569537739,0.09762443746540858,200,0.057322395833333324,0.0022111344248702154,0.0001563508145940746,0.05701594823672894,0.05762884342993771,200,0.14274511676947024,0.00662190365210594,0.0004682392976768074,0.1418273677460237,0.1436628657929168,200,0.05823802083333329,0.0021781645913808607,0.0001540194953105832,0.05793614262252455,0.05853989904414204,200,0.19147720559040426,0.0064102540813653075,0.00045327341300621513,0.1905887897009121,0.19236562147989644,200,0.8218737697803058,0.008541806425215024,0.0006039969246852366,0.8206899358079227,0.8230576037526889,200,0.9275569431306563,0.004285746278458492,0.0003030480255943009,0.9269629690004915,0.9281509172608211,0,nan,nan,nan,nan,nan,200,-0.020778884115871133,0.02499826719174889,0.001767644424919883,-0.024243467188714105,-0.01731430104302816,200,0.3832186649791253,0.00837511589176152,0.0005922101240287789,0.3820579331360289,0.3843793968222217,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
N96_M48,pSA,pSA,0.0,2.0,101,200,150.5,200,0.06227420018347684,0.0,0.0,0.06227420018347684,0.06227420018347684,200,21.02315,0.4706571664620442,0.03328048740193571,20.957920244692207,21.088379755307795,200,0.4379822916666668,0.009805357634610344,0.0006933434875392259,0.4366233384310899,0.4393412449022437,200,1.0,0.0,0.0,1.0,1.0,200,0.4034026041666668,0.016031487685271628,0.0011335973654764196,0.401180753330333,0.4056244550030006,200,0.11692656250000004,0.0038728734965344396,0.0002738535112077157,0.11638980961803291,0.11746331538196716,200,0.09808302057763152,0.004631904277404418,0.00032752509243596395,0.09744107139645702,0.09872496975880601,200,0.058461979166666664,0.0019318056501042968,0.00013659928751232352,0.05819424456314251,0.05872971377019082,200,0.145112418283983,0.006738938854898097,0.00047651493622999515,0.1441784490089722,0.1460463875589938,200,0.058464583333333306,0.0020057594782509165,0.00014182861285004145,0.058186599252147225,0.05874256741451939,200,0.19544551114451536,0.006777575806982016,0.00047924698131228703,0.19450618706114328,0.19638483522788744,200,0.8253564288599575,0.008457027143973804,0.0005980021242182578,0.8241843446964897,0.8265285130234253,200,0.9273239583333333,0.004126935652145132,0.00029181841851523495,0.9267519942330434,0.9278959224336231,0,nan,nan,nan,nan,nan,200,9.262184874685164e-05,0.024136899235317588,0.001706736512610946,-0.0032525817159706023,0.0034378254134643056,200,0.3896946421687052,0.0080475282847093,0.000569046182190849,0.38857931165161114,0.39080997268579926,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
N96_M48,pSA,pSA,0.0,2.0,201,300,250.5,200,0.06227420018347684,0.0,0.0,0.06227420018347684,0.06227420018347684,200,21.06535000000001,0.4752326883119046,0.033604025654686065,20.999486109716823,21.131213890283195,200,0.4388614583333335,0.009900681006497212,0.0007000838678059031,0.43748929395243397,0.44023362271423305,200,1.0,0.0,0.0,1.0,1.0,200,0.4029234374999999,0.015609313306240019,0.0011037451288507724,0.4007600970474524,0.40508677795254744,200,0.11682916666666662,0.004221085687880894,0.00029847583138700625,0.11624415403714809,0.11741417929618515,200,0.09785088040270593,0.005063917605482529,0.000358073047820664,0.09714905722897742,0.09855270357643443,200,0.05835624999999999,0.0021820508223818107,0.00015429429333998611,0.05805383318505362,0.058658666814946366,200,0.1452324451727466,0.006381853671870851,0.0004512652007920147,0.14434796537919425,0.14611692496629897,200,0.05847291666666667,0.0021122738613719564,0.00014936031710992037,0.05818017044513123,0.05876566288820212,200,0.19521117725779555,0.006734129626848619,0.0004761748724533893,0.1942778745077869,0.19614448000780418,200,0.8254117277688442,0.00877970193149662,0.0006208186772557889,0.8241949231614228,0.8266285323762655,200,0.9277489583333336,0.004316263282590565,0.0003052059036506296,0.9271507547621783,0.9283471619044888,0,nan,nan,nan,nan,nan,200,-0.0004761330809071633,0.024071628906613796,0.0017021212034072732,-0.0038122906395854188,0.002860024477771092,200,0.3891001435933312,0.008357465462375667,0.0005909620501978199,0.3879418579749435,0.39025842921171894,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
N96_M48,pSA,pSA,0.0,2.0,301,400,350.5,200,0.06227420018347684,0.0,0.0,0.06227420018347684,0.06227420018347684,200,20.980349999999994,0.4982959681350152,0.035234845810618504,20.91128970221118,21.049410297788807,200,0.4370906250000003,0.010381166002794855,0.0007340592877199488,0.4356518687960692,0.43852938120393137,200,1.0,0.0,0.0,1.0,1.0,200,0.40191197916666666,0.014647326459584527,0.0010357223865825364,0.39988196328896486,0.40394199504436845,200,0.11584322916666658,0.004160113113231271,0.0002941644192868911,0.11526666690486427,0.11641979142846888,200,0.09697005927234235,0.004793752337368724,0.0003389694785082287,0.09630567909446623,0.09763443945021848,200,0.057953124999999994,0.0021111199213630313,0.00014927872122938104,0.05766053870639041,0.05824571129360958,200,0.1441950876541792,0.006291042574474642,0.00044484388651442946,0.14332319363661092,0.1450669816717475,200,0.057890104166666644,0.002104711230986583,0.0001488255583870099,0.0575984060722281,0.058181802261105184,200,0.19649649731114813,0.006682845750637349,0.0004725485547899373,0.19557030214375984,0.19742269247853642,200,0.8273289970670448,0.008215244690726804,0.0005809055229919704,0.8261904222419805,0.8284675718921091,200,0.9280083333333334,0.0041482076460445496,0.00029332257562879864,0.927433421085101,0.9285832455815659,0,nan,nan,nan,nan,nan,200,0.00032448032412224373,0.024171192609943357,0.001709161420385711,-0.00302547605983375,0.003674436708078237,200,0.39064846578074885,0.008347242126932419,0.0005902391512159933,0.38949159704436553,0.3918053345171322,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
N96_M48,pSA,pSA,0.0,2.0,401,500,450.5,200,0.06227420018347684,0.0,0.0,0.06227420018347684,0.06227420018347684,200,21.07,0.47979581084098777,0.03392668714305605,21.00350369319961,21.13649630680039,200,0.4389583333333333,0.00999574605919042,0.0007068059821472254,0.43757299360832475,0.4403436730583418,200,1.0,0.0,0.0,1.0,1.0,200,0.40325729166666646,0.015100102013300604,0.0010677384530213495,0.4011645242987446,0.4053500590345883,200,0.1166447916666666,0.004258931740769655,0.00030115195145088503,0.11605453384182286,0.11723504949151033,200,0.09780649559237968,0.0047553547501710675,0.00033625435907936224,0.09714743704858413,0.09846555413617523,200,0.05831666666666667,0.0021774551017797257,0.00015396932681976881,0.05801488678609992,0.058618446547233416,200,0.14479512127753813,0.006635406292966453,0.00046919407856844703,0.14387550088354398,0.14571474167153228,200,0.05832812499999998,0.0021316566408665,0.00015073088659180392,0.058032692462280044,0.05862355753771992,200,0.19616485400183975,0.006515872536531224,0.0004607417655928418,0.19526180014127778,0.19706790786240172,200,0.8262331004165082,0.008194173969115514,0.0005794155979783868,0.8250974458444705,0.8273687549885459,200,0.9278177083333339,0.003922657125895316,0.00027737374539903105,0.9272740557923518,0.928361360874316,0,nan,nan,nan,nan,nan,200,-0.0013342353695369005,0.026770582505382303,0.001892966042586978,-0.0050444488130073776,0.0023759780739335762,200,0.3904400552667942,0.008040224605057386,0.0005685297340499009,0.3893257369880564,0.391554373545532,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
N96_M48,pSA,pSA,0.0,2.0,501,600,550.5,200,0.06227420018347684,0.0,0.0,0.06227420018347684,0.06227420018347684,200,20.977950000000007,0.5005728351761682,0.03539584462308445,20.90857414453876,21.047325855461253,200,0.437040625,0.010428600732841593,0.0007374134296479289,0.4355952946778901,0.43848595532210993,200,1.0,0.0,0.0,1.0,1.0,200,0.40331718749999984,0.0158950425722692,0.0011239492390100413,0.40111424699154014,0.40552012800845955,200,0.11605104166666662,0.004338696264070185,0.00030679215498327677,0.1154497290428994,0.11665235429043384,200,0.09734231506822373,0.0048730905686238815,0.00034457953864101555,0.09666693917248734,0.09801769096396012,200,0.05803281249999999,0.002197315794741923,0.00015537368988703215,0.05772828006782141,0.05833734493217857,200,0.14404814681061354,0.0073066050582467025,0.0005166549984138172,0.14303550301372245,0.14506079060750462,200,0.05801822916666663,0.002192950493567164,0.0001550650164807728,0.057714301734364315,0.058322156598968944,200,0.1955925989011857,0.006663989722271428,0.00047121523223755843,0.19466901704600006,0.1965161807563713,200,0.8270829682574937,0.008623697759417657,0.0006097875164587461,0.8258877847252346,0.8282781517897528,200,0.9282302083333334,0.00401695263757417,0.0002840414449733884,0.9276734871011855,0.9287869295654813,0,nan,nan,nan,nan,nan,200,0.0008019174988174815,0.025487821052719135,0.0018022611104046948,-0.00273051427757572,0.004334349275210684,200,0.38911227964495415,0.008075256591793247,0.0005710068695878373,0.387993106180562,0.3902314531093463,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
N96_M48,pSA,pSA,0.0,2.0,601,700,650.5,200,0.06227420018347684,0.0,0.0,0.06227420018347684,0.06227420018347684,200,21.03334999999998,0.4765287775994662,0.03369567300711187,20.967306480906043,21.09939351909392,200,0.4381947916666667,0.009927682866624377,0.00070199318764596,0.4368188850188806,0.4395706983144528,200,1.0,0.0,0.0,1.0,1.0,200,0.4018942708333331,0.015489040943493272,0.0010952405885220173,0.39974759927982995,0.4040409423868363,200,0.11680260416666664,0.004164011893740481,0.00029444010470053316,0.1162255015614536,0.11737970677187969,200,0.09773836669793022,0.004756996550349151,0.00033637045188328985,0.09707908061223897,0.09839765278362148,200,0.05840885416666671,0.0021042173915253918,0.0001487906386638273,0.05811722451488561,0.058700483818447814,200,0.1454758125016801,0.006933769126051519,0.0004902915168212951,0.14451484112871035,0.14643678387464984,200,0.05839374999999999,0.0021291896328092413,0.00015055644277915095,0.058098659372152854,0.05868884062784712,200,0.19557628024523574,0.0068074654468329625,0.00048136049801486986,0.1946328136691266,0.19651974682134488,200,0.826241425922569,0.008081322259272706,0.000571435777048552,0.8251214117995538,0.8273614400455842,200,0.9277578125000003,0.003847206092698037,0.00027203855167689834,0.9272246169387136,0.9282910080612871,0,nan,nan,nan,nan,nan,200,-0.0005013314401817731,0.025696953904958193,0.001817049036203407,-0.004062747551140451,0.0030600846707769047,200,0.38926744504524197,0.008889546736183529,0.0006285858778830114,0.38803541672459124,0.3904994733658927,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
N96_M48,pSA,pSA,0.0,2.0,701,800,750.5,200,0.06227420018347684,0.0,0.0,0.06227420018347684,0.06227420018347684,200,21.026600000000002,0.5110344617591497,0.03613559333299121,20.955774237067338,21.097425762932666,200,0.43805416666666674,0.010646551286647274,0.000752824861103865,0.4365786299389032,0.4395297033944303,200,1.0,0.0,0.0,1.0,1.0,200,0.4014333333333335,0.014918893943460515,0.0010549251075223844,0.3993656801225896,0.40350098654407734,200,0.11659322916666667,0.004339784558100048,0.00030686910899212086,0.11599176571304212,0.11719469262029122,200,0.09746964034838813,0.005079776313114596,0.000359194427791413,0.09676561926991696,0.09817366142685931,200,0.05828541666666669,0.0022247305340618645,0.00015731220469479136,0.057977084745464896,0.05859374858786848,200,0.14536889783122503,0.006112080957123477,0.0004321893891943174,0.14452180662840416,0.1462159890340459,200,0.058307812499999986,0.0021792337408729602,0.00015409509559617977,0.05800578611263148,0.058609838887368496,200,0.19516943638035472,0.0070332958819227884,0.0004973291212199023,0.19419467130276372,0.19614420145794573,200,0.825756912990642,0.0089046356357766,0.0006296528242053018,0.8245227934551996,0.8269910325260844,200,0.9277630208333336,0.004202862277227883,0.00029718724166209715,0.9271805338396759,0.9283455078269913,0,nan,nan,nan,nan,nan,200,-0.0016800191962579483,0.024613943800377177,0.0017404686572991281,-0.00509133776456424,0.0017312993720483426,200,0.3890776890446304,0.00840010094065936,0.000593976833779173,0.3879134944504232,0.3902418836388376,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
N96_M48,pSA,pSA,0.0,2.0,801,900,850.5,200,0.06227420018347684,0.0,0.0,0.06227420018347684,0.06227420018347684,200,21.07965,0.5265927049289484,0.03723572725786261,21.00666797457459,21.15263202542541,200,0.4391593750000002,0.010970681352675213,0.0007757443178713449,0.43763891613697237,0.440679833863028,200,1.0,0.0,0.0,1.0,1.0,200,0.4023494791666667,0.014593778778541674,0.0010319359937443148,0.40032688461892785,0.40437207371440553,200,0.11642864583333329,0.00433786909364213,0.00030673366520138926,0.11582744784953856,0.11702984381712801,200,0.09745313359894375,0.004668796143069776,0.0003301337412742237,0.09680607146604628,0.09810019573184123,200,0.058194791666666655,0.002141771221841903,0.00015144609547146072,0.057897957319542594,0.058491626013790717,200,0.14487346603746049,0.006948369690169279,0.0004913239326109767,0.14391047112954297,0.145836460945378,200,0.05823385416666668,0.0022479046767540267,0.00015895086403937264,0.05792231047314951,0.058545397860183854,200,0.19459513611392518,0.0074729422625231644,0.000528416814924567,0.19355943915667304,0.19563083307117732,200,0.8252059820970028,0.008903367426549928,0.0006295631482708874,0.8239720383263919,0.8264399258676137,200,0.9274807291666659,0.004455335907583111,0.0003150398232715939,0.9268632511130536,0.9280982072202782,0,nan,nan,nan,nan,nan,200,0.0004557163397805166,0.02598785090607707,0.0018376185604152058,-0.0031460160386332864,0.00405744871819432,200,0.3881755038796823,0.009467403761521182,0.0006694465400002655,0.3868633886612818,0.3894876190980828,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
N96_M48,pSA,pSA,0.0,2.0,901,1000,950.5,200,0.06227420018347684,0.0,0.0,0.06227420018347684,0.06227420018347684,200,21.009850000000007,0.4706421118929261,0.03327942288314459,20.944622331149045,21.07507766885097,200,0.4377052083333334,0.009805043997775768,0.0006933213100659701,0.4363462985656041,0.43906411810106266,200,1.0,0.0,0.0,1.0,1.0,200,0.4026463541666667,0.013825179675448924,0.0009775878299632366,0.40073028201993877,0.4045624263133947,200,0.11615572916666661,0.0038446351182861846,0.0002718567563328105,0.1156228899242543,0.11668856840907892,200,0.09731207926224464,0.00422162745971896,0.0002985141404410615,0.09672699154698015,0.09789716697750912,200,0.05809479166666663,0.0019327541455228872,0.00013666635626656448,0.057826925608384164,0.0583626577249491,200,0.14434899307447316,0.006303865087465052,0.00044575057510316666,0.14347532194727095,0.14522266420167537,200,0.05806093750000002,0.001977738439865773,0.0001398472262242391,0.057786836936600514,0.05833503806339953,200,0.19601168298034838,0.006421010461068312,0.00045403400390911633,0.19512177633268651,0.19690158962801024,200,0.8266988730109824,0.00823878896071966,0.000582570354288974,0.8255570351165761,0.8278407109053888,200,0.9278385416666665,0.004222184957786008,0.0002985535615074323,0.9272533766861119,0.9284237066472211,0,nan,nan,nan,nan,nan,200,-0.0005772589100754531,0.024757921603193234,0.0017506494253702856,-0.004008531783801212,0.0028540139636503065,200,0.3895676017168415,0.008057092708755396,0.0005697224891009629,0.38845094563820365,0.3906842577954794,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
