size,variant,implementation_mode,lambda_mem,EbNo_dB,n_cycles,seed,decoded_BER_n,decoded_BER_mean,decoded_BER_sd,decoded_BER_sem,decoded_BER_ci_low,decoded_BER_ci_high,decoded_FER_n,decoded_FER_mean,decoded_FER_sd,decoded_FER_sem,decoded_FER_ci_low,decoded_FER_ci_high,decoded_syndrome_weight_n,decoded_syndrome_weight_mean,decoded_syndrome_weight_sd,decoded_syndrome_weight_sem,decoded_syndrome_weight_ci_low,decoded_syndrome_weight_ci_high,final_state_BER_n,final_state_BER_mean,final_state_BER_sd,final_state_BER_sem,final_state_BER_ci_low,final_state_BER_ci_high,final_syndrome_weight_n,final_syndrome_weight_mean,final_syndrome_weight_sd,final_syndrome_weight_sem,final_syndrome_weight_ci_low,final_syndrome_weight_ci_high,mean_syndrome_weight_n,mean_syndrome_weight_mean,mean_syndrome_weight_sd,mean_syndrome_weight_sem,mean_syndrome_weight_ci_low,mean_syndrome_weight_ci_high,syndrome_zero_fraction_n,syndrome_zero_fraction_mean,syndrome_zero_fraction_sd,syndrome_zero_fraction_sem,syndrome_zero_fraction_ci_low,syndrome_zero_fraction_ci_high,mean_bit_flip_rate_n,mean_bit_flip_rate_mean,mean_bit_flip_rate_sd,mean_bit_flip_rate_sem,mean_bit_flip_rate_ci_low,mean_bit_flip_rate_ci_high,mean_backflip_rate_n,mean_backflip_rate_mean,mean_backflip_rate_sd,mean_backflip_rate_sem,mean_backflip_rate_ci_low,mean_backflip_rate_ci_high,mean_repair_rate_n,mean_repair_rate_mean,mean_repair_rate_sd,mean_repair_rate_sem,mean_repair_rate_ci_low,mean_repair_rate_ci_high,mean_q_lag1_product_n,mean_q_lag1_product_mean,mean_q_lag1_product_sd,mean_q_lag1_product_sem,mean_q_lag1_product_ci_low,mean_q_lag1_product_ci_high,mean_q_lag1_cosine_n,mean_q_lag1_cosine_mean,mean_q_lag1_cosine_sd,mean_q_lag1_cosine_sem,mean_q_lag1_cosine_ci_low,mean_q_lag1_cosine_ci_high,mean_q_sign_persistence_n,mean_q_sign_persistence_mean,mean_q_sign_persistence_sd,mean_q_sign_persistence_sem,mean_q_sign_persistence_ci_low,mean_q_sign_persistence_ci_high,mean_q_used_source_product_n,mean_q_used_source_product_mean,mean_q_used_source_product_sd,mean_q_used_source_product_sem,mean_q_used_source_product_ci_low,mean_q_used_source_product_ci_high,late_syndrome_weight_n,late_syndrome_weight_mean,late_syndrome_weight_sd,late_syndrome_weight_sem,late_syndrome_weight_ci_low,late_syndrome_weight_ci_high,late_syndrome_weight_fraction_n,late_syndrome_weight_fraction_mean,late_syndrome_weight_fraction_sd,late_syndrome_weight_fraction_sem,late_syndrome_weight_fraction_ci_low,late_syndrome_weight_fraction_ci_high,late_syndrome_zero_fraction_n,late_syndrome_zero_fraction_mean,late_syndrome_zero_fraction_sd,late_syndrome_zero_fraction_sem,late_syndrome_zero_fraction_ci_low,late_syndrome_zero_fraction_ci_high,late_state_BER_n,late_state_BER_mean,late_state_BER_sd,late_state_BER_sem,late_state_BER_ci_low,late_state_BER_ci_high,late_bit_flip_rate_n,late_bit_flip_rate_mean,late_bit_flip_rate_sd,late_bit_flip_rate_sem,late_bit_flip_rate_ci_low,late_bit_flip_rate_ci_high,late_backflip_rate_n,late_backflip_rate_mean,late_backflip_rate_sd,late_backflip_rate_sem,late_backflip_rate_ci_low,late_backflip_rate_ci_high,late_repair_rate_n,late_repair_rate_mean,late_repair_rate_sd,late_repair_rate_sem,late_repair_rate_ci_low,late_repair_rate_ci_high,late_q_lag1_product_n,late_q_lag1_product_mean,late_q_lag1_product_sd,late_q_lag1_product_sem,late_q_lag1_product_ci_low,late_q_lag1_product_ci_high,late_q_lag1_cosine_n,late_q_lag1_cosine_mean,late_q_lag1_cosine_sd,late_q_lag1_cosine_sem,late_q_lag1_cosine_ci_low,late_q_lag1_cosine_ci_high,late_q_sign_persistence_n,late_q_sign_persistence_mean,late_q_sign_persistence_sd,late_q_sign_persistence_sem,late_q_sign_persistence_ci_low,late_q_sign_persistence_ci_high,late_q_used_source_product_n,late_q_used_source_product_mean,late_q_used_source_product_sd,late_q_used_source_product_sem,late_q_used_source_product_ci_low,late_q_used_source_product_ci_high,max_abs_memory_source_mean_delta_n,max_abs_memory_source_mean_delta_mean,max_abs_memory_source_mean_delta_sd,max_abs_memory_source_mean_delta_sem,max_abs_memory_source_mean_delta_ci_low,max_abs_memory_source_mean_delta_ci_high,max_abs_memory_source_second_moment_delta_n,max_abs_memory_source_second_moment_delta_mean,max_abs_memory_source_second_moment_delta_sd,max_abs_memory_source_second_moment_delta_sem,max_abs_memory_source_second_moment_delta_ci_low,max_abs_memory_source_second_moment_delta_ci_high
N192_M96,additive,lambda_pSA,0.95,2.0,19200,20260826,20,0.02447916666666667,0.06218166371126286,0.01390424270124156,-0.002773149027766788,0.05173148236110013,20,0.15,0.36634754853252327,0.08191780219091253,-0.010558892294188577,0.31055889229418854,20,0.3,0.8013147091860318,0.1791794161110442,-0.051191655577646655,0.6511916555776467,20,0.01979166666666667,0.050230190154169005,0.011231811970746254,-0.002222684795995987,0.041806018129329325,20,1.2,3.001753873286328,0.6712125712391519,-0.11557663962873765,2.515576639628738,20,1.8075390624999996,3.245571995139474,0.725731960700148,0.3851044195277096,3.2299737054722897,20,0.7944114583333335,0.34945836788875473,0.07814126659053852,0.641254575815878,0.947568340850789,20,0.0027573784722222227,0.004903646869816111,0.0010964887738562886,0.0006082604754638972,0.004906496468980549,20,0.001555646825819385,0.00292741484887822,0.0006545898600433974,0.0002726507001343261,0.002838642951504444,20,0.08204803527781193,0.033646565442915784,0.007523600753975501,0.06730177780001995,0.09679429275560392,20,0.9811930225790114,0.033017483839648594,0.007382933831145502,0.9667224722699662,0.9956635728880566,20,0.994194379001609,0.010831407257068054,0.0024219762918788706,0.9894473054695264,0.9989414525336916,20,0.9933024774716837,0.012066563188222223,0.002698165554366148,0.988014072985126,0.9985908819582413,20,0.9811930225790114,0.033017483839648594,0.007382933831145502,0.9667224722699662,0.9956635728880566,20,1.4127916666666667,3.5014511685873133,0.7829482832857309,-0.12178696857336568,2.947370301906699,20,0.014716579861111112,0.036473449672784514,0.008155711284226362,-0.0012686142559725586,0.030701773978194784,20,0.85,0.36634754853252327,0.08191780219091253,0.6894411077058114,1.0105588922941886,20,0.021965928819444445,0.05524259497680656,0.012352619762162788,-0.002245205914394619,0.04617706355328351,20,0.0020919596354166668,0.005247874228320609,0.0011734603511894134,-0.0002080226529145835,0.004391941923747917,20,0.0012351520710938934,0.003123695970659328,0.0006984796531436446,-0.0001338680490676502,0.002604172191255437,3,0.04840177630432093,0.007792271494725831,0.004498870045078607,0.03958399101596686,0.057219561592675,20,0.9858614546323208,0.035349137771503544,0.007904307500308735,0.9703690119317157,1.001353897332926,20,0.9953640990551815,0.011666810776487608,0.0026087781976853394,0.9902508937877182,1.0004773043226447,20,0.9947853190104168,0.012976043380639003,0.0029015315078094986,0.9890983172551102,1.0004723207657233,20,0.9858614546323208,0.035349137771503544,0.007904307500308735,0.9703690119317157,1.001353897332926,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0
N192_M96,additive,lambda_pSA,0.95,2.5,19200,20260826,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.37052083333333335,0.3554003599222663,0.07946993640140793,0.21475975798657382,0.526281908680093,20,0.9505598958333332,0.06026222290040154,0.013475042688054238,0.9241488121647469,0.9769709795019196,20,0.0005921495225694445,0.0004380664150983585,9.795462828195698e-05,0.00040015845113680875,0.0007841405940020802,20,0.00028559294514472175,0.00022297736607544835,4.98592547988558e-05,0.00018786880573896437,0.00038331708455047913,20,0.10022190972766083,0.04053025603753858,0.009062840764540753,0.08245874182916096,0.1179850776261607,20,0.9958598984976501,0.003111508440968579,0.0006957544386570134,0.9944962197978824,0.9972235771974178,20,0.9989340324255036,0.0008719717961123504,0.00019497882105698025,0.9985518739362319,0.9993161909147753,20,0.9987227454533946,0.0011688771377002271,0.000261368873724309,0.998210462460895,0.9992350284458942,20,0.9958598984976501,0.003111508440968579,0.0006957544386570134,0.9944962197978824,0.9972235771974178,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,20,0.9999915113285303,7.545655129015612e-07,1.6872597803248853e-07,0.9999911806256133,0.9999918420314472,20,0.9999999999649564,0.0,0.0,0.9999999999649564,0.9999999999649564,20,1.0,0.0,0.0,1.0,1.0,20,0.9999915113285303,7.545655129015612e-07,1.6872597803248853e-07,0.9999911806256133,0.9999918420314472,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0
N192_M96,additive,lambda_pSA,0.95,3.0,19200,20260826,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.2525963541666667,0.3839324887196927,0.0858499143547904,0.0843305220312775,0.4208621863020559,20,0.9413776041666664,0.1490755422682574,0.03333430462944667,0.8760423670929509,1.0067128412403819,20,0.0003666178385416666,0.0003371014478827182,7.537817527793604e-05,0.000218876614996912,0.0005143590620864212,20,0.00017241577127449981,0.0001744676602933058,3.9012154829117265e-05,9.595194780942997e-05,0.0002488795947395697,20,0.12050128928529276,0.04413142125126268,0.009868085786150218,0.10115984114443834,0.1398427374261472,20,0.9973237714609423,0.002562534219891383,0.0005730000710346526,0.9962006913217144,0.9984468516001702,20,0.9993334625537729,0.0007784067719968697,0.00017405704563311803,0.9989923107443319,0.9996746143632138,20,0.9991977572302193,0.0011509968734157096,0.0002573707250847247,0.9986933106090532,0.9997022038513854,20,0.9973237714609423,0.002562534219891383,0.0005730000710346526,0.9962006913217144,0.9984468516001702,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,20,0.9999929294896974,7.777507634508636e-07,1.7391035766284897e-07,0.9999925886253964,0.9999932703539984,20,0.9999999999701152,0.0,0.0,0.9999999999701152,0.9999999999701152,20,1.0,0.0,0.0,1.0,1.0,20,0.9999929294896974,7.777507634508636e-07,1.7391035766284897e-07,0.9999925886253964,0.9999932703539984,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0
N192_M96,additive,lambda_pSA,0.95,2.0,19200,20268848,20,0.01666666666666667,0.04349733851171057,0.009726300575250436,-0.002396882460824184,0.03573021579415753,20,0.15,0.36634754853252327,0.08191780219091253,-0.010558892294188577,0.31055889229418854,20,0.2,0.5231483637805969,0.11697953037312035,-0.02927987953131589,0.4292798795313159,20,0.021354166666666667,0.054831551089523645,0.012260707554792753,-0.0026768201407271278,0.04538515347406046,20,1.4,3.6331804249169903,0.812403840463596,-0.1923115273086482,2.9923115273086482,20,2.4725026041666665,3.457122749680135,0.773036147484577,0.9573517550968955,3.9876534532364376,20,0.7135833333333335,0.39040306253681123,0.08729677864564113,0.5424816471878768,0.8846850194787901,20,0.003717556423611112,0.005133289643363179,0.001147838459075572,0.0014677930438229906,0.005967319803399233,20,0.0020651975540663886,0.002983003650178506,0.0006670198938929143,0.0007578385620362767,0.0033725565460965006,20,0.07762236363342039,0.030585597889124398,0.006839147601255623,0.06421763433495936,0.09102709293188141,20,0.9748359315070669,0.03448599816040144,0.007711303615859031,0.9597217764199832,0.9899500865941506,20,0.9921790998842515,0.011230104152105926,0.002511127627851149,0.9872572897336632,0.9971009100348397,20,0.990789574913643,0.012963835298238548,0.0028988016975972654,0.9851079235863524,0.9964712262409335,20,0.9748359315070669,0.03448599816040144,0.007711303615859031,0.9597217764199832,0.9899500865941506,20,1.68471875,3.5727241651091997,0.7988854098040352,0.11890334678409098,3.2505341532159093,20,0.017549153645833333,0.03721587671988749,0.008321723018792034,0.0012385765290009489,0.03385973076266571,20,0.8072916666666667,0.3964892418877823,0.08865768972084381,0.6335225948138129,0.9810607385195206,20,0.02363666449652778,0.04944955576239039,0.011057256814187136,0.0019644411407209947,0.04530888785233456,20,0.0025042317708333334,0.005391591522025894,0.0012055965150161454,0.0001412626014016885,0.004867200940264978,20,0.0014289975574489574,0.003097009884049512,0.000692512462772345,7.167313041516127e-05,0.0027863219844827536,4,0.05223692909457063,0.010204318003034537,0.005102159001517268,0.042236697451596784,0.06223716073754448,20,0.9832426937883871,0.03584528116448448,0.008015248535638012,0.9675328066585366,0.9989525809182377,20,0.994567084231765,0.011698552882326041,0.0026158759483257124,0.9894399673730466,0.9996942010904833,20,0.9937218424479166,0.013275242852445517,0.0029684345435886383,0.9879037107424828,0.9995399741533504,20,0.9832426937883871,0.03584528116448448,0.008015248535638012,0.9675328066585366,0.9989525809182377,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0
N192_M96,additive,lambda_pSA,0.95,2.5,19200,20268848,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.5619531249999998,0.7781711333724087,0.1740043552348761,0.2209045887396427,0.903001661260357,20,0.9249583333333333,0.11858165415069376,0.026515663956532133,0.8729876319785304,0.9769290346881363,20,0.0008397894965277781,0.0010005563972106649,0.00022373121194853274,0.0004012763211086539,0.0012783026719469022,20,0.00041503747373409876,0.0005187748635340008,0.00011600158598802025,0.00018767436519757908,0.0006424005822706184,20,0.09917114787128446,0.04236255185112759,0.009472554563948084,0.08060494092594622,0.1177373548166227,20,0.9941635328032673,0.006805676892677412,0.0015217956164926233,0.9911808133949418,0.9971462522115928,20,0.998430244290662,0.0019791087788238295,0.00044254217643166787,0.9975628616248559,0.9992976269564681,20,0.998065160501376,0.0025705438952572145,0.0005747910888942231,0.9969385699671433,0.9991917510356086,20,0.9941635328032673,0.006805676892677412,0.0015217956164926233,0.9911808133949418,0.9971462522115928,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,20,0.9999916277355719,9.299490864516333e-07,2.0794293729196806e-07,0.9999912201674148,0.999992035303729,20,0.9999999999652303,1.9338300362916296e-08,4.324175418078969e-09,0.9999999914898464,1.000000008440614,20,1.0,0.0,0.0,1.0,1.0,20,0.9999916277355719,9.299490864516333e-07,2.0794293729196806e-07,0.9999912201674148,0.999992035303729,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0
N192_M96,additive,lambda_pSA,0.95,3.0,19200,20268848,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.21151822916666663,0.19543067570665942,0.04369962757688072,0.12586695911598042,0.2971694992173528,20,0.9728255208333334,0.04283916656212069,0.009579128853233781,0.9540504282809952,0.9916006133856716,20,0.0003684895833333333,0.00024070119568746803,5.3822423582265774e-05,0.0002629976331120924,0.0004739815335545742,20,0.00017175438598364,0.00012146510107465622,2.7160422289681404e-05,0.00011851995829586445,0.00022498881367141553,20,0.11747850788370726,0.03452183770119514,0.007719317580808741,0.10234864542532213,0.13260837034209239,20,0.9974214278142481,0.0016778433242098504,0.0003751771728527444,0.9966860805554567,0.9981567750730396,20,0.9993882778854433,0.00046201391931045843,0.00010330945301292877,0.9991857913575379,0.9995907644133486,20,0.9993131920504851,0.0006500397613386461,0.00014535330944309523,0.9990282995639767,0.9995980845369935,20,0.9974214278142481,0.0016778433242098504,0.0003751771728527444,0.9966860805554567,0.9981567750730396,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,20,0.9999924692130385,7.85168335923653e-07,1.7556897729056782e-07,0.9999921250978431,0.999992813328234,20,0.9999999999695113,0.0,0.0,0.9999999999695113,0.9999999999695113,20,1.0,0.0,0.0,1.0,1.0,20,0.9999924692130385,7.85168335923653e-07,1.7556897729056782e-07,0.9999921250978431,0.999992813328234,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0
N192_M96,additive,lambda_pSA,0.95,2.0,19200,20276870,20,0.00703125,0.03144470593359079,0.007031249999999999,-0.006749999999999998,0.020812499999999998,20,0.05,0.22360679774997896,0.049999999999999996,-0.04799999999999999,0.148,20,0.05,0.22360679774997896,0.049999999999999996,-0.04799999999999999,0.148,20,0.008854166666666666,0.03959703710155878,0.008854166666666666,-0.0085,0.026208333333333333,20,0.6,2.6832815729997477,0.6,-0.576,1.7759999999999998,20,1.0919296875,2.0666507310392177,0.4621171520353325,0.18618006951074828,1.9976793054892517,20,0.8628541666666667,0.23183565314263851,0.051840028003500245,0.7612477117798062,0.9644606215535272,20,0.0016969943576388888,0.0031871862705334015,0.000712676515786672,0.00030014838669701173,0.003093840328580766,20,0.0009153623419750178,0.0018846911535579647,0.0004214297535948103,8.93600249291896e-05,0.0017413646590208462,20,0.09837252881318076,0.0455196927301387,0.010178512725949312,0.07842264387032011,0.11832241375604141,20,0.9884515216732478,0.02121287558404605,0.004743343180417252,0.9791545690396299,0.9977484743068656,20,0.9965709383568265,0.006890013296458265,0.001540653809675809,0.9935512568898619,0.9995906198237912,20,0.9959572127177424,0.007711884421412498,0.001724429780089998,0.992577330348766,0.9993370950867188,20,0.9884515216732478,0.02121287558404605,0.004743343180417252,0.9791545690396299,0.9977484743068656,20,0.5544791666666666,2.479706217548204,0.5544791666666666,-0.5323,1.6412583333333333,20,0.005775824652777778,0.025830273099460465,0.005775824652777779,-0.0055447916666666675,0.017096440972222224,20,0.95,0.22360679774997888,0.049999999999999975,0.852,1.0479999999999998,20,0.00796701388888889,0.035629569266481025,0.007967013888888888,-0.00764833333333333,0.02358236111111111,20,0.0008932291666666666,0.0039946422723043115,0.0008932291666666665,-0.0008574999999999996,0.002643958333333333,20,0.0005313299447308436,0.0023761797497987448,0.0005313299447308436,-0.0005100767469416098,0.001572736636403297,1,0.05605191833621617,nan,nan,nan,nan,20,0.994171716552547,0.02602424245525614,0.005819197519288876,0.9827660894147408,1.0055773436903532,20,0.9980331940313478,0.008795823519089344,0.0019668059306775193,0.9941782544072199,1.0018881336554757,20,0.9979220377604167,0.009292929644775244,0.002077962239584042,0.993849231770832,1.0019948437500015,20,0.994171716552547,0.02602424245525614,0.005819197519288876,0.9827660894147408,1.0055773436903532,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0
N192_M96,additive,lambda_pSA,0.95,2.5,19200,20276870,20,0.0075520833333333325,0.03377394341015307,0.0075520833333333325,-0.0072499999999999995,0.022354166666666665,20,0.05,0.22360679774997896,0.049999999999999996,-0.04799999999999999,0.148,20,0.05,0.22360679774997896,0.049999999999999996,-0.04799999999999999,0.148,20,0.010416666666666668,0.046584749531245626,0.010416666666666668,-0.010000000000000002,0.030833333333333338,20,0.4,1.7888543819998317,0.39999999999999997,-0.3839999999999999,1.184,20,0.8037630208333333,1.768082232422732,0.39535520615068115,0.028866816777998294,1.5786592248886682,20,0.90053125,0.22498370217431415,0.050307885189133365,0.8019277950292987,0.9991347049707013,20,0.0012367892795138889,0.002551049635132954,0.000570432039813332,0.000118742481479758,0.00235483607754802,20,0.0006548240424307407,0.0014687098958254213,0.0003284135166292277,1.1133549837454406e-05,0.001298514535024027,20,0.09438015609080243,0.032485174563074745,0.0072639058583982155,0.08014290060834192,0.10861741157326293,20,0.991577344000758,0.01705265670921445,0.0038130899598771374,0.9841036876793988,0.9990510003221172,20,0.997603490944654,0.005273315529832003,0.0011791491991509678,0.9952923585143181,0.9999146233749898,20,0.9971694950526453,0.006267250063322189,0.0014013997173578274,0.994422751606624,0.9999162384986666,20,0.991577344000758,0.01705265670921445,0.0038130899598771374,0.9841036876793988,0.9990510003221172,20,0.33798958333333334,1.5115353680403265,0.3379895833333333,-0.32446999999999987,1.0004491666666666,20,0.0035207248263888886,0.0157451600837534,0.0035207248263888886,-0.0033798958333333333,0.01042134548611111,20,0.95,0.22360679774997888,0.049999999999999975,0.852,1.0479999999999998,20,0.007458821614583333,0.03335686432450614,0.007458821614583332,-0.0071604687499999976,0.022078111979166662,20,0.0004899631076388888,0.002191181630295204,0.0004899631076388888,-0.00047036458333333327,0.001450290798611111,20,0.0002884703673852495,0.0012900787019355122,0.0002884703673852495,-0.00027693155268983954,0.0008538722874603385,1,0.03278676598964093,nan,nan,nan,nan,20,0.9967344536570426,0.01456697262022826,0.0032572741005208617,0.9903501964200218,1.0031187108940636,20,0.9990036046578055,0.004456015283071324,0.0009963953081725447,0.9970506698537873,1.0009565394618236,20,0.9988137478298611,0.005305080981772699,0.0011862521701385077,0.9964886935763896,1.0011388020833325,20,0.9967344536570426,0.01456697262022826,0.0032572741005208617,0.9903501964200218,1.0031187108940636,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0
N192_M96,additive,lambda_pSA,0.95,3.0,19200,20276870,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.3274244791666666,0.5487521752015309,0.12270471665514973,0.08692323452257314,0.5679257238107601,20,0.9517135416666667,0.09831480201792765,0.02198385805065197,0.9086251798873888,0.9948019034459445,20,0.0004899902343749999,0.0005917333699887435,0.00013231560398498644,0.0002306516505644265,0.0007493288181855734,20,0.0002356040128863375,0.0003077158528177027,6.880735646547033e-05,0.00010074159421401564,0.0003704664315586593,20,0.12329647213356296,0.05065602598564951,0.011327031757390808,0.10109548988907698,0.14549745437804895,20,0.9965884890271075,0.00412806471246613,0.000923063331259239,0.9947792848978394,0.9983976931563756,20,0.9991525815441905,0.0011484104459795852,0.0002567923823281202,0.9986492684748274,0.9996558946135536,20,0.99900053874593,0.001546853653544188,0.0003458869920568712,0.9983226002414985,0.9996784772503614,20,0.9965884890271075,0.00412806471246613,0.000923063331259239,0.9947792848978394,0.9983976931563756,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,20,0.9999927040251059,8.613687967867858e-07,1.9260791833124554e-07,0.9999923265135859,0.9999930815366258,20,0.9999999999696575,2.3684484190911837e-08,5.296011666289797e-09,0.9999999895894747,1.0000000103498403,20,1.0,0.0,0.0,1.0,1.0,20,0.9999927040251059,8.613687967867858e-07,1.9260791833124554e-07,0.9999923265135859,0.9999930815366258,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0
N192_M96,additive,lambda_pSA,0.95,2.0,19200,20284892,20,0.01875,0.05476641653529066,0.01224614302569784,-0.0052524403303677684,0.042752440330367764,20,0.15,0.36634754853252327,0.08191780219091253,-0.010558892294188577,0.31055889229418854,20,0.3,0.7326950970650465,0.16383560438182507,-0.021117784588377153,0.6211177845883771,20,0.02265625,0.05574504815517787,0.012464971708397695,-0.0017750945484594806,0.04708759454845948,20,1.15,3.1834274809261465,0.7118360248791779,-0.24519860876318855,2.5451986087631884,20,2.343578125,3.312295649328655,0.7406518233475679,0.8919005512387672,3.795255698761233,20,0.7356848958333334,0.3584857336355888,0.08015984693730593,0.5785715958362138,0.8927981958304531,20,0.00361191134982639,0.005072725677332812,0.0011342959445724832,0.0013886912984643228,0.005835131401188457,20,0.0020499517754678466,0.003070237517423599,0.0006865259796029362,0.0007043608554460916,0.0033955426954896013,20,0.07305968891173166,0.032535622230870004,0.007275186299847868,0.05880032376402984,0.08731905405943348,20,0.9758016532056525,0.03358730523367283,0.00751034976835269,0.9610813676596812,0.9905219387516238,20,0.992488012975363,0.010963685713111527,0.002451554653846063,0.9876829658538248,0.9972930600969013,20,0.9914332427623986,0.012093689996711086,0.0027042312931455197,0.9861329494278335,0.9967335360969638,20,0.9758016532056525,0.03358730523367283,0.00751034976835269,0.9610813676596812,0.9905219387516238,20,1.6005104166666668,3.9523488142914407,0.8837720619546353,-0.1316828247644184,3.332703658097752,20,0.016671983506944446,0.041170300148869174,0.009205958978694117,-0.001371696091296025,0.03471566310518492,20,0.85,0.36634754853252327,0.08191780219091253,0.6894411077058114,1.0105588922941886,20,0.024163465711805554,0.060270960125611756,0.013476996391004714,-0.0022514472145636864,0.0505783786381748,20,0.0025510525173611113,0.006356716059411858,0.0014214049222509505,-0.00023490113025075162,0.0053370061649729746,20,0.0015322537139287953,0.0038445268117972427,0.0008596623292499174,-0.00015268445140104278,0.0032171918792586332,3,0.052847225207369126,0.00060934373073277,0.0003518047669675756,0.05215768786411268,0.053536762550625575,20,0.9835557710696545,0.04097789117505993,0.009162935024202273,0.9655964184222181,1.001515123717091,20,0.9944780852940621,0.01384250402901253,0.0030952779987686737,0.9884113404164755,1.0005448301716486,20,0.9942303602430556,0.014295339253240119,0.0031965350331665983,0.987965151578049,1.0004955689080621,20,0.9835557710696545,0.04097789117505993,0.009162935024202273,0.9655964184222181,1.001515123717091,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0
