size,EbNo_dB,control,reference,metric,contrast_definition,mean_difference,seed_batch_sd,seed_batch_sem,ci95_low,ci95_high,n_seed_batches,n_paired_trajectories
N192_M96,2.0,gain_only,additive,decoded_BER,control_minus_additive,0.479375,0.01241580440704805,0.003926222090942816,0.4704938856302873,0.48825611436971267,10,200
N192_M96,2.0,gain_only,additive,decoded_FER,control_minus_additive,0.8699999999999999,0.06324555320336757,0.019999999999999993,0.8247599999999999,0.9152399999999998,10,200
N192_M96,2.0,gain_only,additive,late_backflip_rate,control_minus_additive,-0.001117550687788538,0.000611603647329575,0.0001934060550827815,-0.0015550351843857898,-0.0006800661911912863,10,200
N192_M96,2.0,gain_only,additive,late_bit_flip_rate,control_minus_additive,-0.001891514756944444,0.0010379227371101697,0.0003282199884544307,-0.002633948370828366,-0.0011490811430605217,10,200
N192_M96,2.0,gain_only,additive,late_q_lag1_cosine,control_minus_additive,0.004172355194658964,0.0022879268946212937,0.000723506010695933,0.002535784598464764,0.005808925790853165,10,200
N192_M96,2.0,gain_only,additive,late_q_lag1_product,control_minus_additive,0.012327695887709284,0.006763023291370686,0.002138655746949994,0.007490056588108397,0.01716533518731017,10,200
N192_M96,2.0,gain_only,additive,late_q_sign_persistence,control_minus_additive,0.004465109592013889,0.0024774898885671893,0.000783451092790907,0.002692943220120858,0.006237275963906921,10,200
N192_M96,2.0,gain_only,additive,late_repair_rate,control_minus_additive,-0.0473976133619871,0.012171631238352585,0.004057210412784195,-0.05675354057386745,-0.038041686150106745,9,29
N192_M96,2.0,gain_only,additive,late_state_BER,control_minus_additive,0.4765089192708333,0.012680521582590839,0.004009933011990999,0.4674384507977096,0.4855793877439569,10,200
N192_M96,2.0,gain_only,additive,late_syndrome_weight_fraction,control_minus_additive,-0.012381380208333334,0.006829193695898881,0.0021595806661503757,-0.017266351675165485,-0.007496408741501185,10,200
N192_M96,2.0,gain_only,additive,late_syndrome_zero_fraction,control_minus_additive,0.11823229166666667,0.07029057409336892,0.022227831217587077,0.06795293745248471,0.16851164588084863,10,200
N192_M96,2.0,normalized,additive,decoded_BER,control_minus_additive,0.3132552083333333,0.011741201486871935,0.0037128939165470875,0.3048566422941038,0.3216537743725628,10,200
N192_M96,2.0,normalized,additive,decoded_FER,control_minus_additive,0.8699999999999999,0.06324555320336757,0.019999999999999993,0.8247599999999999,0.9152399999999998,10,200
N192_M96,2.0,normalized,additive,late_backflip_rate,control_minus_additive,0.1423602377095202,0.0005082093132159659,0.00016070989578723636,0.14199671192524946,0.14272376349379093,10,200
N192_M96,2.0,normalized,additive,late_bit_flip_rate,control_minus_additive,0.18435335286458335,0.0009089258558761863,0.0002874275928786688,0.1837031916494918,0.18500351407967489,10,200
N192_M96,2.0,normalized,additive,late_q_lag1_cosine,control_minus_additive,-0.3841941668022315,0.0018670198043820457,0.0005904035018489281,-0.3855296595234138,-0.38285867408104923,10,200
N192_M96,2.0,normalized,additive,late_q_lag1_product,control_minus_additive,-0.5944695133867272,0.006209739896721593,0.0019636921750858993,-0.5989113850867714,-0.5900276416866829,10,200
N192_M96,2.0,normalized,additive,late_q_sign_persistence,control_minus_additive,-0.1543404296875,0.002115467455448376,0.0006689695475177645,-0.15585363880398517,-0.15282722057101483,10,200
N192_M96,2.0,normalized,additive,late_repair_rate,control_minus_additive,0.21118642415436018,0.01168459928405498,0.0038948664280183264,0.20220486217134992,0.22016798613737043,9,29
N192_M96,2.0,normalized,additive,late_state_BER,control_minus_additive,0.3300720703124999,0.009603219250061414,0.0030368045700168143,0.3232028183751219,0.33694132224987794,10,200
N192_M96,2.0,normalized,additive,late_syndrome_weight_fraction,control_minus_additive,0.449012109375,0.006707394462123747,0.0021210643665511026,0.44421426177786144,0.4538099569721386,10,200
N192_M96,2.0,normalized,additive,late_syndrome_zero_fraction,control_minus_additive,-0.8817677083333333,0.0702905740933689,0.02222783121758707,-0.9320470625475152,-0.8314883541191513,10,200
N192_M96,2.0,pSA,additive,decoded_BER,control_minus_additive,0.2852864583333334,0.012306964595542697,0.0038918039204967844,0.27648319786516967,0.2940897188014971,10,200
N192_M96,2.0,pSA,additive,decoded_FER,control_minus_additive,0.8699999999999999,0.06324555320336757,0.019999999999999993,0.8247599999999999,0.9152399999999998,10,200
N192_M96,2.0,pSA,additive,late_backflip_rate,control_minus_additive,0.14992184529789473,0.000873378401759028,0.00027618650087561376,0.1492971114329141,0.15054657916287537,10,200
N192_M96,2.0,pSA,additive,late_bit_flip_rate,control_minus_additive,0.19728312717013888,0.0009840695489778738,0.0003111901150784703,0.19657921512983137,0.19798703921044639,10,200
N192_M96,2.0,pSA,additive,late_q_lag1_cosine,control_minus_additive,-0.3432138243433332,0.0022119844646455917,0.0006994909057188266,-0.3447960727720692,-0.3416315759145972,10,200
N192_M96,2.0,pSA,additive,late_q_lag1_product,control_minus_additive,-0.5589370607304371,0.006172700477158288,0.001951979282182835,-0.5633524378667347,-0.5545216835941396,10,200
N192_M96,2.0,pSA,additive,late_q_sign_persistence,control_minus_additive,-0.14541725260416666,0.0021289180650756723,0.000673223003751769,-0.14694008303865316,-0.14389442216968015,10,200
N192_M96,2.0,pSA,additive,late_repair_rate,control_minus_additive,0.2380785405386893,0.01137899933049508,0.003792999776831693,0.22933188305331542,0.24682519802406316,9,29
N192_M96,2.0,pSA,additive,late_state_BER,control_minus_additive,0.31967307942708334,0.009589507576069639,0.0030324685579820442,0.31281363554892794,0.32653252330523874,10,200
N192_M96,2.0,pSA,additive,late_syndrome_weight_fraction,control_minus_additive,0.42427115885416666,0.0065451991870362335,0.002069773717051692,0.41958933070619575,0.4289529870021376,10,200
N192_M96,2.0,pSA,additive,late_syndrome_zero_fraction,control_minus_additive,-0.8817677083333333,0.0702905740933689,0.02222783121758707,-0.9320470625475152,-0.8314883541191513,10,200
N192_M96,2.0,shuffled,additive,decoded_BER,control_minus_additive,0.37388020833333335,0.010449925204355314,0.0033045565024163296,0.3664053015248676,0.3813551151417991,10,200
N192_M96,2.0,shuffled,additive,decoded_FER,control_minus_additive,0.8699999999999999,0.06324555320336757,0.019999999999999993,0.8247599999999999,0.9152399999999998,10,200
N192_M96,2.0,shuffled,additive,late_backflip_rate,control_minus_additive,0.20568582458031487,0.0005270933896487068,0.00016668156509085325,0.20530879088007936,0.20606285828055038,10,200
N192_M96,2.0,shuffled,additive,late_bit_flip_rate,control_minus_additive,0.24446002061631944,0.0009936233176114524,0.0003142112819905086,0.2437492746964569,0.24517076653618197,10,200
N192_M96,2.0,shuffled,additive,late_q_lag1_cosine,control_minus_additive,-0.4194684109618672,0.001994602798244486,0.0006307487869797874,-0.42089516471801547,-0.41804165720571895,10,200
N192_M96,2.0,shuffled,additive,late_q_lag1_product,control_minus_additive,-0.6238347279864649,0.006520012021812807,0.0020618088360607905,-0.6284985395736344,-0.6191709163992953,10,200
N192_M96,2.0,shuffled,additive,late_q_sign_persistence,control_minus_additive,-0.1631910373263889,0.002165774068675174,0.0006848778954343481,-0.1647402311258614,-0.1616418435269164,10,200
N192_M96,2.0,shuffled,additive,late_repair_rate,control_minus_additive,0.2524303112932091,0.011936777833423924,0.003978925944474641,0.24325490806525057,0.2616057145211676,9,29
N192_M96,2.0,shuffled,additive,late_state_BER,control_minus_additive,0.38360174696180555,0.010235211479804794,0.003236658060968564,0.37628042642789467,0.3909230674957164,10,200
N192_M96,2.0,shuffled,additive,late_syndrome_weight_fraction,control_minus_additive,0.47051679687500003,0.006858316824776069,0.0021687902081346296,0.4656109934241995,0.4754226003258006,10,200
N192_M96,2.0,shuffled,additive,late_syndrome_zero_fraction,control_minus_additive,-0.8817677083333333,0.0702905740933689,0.02222783121758707,-0.9320470625475152,-0.8314883541191513,10,200
N192_M96,2.5,gain_only,additive,decoded_BER,control_minus_additive,0.4899739583333334,0.010477434151476896,0.0033132555953100627,0.482479374176742,0.4974685424899248,10,200
N192_M96,2.5,gain_only,additive,decoded_FER,control_minus_additive,0.9349999999999999,0.05797509043642028,0.01833333333333333,0.8935299999999999,0.97647,10,200
