size,variant,implementation_mode,lambda_mem,seed,EbNo_dB,trial_index,n_cycles,decoded_BER,decoded_FER,decoded_syndrome_weight,final_state_BER,final_syndrome_weight,mean_syndrome_weight,syndrome_zero_fraction,mean_bit_flip_rate,mean_backflip_rate,mean_repair_rate,mean_q_lag1_product,mean_q_lag1_cosine,mean_q_sign_persistence,mean_q_used_source_product,late_syndrome_weight,late_syndrome_weight_fraction,late_syndrome_zero_fraction,late_state_BER,late_bit_flip_rate,late_backflip_rate,late_repair_rate,late_q_lag1_product,late_q_lag1_cosine,late_q_sign_persistence,late_q_used_source_product,max_abs_memory_source_mean_delta,max_abs_memory_source_second_moment_delta
N96_M48,pSA,pSA,0.0,20260826,2.0,0,25600,0.0,0,0,0.0,0,10.9638671875,0.17625000000000002,0.045267740885416664,0.028680032455892845,0.10723183851058542,0.7186927530986025,0.9546101345739285,0.9661774939870829,nan,3.14234375,0.06546549479166666,0.7050000000000001,0.054689127604166665,0.010037434895833334,0.005291178384856175,0.09202308012610791,0.9453760690016559,0.9882231696418134,0.9912955729166667,nan,0.0,0.0
N96_M48,pSA,pSA,0.0,20260826,2.0,1,25600,0.0,0,0,0.0,0,8.3512890625,0.41656249999999995,0.036472981770833336,0.02158728567759395,0.11725510398878652,0.7665766893739565,0.9694040916649649,0.974104083409977,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999966698986,1.0000000000000002,1.0,nan,0.0,0.0
N96_M48,pSA,pSA,0.0,20260826,2.0,2,25600,0.1875,1,0,0.1875,0,8.40765625,0.3762109375,0.03638427734375,0.023739619426782037,0.0778069302451823,0.7672891316342141,0.9693407004579705,0.9737595293644622,nan,0.0,0.0,1.0,0.1875,0.0,0.0,0.0,0.9999999959656657,1.0,1.0,nan,0.0,0.0
N96_M48,pSA,pSA,0.0,20260826,2.0,3,25600,0.125,1,18,0.21875,13,14.37515625,0.0,0.060517985026041665,0.042604945183085004,0.10439806464381614,0.6439788852186239,0.9246692209866648,0.9507439100869723,nan,13.050625,0.27188802083333335,0.0,0.249228515625,0.04744140625,0.0315869801806333,0.09519767001449711,0.7559160449670509,0.9316770899254572,0.9574983723958334,nan,0.0,0.0
N96_M48,pSA,pSA,0.0,20260826,2.0,4,25600,0.0,0,0,0.0,0,6.203828125,0.6160546874999999,0.02984130859375,0.016920627679703464,0.1257479899376932,0.8040600478463713,0.9788153034239584,0.979051233643696,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999964773383,0.9999999999999994,1.0,nan,0.0,0.0
N96_M48,pSA,pSA,0.0,20260826,2.0,5,25600,0.20833333333333334,1,0,0.20833333333333334,0,8.75234375,0.39691406250000005,0.03857747395833333,0.025853424883225878,0.07592054744513861,0.7557289468671216,0.9655391973183771,0.9713173095627416,nan,0.0,0.0,1.0,0.20833333333333334,0.0,0.0,0.0,0.9999999943349218,1.0000000000000007,1.0,nan,0.0,0.0
N96_M48,pSA,pSA,0.0,20260826,2.0,6,25600,0.125,1,0,0.125,0,7.892890625,0.44820312500000004,0.034952799479166664,0.022252549042372775,0.081338689403462,0.7743686333423435,0.9713063160126009,0.9749563125247739,nan,0.0,0.0,1.0,0.125,0.0,0.0,0.0,0.9999999959692705,1.0,1.0,nan,0.0,0.0
N96_M48,pSA,pSA,0.0,20260826,2.0,7,25600,0.13541666666666666,1,19,0.2708333333333333,12,13.653046875,0.0,0.05556477864583333,0.03810346675239779,0.10254192494353948,0.6643561129486363,0.935081488651982,0.9567938162118519,nan,12.3225,0.25671875,0.0,0.23155598958333334,0.0417724609375,0.02718090029716203,0.09019660216353757,0.7771420081144222,0.9423440594878505,0.96423828125,nan,0.0,0.0
N96_M48,pSA,pSA,0.0,20260826,2.0,8,25600,0.08333333333333333,1,14,0.25,10,13.8632421875,0.0,0.056908365885416666,0.03838132760516479,0.10997721551232076,0.6589635569755384,0.9319775047424878,0.9546832306832046,nan,12.266875,0.25555989583333333,0.0,0.21245442708333334,0.042872721354166664,0.027218223189430152,0.1009016876958317,0.7773818472804468,0.9403949475835477,0.9622005208333333,nan,0.0,0.0
N96_M48,pSA,pSA,0.0,20260826,2.0,9,25600,0.16666666666666666,1,20,0.3020833333333333,13,14.802578125,0.0,0.06360555013020833,0.045757014555191045,0.10426751430930509,0.6287711665931294,0.9176637958578392,0.9471717708994228,nan,13.7484375,0.28642578125,0.0,0.26439778645833334,0.0514404296875,0.03497204404804839,0.09726112571488374,0.7344610569767736,0.9238099472649943,0.9535774739583334,nan,0.0,0.0
