size,code_id,variant,EbNo_dB,n_trajectories,correct_codeword_acquisition_rate,relaxed_basin_acquisition_rate,median_first_correct_cycle,pooled_correct_residence_fraction,pooled_correct_escape_probability_per_cycle,pooled_correct_return_probability,pooled_correct_mean_return_time_cycles,mean_late_backflip_rate,trajectories_reaching_correct
N192_M96,C00,additive,2.5,50,0.98,1.0,323.0,0.9999898686641158,7.880442430553601e-06,1.0,1.2857142857142858,0.0,49
N192_M96,C00,pSA,2.5,50,0.0,0.0,nan,nan,nan,nan,nan,0.14390377845301225,0
N192_M96,C01,additive,2.5,50,0.98,1.0,509.0,0.9999886331860952,9.094061009781799e-06,1.0,1.25,0.0,49
N192_M96,C01,pSA,2.5,50,0.0,0.0,nan,nan,nan,nan,nan,0.1441076684646859,0
N192_M96,C02,additive,2.5,50,0.96,0.98,616.0,0.9999879687090184,4.812852240623361e-06,1.0,2.5,0.00016114397419195552,48
N192_M96,C02,pSA,2.5,50,0.0,0.0,nan,nan,nan,nan,nan,0.14518586978985837,0
N288_M144,C00,additive,2.5,50,0.92,0.96,566.5,0.9999954179683455,2.7493474881961347e-06,1.0,1.6666666666666667,0.0002751237715717496,46
N288_M144,C00,pSA,2.5,50,0.0,0.0,nan,nan,nan,nan,nan,0.17551871463664478,0
N288_M144,C01,additive,2.5,50,0.92,0.96,398.0,0.9999991161650756,8.838716406248619e-07,1.0,1.0,0.0002457203315240883,46
N288_M144,C01,pSA,2.5,50,0.0,0.0,nan,nan,nan,nan,nan,0.175908259596459,0
N288_M144,C02,additive,2.5,50,0.98,1.0,626.0,0.999996545500082,3.454658044991739e-06,1.0,1.0,6.22157915234641e-05,49
N288_M144,C02,pSA,2.5,50,0.0,0.0,nan,nan,nan,nan,nan,0.1755715085834978,0
N96_M48,C00,additive,2.5,50,0.8,0.92,4629.5,0.9154283446367913,0.0005623694499491189,0.9954648526077098,69.08656036446469,0.0010827338946824974,40
N96_M48,C00,pSA,2.5,50,0.68,0.84,6975.0,0.914952751528627,0.0002854847476113528,0.9935897435897436,205.1032258064516,0.00510750311846137,34
N96_M48,C01,additive,2.5,50,0.84,0.92,4523.5,0.9607838624547376,0.000488232791220023,1.0,83.60514018691589,0.0007427212234673942,42
N96_M48,C01,pSA,2.5,50,0.7,0.78,7594.0,0.9000597943075819,0.00023348209116431636,0.991869918699187,348.5081967213115,0.006891756637977765,35
N96_M48,C02,additive,2.5,50,0.92,0.96,4639.5,0.9667562083815621,0.0007089444258572149,1.0,48.50682852807284,0.00011135441967285564,46
N96_M48,C02,pSA,2.5,50,0.76,0.88,7109.5,0.9241461970207024,0.00028898393249335335,0.9941176470588236,169.62130177514794,0.00440959197228096,38
