problem,size,mode,n_rows,BER,FER,syndrome_violation,BER_ratio_to_BP,FER_ratio_to_BP,best_cut,normalized_cut,mean_normalized_cut,approximation_ratio,best_unsat,mean_unsat,mean_unsat_rate,best_unsat_rate,std_unsat,valid_assignment_rate,success_rate,score,memory_coefficient,improvement_over_pSA,mean_normalized_cut_improvement_over_pSA,success_rate_delta_over_pSA,score_delta_over_pSA,memory_improves_performance,best_mode,best_memory_coefficient,tau_best_response_lambda_nonzero
maxcut,N1000_ERp0p01,lambda_pSA,1,,,,,,3709.0,0.7318279614045592,0.7298726190123032,0.9998921658489244,,,,,,,0.068,-0.7305526190123032,0.06,0.0011635514231556157,0.0011635514231556157,0.044000000000000004,0.0012882573335464276,True,tau_pSA,0.0,False
maxcut,N1000_ERp0p01,pSA,1,,,,,,3708.4,0.7317090871936951,0.7290243616787567,0.9997304146223109,,,,,,,0.024,-0.7292643616787567,0.0,0.0,0.0,0.0,0.0,False,tau_pSA,0.0,False
maxcut,N1000_ERp0p01,tau_pSA,1,,,,,,3709.4,0.731907242906032,0.7303634830116328,1.0,,,,,,,0.076,-0.7311234830116328,0.0,0.0018368677416930274,0.0018368677416930274,0.052,0.0018591213328760237,True,tau_pSA,0.0,False
maxcut,N1000_ERp0p02,lambda_pSA,1,,,,,,6707.6,0.665085061373371,0.663976675504262,0.9998807465267427,,,,,,,0.052000000000000005,-0.664496675504262,0.9,0.0009595334382511791,0.0009595334382511791,0.020000000000000004,0.0008364970821315154,True,tau_pSA,0.12,True
maxcut,N1000_ERp0p02,pSA,1,,,,,,6702.2,0.6645494698376597,0.6633401784221304,0.9990757855822551,,,,,,,0.032,-0.6636601784221304,0.0,0.0,0.0,0.0,0.0,False,tau_pSA,0.12,True
maxcut,N1000_ERp0p02,tau_pSA,1,,,,,,6708.4,0.6651639289728605,0.6642462335331469,1.0,,,,,,,0.052000000000000005,-0.6647662335331469,0.12,0.001365898132646962,0.001365898132646962,0.020000000000000004,0.0011060551110164685,True,tau_pSA,0.12,True
maxcut,N500_ERp0p06,lambda_pSA,1,,,,,,4704.2,0.6337706941002899,0.632686948911031,1.0,,,,,,,0.09000000000000001,-0.6335869489110311,0.54,-0.0001313587987805157,-0.0001313587987805157,0.04300000000000001,0.0003468800838546393,True,tau_pSA,0.22,True
maxcut,N500_ERp0p06,pSA,1,,,,,,4704.0,0.6337435760301423,0.6327700688271765,0.9999574848008164,,,,,,,0.047,-0.6332400688271764,0.0,0.0,0.0,0.0,0.0,False,tau_pSA,0.22,True
maxcut,N500_ERp0p06,tau_pSA,1,,,,,,4704.2,0.6337706941002899,0.6329608288068134,1.0,,,,,,,0.12200000000000003,-0.6341808288068134,0.22,0.00030146808301233463,0.00030146808301233463,0.07500000000000002,0.0009407599796369404,True,tau_pSA,0.22,True
maxcut,N500_ERp0p08,lambda_pSA,1,,,,,,6107.1,0.614995848900349,0.6142468546967852,0.9998853924489997,,,,,,,0.157,-0.6158168546967852,0.57,0.0007931905333223493,0.0007931905333223493,0.10099999999999999,0.0014968286423979738,True,lambda_pSA,0.57,
maxcut,N500_ERp0p08,pSA,1,,,,,,6107.8,0.6150661956653838,0.6137600260543872,1.0,,,,,,,0.05600000000000001,-0.6143200260543872,0.0,0.0,0.0,0.0,0.0,False,lambda_pSA,0.57,
maxcut,N500_ERp0p08,tau_pSA,1,,,,,,6105.9,0.614874952436739,0.613630232122777,0.9996889223615704,,,,,,,0.054000000000000006,-0.614170232122777,0.57,-0.0002114734197411964,-0.0002114734197411964,-0.0020000000000000018,-0.00014979393161018706,False,lambda_pSA,0.57,
