size,nonmemory_parameter_source,variant,implementation_mode,lambda_mem,seed,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N192_M96,additive_optimized,pSA,pSA,0.0,20260826,2.0,0.30105208333333333,1.0,1.0,21.368,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20260826,2.5,0.2830885416666667,1.0,1.0,20.689,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20260826,3.0,0.26052604166666665,1.0,1.0,19.581,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20268848,2.0,0.3024791666666667,1.0,1.0,21.374,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20268848,2.5,0.28284895833333334,1.0,1.0,20.699,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20268848,3.0,0.258859375,1.0,1.0,19.529,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20276870,2.0,0.30263541666666666,1.0,1.0,21.402,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20276870,2.5,0.2849947916666667,1.0,1.0,20.713,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20276870,3.0,0.26015625,1.0,1.0,19.574,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20284892,2.0,0.30247395833333335,1.0,1.0,21.455,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20284892,2.5,0.2841458333333333,1.0,1.0,20.598,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20284892,3.0,0.2576354166666667,1.0,1.0,19.59,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20292914,2.0,0.30347395833333335,1.0,1.0,21.449,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20292914,2.5,0.28367708333333336,1.0,1.0,20.694,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20292914,3.0,0.25876041666666666,1.0,1.0,19.624,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20300936,2.0,0.303296875,1.0,1.0,21.469,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20300936,2.5,0.2831197916666667,1.0,1.0,20.689,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20300936,3.0,0.2598697916666667,1.0,1.0,19.411,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20308958,2.0,0.30233333333333334,1.0,1.0,21.514,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,pSA,pSA,0.0,20308958,2.5,0.2826666666666667,1.0,1.0,20.656,0.004305208333333334,0.0544,1000,192000
