stage,alpha,formula_index,formula_generation_seed,formula_sha256,is_satisfiable,n_variables,n_clauses,kw,rho,n_trials,n_cycles,mean_selected_unsat,mean_selected_unsat_rate,mean_best_unsat,mean_best_unsat_rate,mean_final_unsat,mean_final_unsat_rate,best_trial_unsat,best_trial_unsat_rate,success_rate_sat,mean_convergence_cycle,mean_first_hit_cycle_successful,formula_objective
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,500,600,4.0,0.0,100,3000,0.17,0.00028333333333333335,0.17,0.00028333333333333335,0.89,0.0014833333333333332,0,0.0,0.83,1135.69,1274.0361445783133,-0.08233810333333334
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,500,600,4.0,0.0,100,3000,2.36,0.003933333333333333,2.36,0.003933333333333333,7.72,0.012866666666666667,2,0.0033333333333333335,,982.62,,0.005094206666666667
A,1.2,2,5706,833410b8e4a70b136dda7b89f3f0aac79596e6f8fdb43f851ddeb4fce8d5ee6f,False,500,600,4.0,0.0,100,3000,2.21,0.003683333333333333,2.21,0.003683333333333333,7.5,0.0125,2,0.0033333333333333335,,707.93,,0.004752643333333333
A,1.2,3,7709,ff45cf07b0db6431caf1ac127754bb58f3cd66d97b63a98b11d73e129bfdc154,False,500,600,4.0,0.0,100,3000,2.01,0.0033499999999999997,2.01,0.0033499999999999997,7.66,0.012766666666666667,1,0.0016666666666666668,,1012.93,,0.00410431
A,1.2,4,9712,1136a3e30b479506765af8d183d1e027ee45abfa48525e78d8cbcc4b7c7337d5,False,500,600,4.0,0.0,100,3000,2.18,0.0036333333333333335,2.18,0.0036333333333333335,7.53,0.01255,1,0.0016666666666666668,,974.91,,0.00437497
A,1.2,5,11715,14543b9f6b7ade3455cd172c107f42b6368fbcdbbd1c821c6a6741731dc999bb,True,500,600,4.0,0.0,100,3000,0.69,0.00115,0.69,0.00115,3.83,0.006383333333333334,0,0.0,0.31,705.36,1074.4516129032259,-0.029614880000000003
A,1.2,6,13718,46636fa878f018a3a4254af5ba92a0a1ab3155960a91c43744de2d8c78df03f5,True,500,600,4.0,0.0,100,3000,0.32,0.0005333333333333334,0.32,0.0005333333333333334,1.82,0.0030333333333333336,0,0.0,0.68,1063.16,1327.8676470588234,-0.06711228000000001
A,1.2,7,15721,68250a298d025f889db3dcc95f417ef7bcef2a6a7e93deec39af39648ec359b0,False,500,600,4.0,0.0,100,3000,3.8,0.006333333333333333,3.8,0.006333333333333333,8.31,0.013850000000000001,3,0.005,,719.89,,0.007823296666666667
A,1.2,8,17724,049ae08fa4cba4b924929611ad2e498a9ee291c356920097338b16d4526a6dd9,True,500,600,4.0,0.0,100,3000,0.43,0.0007166666666666667,0.43,0.0007166666666666667,2.66,0.004433333333333333,0,0.0,0.57,1112.96,1331.8947368421052,-0.05591234666666666
A,1.2,9,19727,d5f82f16d0b7213e8e2f02ed43ca07d06f3892cbff83b3d81592596852252bbf,False,500,600,4.0,0.0,100,3000,1.46,0.0024333333333333334,1.46,0.0024333333333333334,6.64,0.011066666666666666,1,0.0016666666666666668,,1194.08,,0.0032480266666666665
A,1.2,10,21730,d344cd79ba6f51e737dbe5ff4b556389b928e7085bd5ee9ae9ddc3334372a7f3,False,500,600,4.0,0.0,100,3000,3.13,0.005216666666666666,3.13,0.005216666666666666,8.06,0.013433333333333334,2,0.0033333333333333335,,861.71,,0.006337236666666667
A,1.2,11,23733,3bba770c518f7e188e93ed9f84338f94582857feeee5deb1b08f45b4d3494325,False,500,600,4.0,0.0,100,3000,1.0,0.0016666666666666668,1.0,0.0016666666666666668,6.02,0.010033333333333333,1,0.0016666666666666668,,541.72,,0.0022639066666666667
A,1.2,12,25736,ed09258602005c277e7faaabf77244f736681e8e94cfc2b99dfb414735263b1f,True,500,600,4.0,0.0,100,3000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,312.77,312.77,-0.09989574333333334
A,1.2,13,27739,5358efb19444e9ca1337e6a91cac0a0bf19f0ba41f94a8206eb8d4b1c5c7f667,False,500,600,4.0,0.0,100,3000,2.43,0.004050000000000001,2.43,0.004050000000000001,7.06,0.011766666666666667,2,0.0033333333333333335,,719.57,,0.0051231900000000006
A,1.2,14,29742,70044a0a96d5238e57f750b24ae3f8095e82b3c8e1597a9bb56d17aad082b75d,False,500,600,4.0,0.0,100,3000,1.78,0.0029666666666666665,1.78,0.0029666666666666665,6.93,0.01155,1,0.0016666666666666668,,465.95,,0.00353865
A,1.2,15,31745,3e7878f410def7d62f3dd65ddc530b8cda7bf923e8974170752484b08bc1611c,False,500,600,4.0,0.0,100,3000,1.12,0.0018666666666666669,1.12,0.0018666666666666669,6.01,0.010016666666666667,1,0.0016666666666666668,,885.97,,0.0025786566666666667
A,1.2,16,33748,651f6d237eb3f6c3c19c627b8f42e468443477ff75012b18d2c14fbbfd2c2edf,True,500,600,4.0,0.0,100,3000,1.0,0.0016666666666666668,1.0,0.0016666666666666668,5.5,0.009166666666666667,1,0.0016666666666666668,0.0,387.64,,0.0022125466666666664
A,1.2,17,35751,df751b4a39788cd788947a4faf6dad7b2d2a191912bdc7f5a2a5d932b755cbc1,False,500,600,4.0,0.0,100,3000,2.0,0.0033333333333333335,2.0,0.0033333333333333335,6.56,0.010933333333333333,2,0.0033333333333333335,,506.97,,0.0043356566666666665
A,1.2,18,37754,309a3f0b179914fc4d44542f7a5fa7a25100dc46b126999d83a5a8c4f4dfb1a2,False,500,600,4.0,0.0,100,3000,1.0,0.0016666666666666668,1.0,0.0016666666666666668,5.95,0.009916666666666667,1,0.0016666666666666668,,319.22,,0.00218974
A,1.2,19,39757,6ca2d893d357e6222af6d6744d455a09287e8f432ee4569741dc22fd147e637f,True,500,600,4.0,0.0,100,3000,0.66,0.0011,0.66,0.0011,3.87,0.00645,0,0.0,0.39,1126.0,1403.6153846153845,-0.03752466666666668
