stage,alpha,formula_index,formula_generation_seed,formula_sha256,is_satisfiable,kw,rho,trial_index,trial_seed,n_cycles,selected_unsat,best_unsat,final_unsat,selected_unsat_rate,best_unsat_rate,final_unsat_rate,success,convergence_cycle,first_hit_cycle,selected_energy,best_energy
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,0,137000000,3000,0,0,0,0.0,0.0,0.0,1,1425,1425,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,1,137000001,3000,0,0,0,0.0,0.0,0.0,1,729,729,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,2,137000002,3000,1,1,7,0.0016666666666666668,0.0016666666666666668,0.011666666666666667,0,380,,1.0,1.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,3,137000003,3000,0,0,0,0.0,0.0,0.0,1,1009,1009,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,4,137000004,3000,0,0,0,0.0,0.0,0.0,1,1106,1106,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,5,137000005,3000,0,0,0,0.0,0.0,0.0,1,283,283,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,6,137000006,3000,0,0,0,0.0,0.0,0.0,1,406,406,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,7,137000007,3000,0,0,0,0.0,0.0,0.0,1,1987,1987,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,8,137000008,3000,0,0,0,0.0,0.0,0.0,1,1215,1215,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,9,137000009,3000,0,0,0,0.0,0.0,0.0,1,1249,1249,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,10,137000010,3000,1,1,4,0.0016666666666666668,0.0016666666666666668,0.006666666666666667,0,325,,1.0,1.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,11,137000011,3000,0,0,0,0.0,0.0,0.0,1,366,366,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,12,137000012,3000,0,0,0,0.0,0.0,0.0,1,118,118,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,13,137000013,3000,0,0,0,0.0,0.0,0.0,1,1438,1438,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,14,137000014,3000,1,1,4,0.0016666666666666668,0.0016666666666666668,0.006666666666666667,0,552,,1.0,1.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,15,137000015,3000,0,0,0,0.0,0.0,0.0,1,2688,2688,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,16,137000016,3000,0,0,0,0.0,0.0,0.0,1,2737,2737,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,17,137000017,3000,1,1,4,0.0016666666666666668,0.0016666666666666668,0.006666666666666667,0,155,,1.0,1.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,18,137000018,3000,1,1,6,0.0016666666666666668,0.0016666666666666668,0.01,0,217,,1.0,1.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,19,137000019,3000,0,0,0,0.0,0.0,0.0,1,594,594,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,20,137000020,3000,0,0,0,0.0,0.0,0.0,1,2712,2712,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,21,137000021,3000,0,0,0,0.0,0.0,0.0,1,844,844,0.0,0.0
